,0
AII,253
AII*,844
BB,182
CAI,1789
CAII,1169
DB1,142
DB2,188
DB3a,212
DB3b,214
DB4a,203
DB4b,180
DB5,175
DB6,149
FMB,191
GB,184
H1,351
H2,296
HAC11,308
HAC12,109
HAC13,250
HAC14,88
HAC15,174
HAC17,106
HAC18,376
HAC19,279
HAC2,107
HAC20,107
HAC21,226
HAC23,367
HAC24,441
HAC26,362
HAC27,115
HAC28,630
HAC29,146
HAC3,234
HAC30,269
HAC32,157
HAC33,881
HAC34,612
HAC35,197
HAC37,611
HAC38,301
HAC39,534
HAC4,413
HAC40,582
HAC41,297
HAC42,123
HAC44,196
HAC45,473
HAC46,267
HAC48,147
HAC49,380
HAC5,237
HAC50,161
HAC51,506
HAC52,147
HAC53,184
HAC54,779
HAC55,172
HAC56,231
HAC57,169
HAC59,657
HAC6,180
HAC60,169
HAC62,440
HAC63,1446
HAC64,184
HAC65,308
HAC66,1796
HAC68,1100
HAC71,1006
HAC72,1247
HAC74,358
HAC75,954
HAC77,646
HAC78,335
HAC79,909
HAC8,148
HAC80,1101
HAC81,1281
HAC82,1655
HAC84,733
HAC86,2177
HAC87,1447
HAC88,455
HAC89,1360
HAC9,505
HAC90,615
HAC91,469
HAC92,962
HAC93,602
HAC95,669
HRGC10,2681
HRGC11,2753
HRGC3,1327
HRGC4,190
HRGC5,105
HRGC9,1584
IMB,241
MG_OFF,1217
MG_ON,1316
ML_Cone,867
OFF-SAC,163
OFF-SAC*,796
OFFx,109
ON-SAC,222
PENK,152
PG_OFF,2313
PG_ON,1826
RB,323
Rod,327
SEG,117
SEG*,610
S_Cone,967
VG3,188
VG3*,496
VIP,313
ipRGC,1161
nNOS,211
