,0
AII,256
AII*,844
BB,183
CAI,1792
CAII,1149
DB1,142
DB2,190
DB3a,211
DB3b,214
DB4a,204
DB4b,180
DB5,175
DB6,152
FMB,187
GB,182
H1,353
H2,287
HAC11,293
HAC12,108
HAC13,251
HAC14,89
HAC15,175
HAC17,108
HAC18,373
HAC19,275
HAC2,110
HAC20,107
HAC21,228
HAC23,361
HAC24,450
HAC26,334
HAC27,118
HAC28,663
HAC29,144
HAC3,231
HAC30,281
HAC32,158
HAC33,887
HAC34,586
HAC35,201
HAC37,607
HAC38,298
HAC39,532
HAC4,418
HAC40,580
HAC41,295
HAC42,124
HAC44,197
HAC45,472
HAC46,267
HAC48,147
HAC49,381
HAC5,242
HAC50,161
HAC51,506
HAC52,146
HAC53,185
HAC54,778
HAC55,172
HAC56,231
HAC57,168
HAC59,658
HAC6,180
HAC60,170
HAC62,441
HAC63,1449
HAC64,184
HAC65,306
HAC66,1800
HAC68,1100
HAC71,1009
HAC72,1242
HAC74,360
HAC75,956
HAC77,649
HAC78,335
HAC79,911
HAC8,142
HAC80,1105
HAC81,1282
HAC82,1657
HAC84,726
HAC86,2181
HAC87,1449
HAC88,453
HAC89,1360
HAC9,500
HAC90,616
HAC91,470
HAC92,961
HAC93,602
HAC95,667
HRGC10,2685
HRGC11,2750
HRGC3,1315
HRGC4,194
HRGC5,100
HRGC9,1587
IMB,241
MG_OFF,1207
MG_ON,1332
ML_Cone,862
OFF-SAC,161
OFF-SAC*,790
OFFx,109
ON-SAC,222
PENK,152
PG_OFF,2320
PG_ON,1806
RB,319
Rod,336
SEG,116
SEG*,607
S_Cone,957
VG3,186
VG3*,494
VIP,308
ipRGC,1160
nNOS,215
