,0
AII,31
AII*,86
BB,26
CAI,141
CAII,116
DB1,14
DB2,26
DB3a,25
DB3b,23
DB4a,35
DB4b,22
DB5,19
DB6,19
FMB,25
GB,30
H1,23
H2,22
HAC11,37
HAC12,9
HAC13,32
HAC14,7
HAC15,22
HAC17,9
HAC18,54
HAC19,41
HAC2,10
HAC20,17
HAC21,27
HAC23,55
HAC24,59
HAC26,41
HAC27,28
HAC28,83
HAC29,25
HAC3,27
HAC30,49
HAC32,13
HAC33,83
HAC34,67
HAC35,19
HAC37,85
HAC38,30
HAC39,64
HAC4,59
HAC40,61
HAC41,26
HAC42,13
HAC44,30
HAC45,45
HAC46,33
HAC48,29
HAC49,53
HAC5,28
HAC50,17
HAC51,72
HAC52,17
HAC53,22
HAC54,80
HAC55,22
HAC56,50
HAC57,23
HAC59,73
HAC6,23
HAC60,26
HAC62,41
HAC63,144
HAC64,20
HAC65,43
HAC66,147
HAC68,101
HAC71,88
HAC72,91
HAC74,36
HAC75,78
HAC77,67
HAC78,49
HAC79,80
HAC8,18
HAC80,81
HAC81,100
HAC82,126
HAC84,66
HAC86,138
HAC87,117
HAC88,51
HAC89,104
HAC9,69
HAC90,64
HAC91,43
HAC92,84
HAC93,65
HAC95,81
HRGC10,211
HRGC11,154
HRGC3,120
HRGC4,24
HRGC5,27
HRGC9,131
IMB,32
MG_OFF,104
MG_ON,119
ML_Cone,93
OFF-SAC,10
OFF-SAC*,60
OFFx,13
ON-SAC,16
PENK,24
PG_OFF,178
PG_ON,161
RB,39
Rod,24
SEG,6
SEG*,59
S_Cone,108
VG3,23
VG3*,55
VIP,52
ipRGC,114
nNOS,25
