clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
AII,ENSG00000159251,0.020750456204838955,0.6896603,0.9939285158100775
AII,ENSG00000136205,0.027560273157786013,0.85530293,0.9844695940866308
AII,ENSG00000113504,0.061508338209617944,1.3373554,0.9843723516343004
AII,ENSG00000138604,0.05361988649765667,1.485531,0.9815968653913272
AII,ENSG00000172403,0.020953492153383782,0.9037561,0.9789085373029871
AII,ENSG00000128536,0.040030334578751985,1.5240859,0.9650797247886658
AII,ENSG00000101463,0.03824095932058486,1.7319884,0.9321143238221185
AII,ENSG00000237928,0.021415985842007663,1.9567786,0.9295525843814268
AII,ENSG00000134215,0.025493453366514245,1.4927464,0.9188325804168895
AII,ENSG00000228222,0.047904920291222806,2.0543325,0.9131949705592657
AII*,ENSG00000113504,0.010632194060222975,1.0217478,0.9795451300629114
AII*,ENSG00000128536,0.009446112033985082,1.2724913,0.958175353579602
AII*,ENSG00000132915,0.026184092209562297,0.38846695,0.8898305084745762
AII*,ENSG00000130561,0.01589426172063401,0.60662735,0.8813559322033898
AII*,ENSG00000188107,0.01935064498735961,0.9438106,0.864950161869243
AII*,ENSG00000162946,0.01843219859886383,0.47660977,0.8586393367435973
AII*,ENSG00000198691,0.015471718690147058,0.2860519,0.8524551310781705
AII*,ENSG00000261873,0.01734876505059347,0.21766253,0.8393633794986596
AII*,ENSG00000258776,0.023201964779224142,0.39978042,0.7847788293482894
AII*,ENSG00000165588,0.019944065133503757,0.23728725,0.7816671592704321
BB,ENSG00000250971,0.13486100469621523,0.7846285,1.0
BB,ENSG00000215474,0.0559763458519479,0.84841937,1.0
BB,ENSG00000147257,0.03978415035824339,0.62191576,1.0
BB,ENSG00000151012,0.04297407515311683,1.1582146,0.9976219393439212
BB,ENSG00000186007,0.01538969473975669,0.8121256,0.9915254237288136
BB,ENSG00000070159,0.04338644450802119,0.8724458,0.9795792719065133
BB,ENSG00000134160,0.019748503875095885,2.6398337,0.9419611429764052
BB,ENSG00000183662,0.07506961505721699,1.554495,0.9389115279003725
BB,ENSG00000156395,0.07625562317955992,1.2456609,0.8887572647151301
BB,ENSG00000170624,0.04071439483430303,1.8426996,0.8781522411411091
CAI,ENSG00000270321,0.03603924782881046,0.7060498,1.0
CAI,ENSG00000070193,0.02788114502493507,0.31683648,1.0
CAI,ENSG00000123243,0.01413747462322988,0.3583781,1.0
CAI,ENSG00000224141,0.010644937771659752,0.37123242,1.0
CAI,ENSG00000225206,0.034469531976160976,1.4665077,0.996497220407098
CAI,ENSG00000180176,0.011633569472632607,0.49853173,0.9947246080738003
CAI,ENSG00000106018,0.009967154415165951,0.3454433,0.9915254237288136
CAI,ENSG00000188641,0.03673815058809659,1.845685,0.9860247080608949
CAI,ENSG00000171094,0.011034088695148565,1.0808794,0.9681121984780845
CAI,ENSG00000287092,0.010883250589523151,1.4548941,0.9620272451538151
