,0
AII,335
AII*,1078
CAI,1957
CAII,1752
HAC11,310
HAC12,115
HAC13,283
HAC14,95
HAC15,221
HAC17,115
HAC18,776
HAC19,376
HAC2,117
HAC20,108
HAC21,263
HAC23,577
HAC24,814
HAC26,444
HAC27,151
HAC28,814
HAC29,182
HAC3,279
HAC30,452
HAC32,200
HAC33,1046
HAC34,1000
HAC35,243
HAC37,864
HAC38,458
HAC39,1227
HAC4,533
HAC40,649
HAC41,455
HAC42,141
HAC44,312
HAC45,478
HAC46,387
HAC48,141
HAC49,943
HAC5,267
HAC50,178
HAC51,559
HAC52,159
HAC53,124
HAC54,1128
HAC55,200
HAC56,495
HAC57,203
HAC59,686
HAC6,231
HAC60,210
HAC62,692
HAC63,1511
HAC64,283
HAC65,356
HAC66,2005
HAC68,1458
HAC71,975
HAC72,1138
HAC74,317
HAC75,1073
HAC77,731
HAC78,810
HAC79,4160
HAC8,181
HAC80,1213
HAC81,1212
HAC82,1798
HAC84,1080
HAC86,2498
HAC87,2026
HAC88,1019
HAC89,1609
HAC9,718
HAC91,904
HAC95,2958
OFF-SAC,183
OFF-SAC*,695
ON-SAC,252
PENK,211
SEG,132
SEG*,2018
VG3,219
VG3*,605
VIP,441
nNOS,165
