,0
B cell,106
T cell,99
conventional dendritic cell,174
endothelial cell,72
epithelial cell of proximal tubule,45
kidney collecting duct intercalated cell,314
kidney collecting duct principal cell,523
kidney connecting tubule epithelial cell,221
kidney distal convoluted tubule epithelial cell,313
kidney interstitial alternatively activated macrophage,44
kidney interstitial fibroblast,197
kidney loop of Henle thick ascending limb epithelial cell,98
kidney loop of Henle thin ascending limb epithelial cell,635
kidney loop of Henle thin descending limb epithelial cell,322
lymphocyte,173
mast cell,2
mononuclear phagocyte,137
neural cell,64
neutrophil,159
non-classical monocyte,238
papillary tips cell,493
parietal epithelial cell,120
plasma cell,48
"plasmacytoid dendritic cell, human",131
podocyte,418
renal interstitial pericyte,58
