clusterName,markerGene,score
endothelial cell,ENSG00000127329,0.833919271609205
endothelial cell,ENSG00000102755,0.833919271609205
podocyte,ENSG00000151490,0.9062856057728826
podocyte,ENSG00000153246,0.9062856057728826
epithelial cell of proximal tubule,ENSG00000183747,0.7736505024692891
epithelial cell of proximal tubule,ENSG00000066813,0.7736505024692891
neural cell,ENSG00000179915,0.7894736842105263
neural cell,ENSG00000071991,0.7894736842105263
parietal epithelial cell,ENSG00000000971,0.5534316402694338
parietal epithelial cell,ENSG00000163347,0.5534316402694338
papillary tips cell,ENSG00000176153,0.5971277399848829
papillary tips cell,ENSG00000173267,0.5971277399848829
papillary tips cell,ENSG00000064655,0.5971277399848829
kidney interstitial fibroblast,ENSG00000107518,0.7048764131059589
kidney interstitial fibroblast,ENSG00000143995,0.7048764131059589
