clusterName,markerGene,onTarget_per_gene,onTarget
endothelial cell,ENSG00000127329,1.0,1.0
endothelial cell,ENSG00000172889,1.0,1.0
podocyte,ENSG00000151490,1.0,1.0
podocyte,ENSG00000161270,1.0,1.0
epithelial cell of proximal tubule,ENSG00000183747,1.0,1.0
epithelial cell of proximal tubule,ENSG00000066813,1.0,1.0
epithelial cell of proximal tubule,ENSG00000166825,1.0,1.0
neural cell,ENSG00000179915,1.0,1.0
parietal epithelial cell,ENSG00000000971,1.0,1.0
parietal epithelial cell,ENSG00000162692,1.0,1.0
papillary tips cell,ENSG00000176153,1.0,1.0
papillary tips cell,ENSG00000173267,1.0,1.0
kidney interstitial fibroblast,ENSG00000165124,1.0,1.0
kidney interstitial fibroblast,ENSG00000143995,1.0,1.0
kidney connecting tubule epithelial cell,ENSG00000104327,1.0,1.0
kidney connecting tubule epithelial cell,ENSG00000226674,1.0,1.0
kidney distal convoluted tubule epithelial cell,ENSG00000070915,1.0,0.84647363
kidney distal convoluted tubule epithelial cell,ENSG00000165685,0.69294727,0.84647363
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000074803,1.0,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000140600,1.0,1.0
kidney loop of Henle thin descending limb epithelial cell,ENSG00000165443,1.0,1.0
kidney loop of Henle thin descending limb epithelial cell,ENSG00000007062,1.0,1.0
renal interstitial pericyte,ENSG00000133392,1.0,1.0
renal interstitial pericyte,ENSG00000107796,1.0,1.0
kidney collecting duct principal cell,ENSG00000112319,1.0,1.0
kidney collecting duct principal cell,ENSG00000171435,1.0,1.0
kidney collecting duct intercalated cell,ENSG00000147614,1.0,1.0
kidney collecting duct intercalated cell,ENSG00000249601,1.0,1.0
mast cell,ENSG00000185420,0.19613509,0.19613509
T cell,ENSG00000168685,1.0,1.0
neutrophil,ENSG00000143546,1.0,0.837058
neutrophil,ENSG00000163220,0.674116,0.837058
mononuclear phagocyte,ENSG00000231389,0.46805933,0.41603404
mononuclear phagocyte,ENSG00000223865,0.36400872,0.41603404
plasma cell,ENSG00000170476,1.0,1.0
"plasmacytoid dendritic cell, human",ENSG00000267337,1.0,1.0
B cell,ENSG00000156738,1.0,1.0
kidney interstitial alternatively activated macrophage,ENSG00000124491,1.0,1.0
kidney interstitial alternatively activated macrophage,ENSG00000260314,1.0,1.0
conventional dendritic cell,ENSG00000231873,1.0,1.0
conventional dendritic cell,ENSG00000229140,1.0,1.0
non-classical monocyte,ENSG00000203747,1.0,0.78389585
non-classical monocyte,ENSG00000204482,0.5677917,0.78389585
lymphocyte,ENSG00000105374,1.0,1.0
