software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cell_type,endothelial cell,1000,0.7821387940841866,0.8744038155802861,0.55,21080,79,450,550,2,"['ENSG00000127329', 'ENSG00000172889']","['ENSG00000127329', 'ENSG00000172889', 'ENSG00000120156', 'ENSG00000162618', 'ENSG00000102755', 'ENSG00000251322', 'ENSG00000174059', 'ENSG00000164035', 'ENSG00000106991', 'ENSG00000261371']",1.0
4.1,cell_type,podocyte,1000,0.9254563894523327,0.9918478260869565,0.73,21153,6,270,730,2,"['ENSG00000151490', 'ENSG00000161270']","['ENSG00000151490', 'ENSG00000116218', 'ENSG00000153246', 'ENSG00000161270', 'ENSG00000112782', 'ENSG00000139304', 'ENSG00000230027', 'ENSG00000113578', 'ENSG00000145808', 'ENSG00000155816']",1.0
4.1,cell_type,epithelial cell of proximal tubule,1000,0.5338145896656535,0.6887254901960784,0.281,21032,127,719,281,3,"['ENSG00000183747', 'ENSG00000066813', 'ENSG00000166825']","['ENSG00000183747', 'ENSG00000066813', 'ENSG00000149124', 'ENSG00000107611', 'ENSG00000166825', 'ENSG00000174827', 'ENSG00000130707', 'ENSG00000090565', 'ENSG00000124568', 'ENSG00000165449']",1.0
4.1,cell_type,neural cell,77,0.8990536277602523,0.95,0.7402597402597403,22079,3,20,57,1,['ENSG00000179915'],"['ENSG00000179915', 'ENSG00000071991', 'ENSG00000175161', 'ENSG00000136546', 'ENSG00000164418', 'ENSG00000198597', 'ENSG00000206579', 'ENSG00000146938', 'ENSG00000154654', 'ENSG00000135298']",1.0
4.1,cell_type,parietal epithelial cell,1000,0.7257489300998573,0.9024390243902439,0.407,21115,44,593,407,2,"['ENSG00000000971', 'ENSG00000162692']","['ENSG00000000971', 'ENSG00000128918', 'ENSG00000162692', 'ENSG00000163347', 'ENSG00000168785', 'ENSG00000109861', 'ENSG00000076716', 'ENSG00000113361', 'ENSG00000118523', 'ENSG00000078328']",1.0
4.1,cell_type,papillary tips cell,531,0.7226705796038151,0.9471153846153846,0.3709981167608286,21617,11,334,197,2,"['ENSG00000176153', 'ENSG00000173267']","['ENSG00000176153', 'ENSG00000164266', 'ENSG00000173267', 'ENSG00000089356', 'ENSG00000102554', 'ENSG00000064655', 'ENSG00000137648', 'ENSG00000112378', 'ENSG00000213853', 'ENSG00000132170']",1.0
4.1,cell_type,kidney interstitial fibroblast,1000,0.6811487481590575,0.8624708624708625,0.37,21100,59,630,370,2,"['ENSG00000165124', 'ENSG00000143995']","['ENSG00000112936', 'ENSG00000165124', 'ENSG00000140937', 'ENSG00000107518', 'ENSG00000079931', 'ENSG00000143995', 'ENSG00000140092', 'ENSG00000049323', 'ENSG00000164692', 'ENSG00000156049']",1.0
4.1,cell_type,kidney connecting tubule epithelial cell,1000,0.4858156028368794,0.6021978021978022,0.274,20978,181,726,274,2,"['ENSG00000104327', 'ENSG00000226674']","['ENSG00000104327', 'ENSG00000226674', 'ENSG00000121068', 'ENSG00000136531', 'ENSG00000165685', 'ENSG00000273706', 'ENSG00000139144', 'ENSG00000101443', 'ENSG00000183023', 'ENSG00000176387']",1.0
4.1,cell_type,kidney distal convoluted tubule epithelial cell,1000,0.8189158016147635,0.9205834683954619,0.568,21110,49,432,568,2,"['ENSG00000070915', 'ENSG00000165685']","['ENSG00000070915', 'ENSG00000104332', 'ENSG00000182389', 'ENSG00000146021', 'ENSG00000068366', 'ENSG00000165685', 'ENSG00000273706', 'ENSG00000138798', 'ENSG00000092439', 'ENSG00000113889']",0.84647363
4.1,cell_type,kidney loop of Henle thick ascending limb epithelial cell,1000,0.6238489871086557,0.6483253588516746,0.542,20865,294,458,542,1,['ENSG00000074803'],"['ENSG00000074803', 'ENSG00000169344', 'ENSG00000036828', 'ENSG00000171365', 'ENSG00000113889', 'ENSG00000134873', 'ENSG00000152779', 'ENSG00000184226', 'ENSG00000151704', 'ENSG00000115252']",1.0
4.1,cell_type,kidney loop of Henle thin ascending limb epithelial cell,1000,0.798233695652174,0.8255269320843092,0.705,21010,149,295,705,1,['ENSG00000140600'],"['ENSG00000140600', 'ENSG00000198691', 'ENSG00000085662', 'ENSG00000275395', 'ENSG00000064787', 'ENSG00000178538', 'ENSG00000134121', 'ENSG00000186510', 'ENSG00000159263', 'ENSG00000042062']",1.0
4.1,cell_type,kidney loop of Henle thin descending limb epithelial cell,1000,0.5784383954154728,0.7209821428571429,0.323,21034,125,677,323,2,"['ENSG00000165443', 'ENSG00000007062']","['ENSG00000165443', 'ENSG00000109472', 'ENSG00000007062', 'ENSG00000137393', 'ENSG00000241158', 'ENSG00000160209', 'ENSG00000228262', 'ENSG00000137968', 'ENSG00000128573', 'ENSG00000072840']",1.0
4.1,cell_type,renal interstitial pericyte,1000,0.6885432473444613,0.8875305623471883,0.363,21113,46,637,363,2,"['ENSG00000133392', 'ENSG00000107796']","['ENSG00000133392', 'ENSG00000149591', 'ENSG00000074181', 'ENSG00000249669', 'ENSG00000107796', 'ENSG00000101335', 'ENSG00000113721', 'ENSG00000198467', 'ENSG00000152583', 'ENSG00000148671']",1.0
4.1,cell_type,kidney collecting duct principal cell,1000,0.598,0.7973333333333333,0.299,21083,76,701,299,2,"['ENSG00000112319', 'ENSG00000171435']","['ENSG00000150201', 'ENSG00000112319', 'ENSG00000171435', 'ENSG00000166828', 'ENSG00000182752', 'ENSG00000168447', 'ENSG00000187889', 'ENSG00000173898', 'ENSG00000138696', 'ENSG00000167580']",1.0
4.1,cell_type,kidney collecting duct intercalated cell,1000,0.8027522935779816,0.9003215434083601,0.56,21097,62,440,560,2,"['ENSG00000147614', 'ENSG00000249601']","['ENSG00000147614', 'ENSG00000249601', 'ENSG00000143882', 'ENSG00000151418', 'ENSG00000147606', 'ENSG00000173253', 'ENSG00000113073', 'ENSG00000004939', 'ENSG00000157404', 'ENSG00000150782']",1.0
4.1,cell_type,mast cell,400,0.2688953488372093,0.5138888888888888,0.0925,21724,35,363,37,1,['ENSG00000185420'],"['ENSG00000185420', 'ENSG00000170927']",0.19613509
4.1,cell_type,T cell,1000,0.6616889804325438,0.7128987517337032,0.514,20952,207,486,514,1,['ENSG00000168685'],"['ENSG00000168685', 'ENSG00000116824', 'ENSG00000227507', 'ENSG00000008517', 'ENSG00000133639', 'ENSG00000196154', 'ENSG00000081237', 'ENSG00000213741', 'ENSG00000134419', 'ENSG00000177954']",1.0
4.1,cell_type,neutrophil,860,0.854673495518566,0.9434628975265018,0.6209302325581395,21267,32,326,534,2,"['ENSG00000143546', 'ENSG00000163220']","['ENSG00000143546', 'ENSG00000170458', 'ENSG00000125740', 'ENSG00000163220', 'ENSG00000163563', 'ENSG00000085265', 'ENSG00000204482', 'ENSG00000090382', 'ENSG00000100300', 'ENSG00000163131']",0.837058
4.1,cell_type,mononuclear phagocyte,1000,0.6686046511627907,0.8734177215189873,0.345,21109,50,655,345,2,"['ENSG00000231389', 'ENSG00000223865']","['ENSG00000196735', 'ENSG00000179344', 'ENSG00000110077', 'ENSG00000231389', 'ENSG00000223865', 'ENSG00000101347', 'ENSG00000196126', 'ENSG00000101439', 'ENSG00000204287', 'ENSG00000048740']",0.41603404
4.1,cell_type,plasma cell,1000,0.7380382775119617,0.7761006289308177,0.617,20981,178,383,617,1,['ENSG00000170476'],"['ENSG00000170476', 'ENSG00000211592', 'ENSG00000132465', 'ENSG00000100219', 'ENSG00000051108', 'ENSG00000118363', 'ENSG00000129128', 'ENSG00000180879', 'ENSG00000166598', 'ENSG00000113387']",1.0
4.1,cell_type,"plasmacytoid dendritic cell, human",75,0.813953488372093,1.0,0.4666666666666667,22084,0,40,35,1,['ENSG00000267337'],"['ENSG00000225885', 'ENSG00000267337', 'ENSG00000111249', 'ENSG00000066827', 'ENSG00000119866', 'ENSG00000124813', 'ENSG00000105426', 'ENSG00000221866', 'ENSG00000184588', 'ENSG00000167483']",1.0
4.1,cell_type,B cell,1000,0.8346560846560847,0.9079136690647482,0.631,21095,64,369,631,1,['ENSG00000156738'],"['ENSG00000156738', 'ENSG00000153064', 'ENSG00000116191', 'ENSG00000104894', 'ENSG00000227507', 'ENSG00000231389', 'ENSG00000223865', 'ENSG00000204287', 'ENSG00000196126', 'ENSG00000081189']",1.0
4.1,cell_type,kidney interstitial alternatively activated macrophage,1000,0.6876843657817109,0.8714953271028038,0.373,21104,55,627,373,2,"['ENSG00000124491', 'ENSG00000260314']","['ENSG00000124491', 'ENSG00000260314', 'ENSG00000177575', 'ENSG00000137491', 'ENSG00000010327', 'ENSG00000250722', 'ENSG00000114541', 'ENSG00000164733', 'ENSG00000248905', 'ENSG00000181804']",1.0
4.1,cell_type,conventional dendritic cell,216,0.7299270072992701,0.963855421686747,0.37037037037037035,21940,3,136,80,2,"['ENSG00000231873', 'ENSG00000229140']","['ENSG00000231873', 'ENSG00000229140', 'ENSG00000140090', 'ENSG00000178175', 'ENSG00000104490', 'ENSG00000122025', 'ENSG00000128815', 'ENSG00000048052', 'ENSG00000109684', 'ENSG00000182985']",1.0
4.1,cell_type,non-classical monocyte,1000,0.6995412844036697,0.905940594059406,0.366,21121,38,634,366,2,"['ENSG00000203747', 'ENSG00000204482']","['ENSG00000203747', 'ENSG00000028137', 'ENSG00000172216', 'ENSG00000158869', 'ENSG00000204482', 'ENSG00000085265', 'ENSG00000163220', 'ENSG00000204472', 'ENSG00000163131', 'ENSG00000103187']",0.78389585
4.1,cell_type,lymphocyte,1000,0.8817073170731707,0.9329032258064516,0.723,21107,52,277,723,1,['ENSG00000105374'],"['ENSG00000105374', 'ENSG00000271503', 'ENSG00000100450', 'ENSG00000180644', 'ENSG00000077984', 'ENSG00000145649', 'ENSG00000172543', 'ENSG00000275302', 'ENSG00000134539', 'ENSG00000100453']",1.0
