clusterName,markerGene,score
podocyte,ENSG00000230027,0.8535598705501618
epithelial cell of proximal tubule,ENSG00000228262,0.1447331262355267
neural cell,ENSG00000230490,0.3827751196172249
papillary tips cell,ENSG00000229807,0.22683949675943577
papillary tips cell,ENSG00000260032,0.22683949675943577
papillary tips cell,ENSG00000153113,0.22683949675943577
papillary tips cell,ENSG00000250903,0.22683949675943577
kidney interstitial fibroblast,ENSG00000237187,0.5176116838487973
kidney interstitial fibroblast,ENSG00000247809,0.5176116838487973
kidney connecting tubule epithelial cell,ENSG00000226674,0.4478776529338327
kidney connecting tubule epithelial cell,ENSG00000236283,0.4478776529338327
kidney distal convoluted tubule epithelial cell,ENSG00000233154,0.42084527220630374
kidney distal convoluted tubule epithelial cell,ENSG00000236283,0.42084527220630374
kidney distal convoluted tubule epithelial cell,ENSG00000247809,0.42084527220630374
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000228262,0.15040444893832153
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000242086,0.15040444893832153
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000245694,0.49427480916030536
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000236432,0.49427480916030536
kidney loop of Henle thin descending limb epithelial cell,ENSG00000241158,0.4825227963525836
kidney loop of Henle thin descending limb epithelial cell,ENSG00000228262,0.4825227963525836
kidney loop of Henle thin descending limb epithelial cell,ENSG00000272168,0.4825227963525836
renal interstitial pericyte,ENSG00000249669,0.4978510028653295
kidney collecting duct principal cell,ENSG00000203709,0.2840253748558247
kidney collecting duct principal cell,ENSG00000229847,0.2840253748558247
kidney collecting duct principal cell,ENSG00000225470,0.2840253748558247
kidney collecting duct principal cell,ENSG00000236283,0.2840253748558247
kidney collecting duct intercalated cell,ENSG00000249601,0.6959183673469388
"plasmacytoid dendritic cell, human",ENSG00000267337,0.813953488372093
conventional dendritic cell,ENSG00000231873,0.7299270072992701
conventional dendritic cell,ENSG00000229140,0.7299270072992701
non-classical monocyte,ENSG00000177410,0.14772415684123938
