clusterName,onTarget
podocyte,1.0
epithelial cell of proximal tubule,0.2176763
neural cell,1.0
papillary tips cell,0.65100205
kidney interstitial fibroblast,0.6868099
kidney connecting tubule epithelial cell,0.6187921
kidney distal convoluted tubule epithelial cell,0.20566963
kidney loop of Henle thick ascending limb epithelial cell,0.15763083
kidney loop of Henle thin ascending limb epithelial cell,1.0
kidney loop of Henle thin descending limb epithelial cell,0.56598145
renal interstitial pericyte,1.0
kidney collecting duct principal cell,0.33227956
kidney collecting duct intercalated cell,1.0
"plasmacytoid dendritic cell, human",1.0
conventional dendritic cell,1.0
non-classical monocyte,1.0
