software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cell_type,podocyte,1000,0.8535598705501618,0.9350073855243722,0.633,21115,44,367,633,1,['ENSG00000230027'],"['ENSG00000230027', 'ENSG00000185904', 'ENSG00000241956', 'ENSG00000227954', 'ENSG00000269821', 'ENSG00000274265', 'ENSG00000241158', 'ENSG00000250903', 'ENSG00000280441', 'ENSG00000153113']",1.0
4.1,cell_type,epithelial cell of proximal tubule,1000,0.1447331262355267,0.12458219386204801,0.41,18278,2881,590,410,1,['ENSG00000228262'],['ENSG00000228262'],0.2176763
4.1,cell_type,neural cell,77,0.3827751196172249,0.48484848484848486,0.2077922077922078,22065,17,61,16,1,['ENSG00000230490'],"['ENSG00000230490', 'ENSG00000272168', 'ENSG00000278996', 'ENSG00000215386']",1.0
4.1,cell_type,papillary tips cell,531,0.22683949675943577,0.22753346080305928,0.224105461393597,21224,404,412,119,4,"['ENSG00000229807', 'ENSG00000260032', 'ENSG00000153113', 'ENSG00000250903']","['ENSG00000229807', 'ENSG00000260032', 'ENSG00000153113', 'ENSG00000250903']",0.65100205
4.1,cell_type,kidney interstitial fibroblast,1000,0.5176116838487973,0.7259036144578314,0.241,21068,91,759,241,2,"['ENSG00000237187', 'ENSG00000247809']","['ENSG00000237187', 'ENSG00000247809', 'ENSG00000280441', 'ENSG00000278996', 'ENSG00000241684', 'ENSG00000215386']",0.6868099
4.1,cell_type,kidney connecting tubule epithelial cell,1000,0.4478776529338327,0.5208711433756806,0.287,20895,264,713,287,2,"['ENSG00000226674', 'ENSG00000236283']","['ENSG00000226674', 'ENSG00000229847', 'ENSG00000236283', 'ENSG00000242086']",0.6187921
4.1,cell_type,kidney distal convoluted tubule epithelial cell,1000,0.42084527220630374,0.5245535714285714,0.235,20946,213,765,235,3,"['ENSG00000233154', 'ENSG00000236283', 'ENSG00000247809']","['ENSG00000233154', 'ENSG00000235244', 'ENSG00000250903', 'ENSG00000236283', 'ENSG00000241684', 'ENSG00000247809', 'ENSG00000242086']",0.20566963
4.1,cell_type,kidney loop of Henle thick ascending limb epithelial cell,1000,0.15040444893832153,0.16102841677943167,0.119,20539,620,881,119,2,"['ENSG00000228262', 'ENSG00000242086']","['ENSG00000228262', 'ENSG00000242086']",0.15763083
4.1,cell_type,kidney loop of Henle thin ascending limb epithelial cell,1000,0.49427480916030536,0.6395061728395062,0.259,21013,146,741,259,2,"['ENSG00000245694', 'ENSG00000236432']","['ENSG00000245694', 'ENSG00000258667', 'ENSG00000236432', 'ENSG00000231312', 'ENSG00000274265', 'ENSG00000269821', 'ENSG00000235142', 'ENSG00000225470', 'ENSG00000215386', 'ENSG00000153113']",1.0
4.1,cell_type,kidney loop of Henle thin descending limb epithelial cell,1000,0.4825227963525836,0.6225490196078431,0.254,21005,154,746,254,3,"['ENSG00000241158', 'ENSG00000228262', 'ENSG00000272168']","['ENSG00000253438', 'ENSG00000241158', 'ENSG00000228262', 'ENSG00000272168', 'ENSG00000235142', 'ENSG00000250903', 'ENSG00000225470', 'ENSG00000241684', 'ENSG00000247809', 'ENSG00000215386']",0.56598145
4.1,cell_type,renal interstitial pericyte,1000,0.4978510028653295,0.4851657940663176,0.556,20569,590,444,556,1,['ENSG00000249669'],"['ENSG00000249669', 'ENSG00000247809']",1.0
4.1,cell_type,kidney collecting duct principal cell,1000,0.2840253748558247,0.3192868719611021,0.197,20739,420,803,197,4,"['ENSG00000203709', 'ENSG00000229847', 'ENSG00000225470', 'ENSG00000236283']","['ENSG00000203709', 'ENSG00000229847', 'ENSG00000235142', 'ENSG00000153113', 'ENSG00000225470', 'ENSG00000236283', 'ENSG00000215386', 'ENSG00000241684', 'ENSG00000242086']",0.33227956
4.1,cell_type,kidney collecting duct intercalated cell,1000,0.6959183673469388,0.6994871794871795,0.682,20866,293,318,682,1,['ENSG00000249601'],"['ENSG00000249601', 'ENSG00000242086', 'ENSG00000236283', 'ENSG00000215386']",1.0
4.1,cell_type,"plasmacytoid dendritic cell, human",75,0.813953488372093,1.0,0.4666666666666667,22084,0,40,35,1,['ENSG00000267337'],"['ENSG00000225885', 'ENSG00000267337', 'ENSG00000280441', 'ENSG00000278996']",1.0
4.1,cell_type,conventional dendritic cell,216,0.7299270072992701,0.963855421686747,0.37037037037037035,21940,3,136,80,2,"['ENSG00000231873', 'ENSG00000229140']","['ENSG00000231873', 'ENSG00000229140', 'ENSG00000231607', 'ENSG00000280441', 'ENSG00000278996']",1.0
4.1,cell_type,non-classical monocyte,1000,0.14772415684123938,0.12687665587282898,0.431,18193,2966,569,431,1,['ENSG00000177410'],['ENSG00000177410'],1.0
