clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
podocyte,ENSG00000230027,0.28402218414189323,1.6030045,1.0
podocyte,ENSG00000185904,0.14408864114830644,0.71401983,1.0
podocyte,ENSG00000241956,0.13907678643187796,1.5983706,1.0
podocyte,ENSG00000227954,0.10913922563319352,1.5957139,1.0
podocyte,ENSG00000269821,0.057411185865643914,2.1440198,0.9866430783271789
podocyte,ENSG00000274265,0.02838700062753124,1.4893174,0.9675142931938171
podocyte,ENSG00000241158,0.030451348606030645,0.78657115,0.96
podocyte,ENSG00000250903,0.016184815535479822,1.1155965,0.9191567444801331
podocyte,ENSG00000280441,0.03899876176393586,1.1745739,0.9115948295593261
podocyte,ENSG00000153113,0.03227976751274489,1.0722284,0.909748158454895
epithelial cell of proximal tubule,ENSG00000228262,1.0,0.861112,0.9202451395988465
neural cell,ENSG00000230490,0.33816302216052174,1.701707,1.0
neural cell,ENSG00000272168,0.22208675563570984,1.6735162,0.9654099583625794
neural cell,ENSG00000278996,0.2369580319486027,1.9204623,0.8839249897003174
neural cell,ENSG00000215386,0.2027921902551657,1.6735162,0.836152367591858
papillary tips cell,ENSG00000229807,0.24646737733448373,0.92151237,1.0
papillary tips cell,ENSG00000260032,0.24501977634427183,0.6735406,1.0
papillary tips cell,ENSG00000153113,0.2976669813032813,1.0544453,0.9082260656356812
papillary tips cell,ENSG00000250903,0.2108458650179631,0.49544668,0.8680333042144776
kidney interstitial fibroblast,ENSG00000237187,0.17263457570496915,0.96221554,1.0
kidney interstitial fibroblast,ENSG00000247809,0.3410283097183995,2.946383,0.932939293384552
kidney interstitial fibroblast,ENSG00000280441,0.11472770039497265,1.1774257,0.9117120718955993
kidney interstitial fibroblast,ENSG00000278996,0.12811095887823487,1.3441004,0.858039562702179
kidney interstitial fibroblast,ENSG00000241684,0.13502396457845642,2.0150225,0.8347220730781555
kidney interstitial fibroblast,ENSG00000215386,0.10847449072496754,1.4229345,0.8225281095504761
kidney connecting tubule epithelial cell,ENSG00000226674,0.24259116421907967,1.0817025,1.0
kidney connecting tubule epithelial cell,ENSG00000229847,0.17482553294089065,0.54521024,0.9661683869361878
kidney connecting tubule epithelial cell,ENSG00000236283,0.41047539915710707,2.9976592,0.8716386389732361
kidney connecting tubule epithelial cell,ENSG00000242086,0.17210790368292259,1.003036,0.7663075399398803
kidney distal convoluted tubule epithelial cell,ENSG00000233154,0.20996990774805682,0.78363645,1.0
kidney distal convoluted tubule epithelial cell,ENSG00000235244,0.10690997746974694,1.2583275,0.9853737688064576
kidney distal convoluted tubule epithelial cell,ENSG00000250903,0.08315711982081148,0.41604292,0.8581152153015137
kidney distal convoluted tubule epithelial cell,ENSG00000236283,0.2507420266841183,2.594985,0.8518492102622985
kidney distal convoluted tubule epithelial cell,ENSG00000241684,0.1075961519509286,1.3298004,0.8
kidney distal convoluted tubule epithelial cell,ENSG00000247809,0.09806591364528348,0.16676995,0.8
kidney distal convoluted tubule epithelial cell,ENSG00000242086,0.14355890268105437,1.3787785,0.7954624652862549
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000228262,0.5103874024393863,0.85583466,0.92
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000242086,0.48961259756061376,0.8448688,0.76
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000245694,0.11697777400451499,0.67988837,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000258667,0.08286009436720271,0.88163745,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000236432,0.07977927416360779,0.56773484,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000231312,0.037616976816646504,0.84630656,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000274265,0.04104668259318412,1.2095382,0.96
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000269821,0.029469074975516426,0.7159376,0.96
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000235142,0.10634773299981405,1.9679253,0.9506641221046448
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000225470,0.03049215228880566,0.98375607,0.9052205014228821
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000215386,0.17086478344694475,2.6159196,0.895115430355072
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000153113,0.046051940116664684,0.80570084,0.8922418713569641
kidney loop of Henle thin descending limb epithelial cell,ENSG00000253438,0.07623568069991356,1.1707153,1.0
kidney loop of Henle thin descending limb epithelial cell,ENSG00000241158,0.1074675051519318,1.3491812,0.9766800427436828
kidney loop of Henle thin descending limb epithelial cell,ENSG00000228262,0.1850248463941656,2.2389824,0.9693263053894043
kidney loop of Henle thin descending limb epithelial cell,ENSG00000272168,0.11752090247331654,1.4471748,0.96
kidney loop of Henle thin descending limb epithelial cell,ENSG00000235142,0.0708657517886616,1.4689066,0.9339036798477173
kidney loop of Henle thin descending limb epithelial cell,ENSG00000250903,0.04778024082303989,1.1503017,0.9215958261489868
kidney loop of Henle thin descending limb epithelial cell,ENSG00000225470,0.052747477324742026,0.8997127,0.8963670206069946
kidney loop of Henle thin descending limb epithelial cell,ENSG00000241684,0.10702194070307434,2.2876701,0.8539123058319091
kidney loop of Henle thin descending limb epithelial cell,ENSG00000247809,0.0515443727245839,1.2061768,0.8367274165153503
kidney loop of Henle thin descending limb epithelial cell,ENSG00000215386,0.07136801559043035,1.6777148,0.83646231174469
renal interstitial pericyte,ENSG00000249669,0.6075569132493817,1.4451883,1.0
renal interstitial pericyte,ENSG00000247809,0.3924430867506183,1.1891823,0.8355373764038085
kidney collecting duct principal cell,ENSG00000203709,0.0839984412772448,0.44143182,1.0
kidney collecting duct principal cell,ENSG00000229847,0.10479075246062086,0.46113354,0.96
kidney collecting duct principal cell,ENSG00000235142,0.09706549290711819,0.95832646,0.92
kidney collecting duct principal cell,ENSG00000153113,0.1013028055965553,0.5591187,0.88
kidney collecting duct principal cell,ENSG00000225470,0.07895981695497374,0.6591966,0.88
kidney collecting duct principal cell,ENSG00000236283,0.18772774540148462,2.6033483,0.8521966433525086
kidney collecting duct principal cell,ENSG00000215386,0.13660610508801133,1.4635407,0.8241226768493652
kidney collecting duct principal cell,ENSG00000241684,0.10684052229308545,1.4676503,0.8037570238113403
kidney collecting duct principal cell,ENSG00000242086,0.10270831802090581,1.2488289,0.7814578056335449
kidney collecting duct intercalated cell,ENSG00000249601,0.589092189956433,1.2738726,1.0
kidney collecting duct intercalated cell,ENSG00000242086,0.16269642046579452,1.4906822,0.8108168601989746
kidney collecting duct intercalated cell,ENSG00000236283,0.13649534592299126,1.3451638,0.8027655267715454
kidney collecting duct intercalated cell,ENSG00000215386,0.11171604365478137,0.6215339,0.8
"plasmacytoid dendritic cell, human",ENSG00000225885,0.4473578842221711,3.1308668,1.0
"plasmacytoid dendritic cell, human",ENSG00000267337,0.38757202932991147,2.7233655,1.0
"plasmacytoid dendritic cell, human",ENSG00000280441,0.07435123768529144,1.5827801,0.9343228578567505
"plasmacytoid dendritic cell, human",ENSG00000278996,0.09071884876262586,2.4446328,0.9088134288787841
conventional dendritic cell,ENSG00000231873,0.36380541311972936,1.6019244,1.0
conventional dendritic cell,ENSG00000229140,0.2950389520532894,2.2085054,1.0
conventional dendritic cell,ENSG00000231607,0.12782011812435184,1.6706651,1.0
conventional dendritic cell,ENSG00000280441,0.09698236177258164,0.24681233,0.88
conventional dendritic cell,ENSG00000278996,0.11635315493004778,0.73792577,0.84
non-classical monocyte,ENSG00000177410,1.0,1.0287066,1.0
