clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
endothelial cell,ENSG00000127329,0.11324965842991816,2.4809375,1.0
endothelial cell,ENSG00000172889,0.09393413889278653,1.9917636,1.0
endothelial cell,ENSG00000120156,0.06873344586272537,1.6470599,1.0
endothelial cell,ENSG00000162618,0.059175625722220494,1.3993391,1.0
endothelial cell,ENSG00000102755,0.05733301290430488,1.9879045,1.0
endothelial cell,ENSG00000251322,0.05406631071845389,1.362881,1.0
endothelial cell,ENSG00000174059,0.04434176386159625,0.8390627,1.0
endothelial cell,ENSG00000164035,0.03949417159485573,2.3710456,1.0
endothelial cell,ENSG00000106991,0.02823884551474756,1.9532325,1.0
endothelial cell,ENSG00000261371,0.027130030987065804,2.0075817,1.0
podocyte,ENSG00000151490,0.06536101206912813,4.111971,1.0
podocyte,ENSG00000116218,0.06352452869172408,2.8713508,1.0
podocyte,ENSG00000153246,0.05540756105893408,3.7707,1.0
podocyte,ENSG00000161270,0.0537925224394388,2.7166324,1.0
podocyte,ENSG00000112782,0.049560490494544564,3.0889797,1.0
podocyte,ENSG00000139304,0.04035592751832989,3.7709007,1.0
podocyte,ENSG00000230027,0.028671137031855542,1.6030045,1.0
podocyte,ENSG00000113578,0.028515121376315115,2.4269564,1.0
podocyte,ENSG00000145808,0.02830561620435422,1.8991495,1.0
podocyte,ENSG00000155816,0.024490517785391994,2.3398023,1.0
epithelial cell of proximal tubule,ENSG00000183747,0.06869298892431171,2.1180925,1.0
epithelial cell of proximal tubule,ENSG00000066813,0.06273666573565753,1.79099,1.0
epithelial cell of proximal tubule,ENSG00000149124,0.04736814592093437,0.9099779,1.0
epithelial cell of proximal tubule,ENSG00000107611,0.04594944991408196,2.1465805,1.0
epithelial cell of proximal tubule,ENSG00000166825,0.04256853222500211,0.9997612,1.0
epithelial cell of proximal tubule,ENSG00000174827,0.03251617474452687,1.3290365,1.0
epithelial cell of proximal tubule,ENSG00000130707,0.03158704693187663,0.75149924,1.0
epithelial cell of proximal tubule,ENSG00000090565,0.02847091088159784,1.527844,1.0
epithelial cell of proximal tubule,ENSG00000124568,0.028265816810783276,0.9658134,1.0
epithelial cell of proximal tubule,ENSG00000165449,0.02711354868313455,0.85632044,1.0
neural cell,ENSG00000179915,0.21371003885153517,4.469917,1.0
neural cell,ENSG00000071991,0.12104738775483047,2.5843675,1.0
neural cell,ENSG00000175161,0.07396722948817798,3.0090346,1.0
neural cell,ENSG00000136546,0.06583669663243993,2.7877176,1.0
neural cell,ENSG00000164418,0.053520252601417316,2.7526593,1.0
neural cell,ENSG00000198597,0.0490626753093347,2.5088615,1.0
neural cell,ENSG00000206579,0.04341187943684841,3.3877292,1.0
neural cell,ENSG00000146938,0.034962310918627684,1.8467255,1.0
neural cell,ENSG00000154654,0.029136759800578296,1.5212224,1.0
neural cell,ENSG00000135298,0.024861105110744894,3.2390628,1.0
parietal epithelial cell,ENSG00000000971,0.13074657974591275,2.1673083,1.0
parietal epithelial cell,ENSG00000128918,0.06252921421559196,1.6871982,1.0
parietal epithelial cell,ENSG00000162692,0.05958407605622877,1.5268993,1.0
parietal epithelial cell,ENSG00000163347,0.03101987397240198,0.5888566,1.0
parietal epithelial cell,ENSG00000168785,0.019231914238118864,0.87376666,1.0
parietal epithelial cell,ENSG00000109861,0.017427016998293344,1.1657739,1.0
parietal epithelial cell,ENSG00000076716,0.017406912198191224,0.9996612,1.0
parietal epithelial cell,ENSG00000113361,0.016453092969900853,1.3476219,1.0
parietal epithelial cell,ENSG00000118523,0.05121453586449939,1.9490557,0.9753142952919006
parietal epithelial cell,ENSG00000078328,0.040066556242860894,1.2054752,0.96
papillary tips cell,ENSG00000176153,0.052505678533542995,0.97472465,1.0
papillary tips cell,ENSG00000164266,0.028950945159966594,1.3695071,1.0
papillary tips cell,ENSG00000173267,0.028106982351347922,0.8748858,1.0
papillary tips cell,ENSG00000089356,0.02728500374633658,0.8748858,1.0
papillary tips cell,ENSG00000102554,0.02650529912812695,1.1068124,1.0
papillary tips cell,ENSG00000064655,0.016081189367606323,0.6203343,1.0
papillary tips cell,ENSG00000137648,0.015757404692575666,0.97390324,1.0
papillary tips cell,ENSG00000112378,0.015439137911114877,1.5152845,1.0
papillary tips cell,ENSG00000213853,0.013250556553073205,0.95178556,1.0
papillary tips cell,ENSG00000132170,0.01628798154637115,1.4504418,0.9894477510452271
kidney interstitial fibroblast,ENSG00000112936,0.05548263075136045,2.3014634,1.0
kidney interstitial fibroblast,ENSG00000165124,0.05434957154920779,1.3950067,1.0
kidney interstitial fibroblast,ENSG00000140937,0.050846657895556605,1.6145164,1.0
kidney interstitial fibroblast,ENSG00000107518,0.05037007057465168,2.160164,1.0
kidney interstitial fibroblast,ENSG00000079931,0.04749969525718382,1.4556615,1.0
kidney interstitial fibroblast,ENSG00000143995,0.036524363329594786,2.1533892,1.0
kidney interstitial fibroblast,ENSG00000140092,0.03259532735283284,1.2465479,1.0
kidney interstitial fibroblast,ENSG00000049323,0.025736351767315657,1.9237013,1.0
kidney interstitial fibroblast,ENSG00000164692,0.021467961319233037,0.92102736,1.0
kidney interstitial fibroblast,ENSG00000156049,0.019731136956252882,1.5091045,1.0
kidney connecting tubule epithelial cell,ENSG00000104327,0.05761276998857313,1.6174142,1.0
kidney connecting tubule epithelial cell,ENSG00000226674,0.017884266485392004,1.0817025,1.0
kidney connecting tubule epithelial cell,ENSG00000121068,0.012366564890981837,0.541083,0.9719213652610779
kidney connecting tubule epithelial cell,ENSG00000136531,0.02016980313734087,1.4354606,0.969392831325531
kidney connecting tubule epithelial cell,ENSG00000165685,0.014250978124317193,1.0505464,0.96
kidney connecting tubule epithelial cell,ENSG00000273706,0.013421684472093173,0.51091564,0.96
kidney connecting tubule epithelial cell,ENSG00000139144,0.018317812032204697,1.2998948,0.9426327872276307
kidney connecting tubule epithelial cell,ENSG00000101443,0.010854075808167506,1.4101033,0.9350604033470153
kidney connecting tubule epithelial cell,ENSG00000183023,0.06029446508245544,2.8454437,0.9284105467796325
kidney connecting tubule epithelial cell,ENSG00000176387,0.03347334285304201,2.194682,0.925128104686737
kidney distal convoluted tubule epithelial cell,ENSG00000070915,0.13113841898235043,3.695981,1.0
kidney distal convoluted tubule epithelial cell,ENSG00000104332,0.02193554723609655,1.0995483,1.0
kidney distal convoluted tubule epithelial cell,ENSG00000182389,0.019789597086643643,0.8659537,1.0
kidney distal convoluted tubule epithelial cell,ENSG00000146021,0.01638244362265271,0.7526914,1.0
kidney distal convoluted tubule epithelial cell,ENSG00000068366,0.01331579372461059,1.6728129,0.9875606250762939
kidney distal convoluted tubule epithelial cell,ENSG00000165685,0.05929569888327365,2.3708415,0.9822755527496337
kidney distal convoluted tubule epithelial cell,ENSG00000273706,0.020251992275194954,0.97357297,0.9790086340904236
kidney distal convoluted tubule epithelial cell,ENSG00000138798,0.016576042236340526,1.4964043,0.9787118673324585
kidney distal convoluted tubule epithelial cell,ENSG00000092439,0.027873329272705697,1.8154278,0.9785923528671264
kidney distal convoluted tubule epithelial cell,ENSG00000113889,0.024063540475605983,1.9359319,0.9702849602699279
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000074803,0.14042819000346743,3.692665,1.0
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000169344,0.09056555559145188,3.5258389,1.0
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000036828,0.032723780315280074,1.0653536,0.9796328544616699
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000171365,0.01521737692689133,1.2004337,0.9753970336914063
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000113889,0.021252193502614897,1.4381573,0.96
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000134873,0.020127730222615072,0.9674876,0.96
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000152779,0.015205643657888731,0.68898576,0.96
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000184226,0.013798704827515365,0.6538986,0.96
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000151704,0.014701536669574146,1.051343,0.9282783126831055
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000115252,0.020656498231825398,1.6106316,0.9032368636131287
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000140600,0.07134334016161085,2.5138898,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000198691,0.03335439077066264,0.99325,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000085662,0.02989477730313409,1.9096122,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000275395,0.02544952904648451,1.180935,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000064787,0.020784229723025238,0.8661219,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000178538,0.018973559642107406,1.4392529,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000134121,0.015886928821544737,1.7107933,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000186510,0.013954288580101797,1.2722979,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000159263,0.013423952757353062,1.2140651,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000042062,0.013798203368786155,1.6794062,0.9760134649276734
kidney loop of Henle thin descending limb epithelial cell,ENSG00000165443,0.03676954831761378,1.346181,1.0
kidney loop of Henle thin descending limb epithelial cell,ENSG00000109472,0.03168747293168489,1.0166342,1.0
kidney loop of Henle thin descending limb epithelial cell,ENSG00000007062,0.03109914937375453,1.6017387,1.0
kidney loop of Henle thin descending limb epithelial cell,ENSG00000137393,0.01727874119302166,1.3858082,1.0
kidney loop of Henle thin descending limb epithelial cell,ENSG00000241158,0.013303302071512245,1.3491812,0.9766800427436828
kidney loop of Henle thin descending limb epithelial cell,ENSG00000160209,0.012375744114302232,1.2991865,0.9715139269828796
kidney loop of Henle thin descending limb epithelial cell,ENSG00000228262,0.019982844905804775,2.2389824,0.9693263053894043
kidney loop of Henle thin descending limb epithelial cell,ENSG00000137968,0.030394546458580154,1.3180096,0.9649300909042359
kidney loop of Henle thin descending limb epithelial cell,ENSG00000128573,0.029729324234608015,2.3698874,0.96
kidney loop of Henle thin descending limb epithelial cell,ENSG00000072840,0.014169146274209727,1.1932704,0.96
renal interstitial pericyte,ENSG00000133392,0.0900413028432922,1.8763185,1.0
renal interstitial pericyte,ENSG00000149591,0.07443803085500955,1.8650546,1.0
renal interstitial pericyte,ENSG00000074181,0.06472626671560426,1.2684374,1.0
renal interstitial pericyte,ENSG00000249669,0.04956562255758007,1.4451883,1.0
renal interstitial pericyte,ENSG00000107796,0.045809613652570656,1.625236,1.0
renal interstitial pericyte,ENSG00000101335,0.038507562589401474,1.7456423,1.0
renal interstitial pericyte,ENSG00000113721,0.034664665578518716,1.2637575,1.0
renal interstitial pericyte,ENSG00000198467,0.029555597763039478,0.72827584,1.0
renal interstitial pericyte,ENSG00000152583,0.02228149777627936,1.3829794,1.0
renal interstitial pericyte,ENSG00000148671,0.06313141150127786,2.0735276,0.9671089196205139
kidney collecting duct principal cell,ENSG00000150201,0.04578174558754122,1.9843087,1.0
kidney collecting duct principal cell,ENSG00000112319,0.027082524024720608,1.4454707,1.0
kidney collecting duct principal cell,ENSG00000171435,0.021485718621676416,0.933851,1.0
kidney collecting duct principal cell,ENSG00000166828,0.020404566833994355,1.0264218,1.0
kidney collecting duct principal cell,ENSG00000182752,0.014050667789966156,1.120645,1.0
kidney collecting duct principal cell,ENSG00000168447,0.013895434943910963,0.6063914,1.0
kidney collecting duct principal cell,ENSG00000187889,0.013419337152607323,1.23884,1.0
kidney collecting duct principal cell,ENSG00000173898,0.012876699508296507,0.74169683,1.0
kidney collecting duct principal cell,ENSG00000138696,0.01702143451376649,1.8415521,0.9928308820724487
kidney collecting duct principal cell,ENSG00000167580,0.0549688255919562,2.8160205,0.9860987901687622
kidney collecting duct intercalated cell,ENSG00000147614,0.06430375234593577,2.2127473,1.0
kidney collecting duct intercalated cell,ENSG00000249601,0.059912360406671736,1.2738726,1.0
kidney collecting duct intercalated cell,ENSG00000143882,0.04879246892407302,1.2707571,1.0
kidney collecting duct intercalated cell,ENSG00000151418,0.04667641804853115,1.0122883,1.0
kidney collecting duct intercalated cell,ENSG00000147606,0.03855602601304256,2.451087,1.0
kidney collecting duct intercalated cell,ENSG00000173253,0.03521083122045862,0.66765416,1.0
kidney collecting duct intercalated cell,ENSG00000113073,0.03193419370519178,0.8212576,1.0
kidney collecting duct intercalated cell,ENSG00000004939,0.02974238211931797,1.1331462,1.0
kidney collecting duct intercalated cell,ENSG00000157404,0.024874618902644068,0.8253229,1.0
kidney collecting duct intercalated cell,ENSG00000150782,0.023426700533239184,1.5379076,1.0
mast cell,ENSG00000185420,0.5379161915543964,1.4703645,0.8408995914459229
mast cell,ENSG00000170927,0.46208380844560365,1.3943416,0.6967534160614014
T cell,ENSG00000168685,0.1609272154510403,1.8202304,1.0
T cell,ENSG00000116824,0.07285491258699821,1.0553466,0.96
T cell,ENSG00000227507,0.03998098191886338,1.4543676,0.96
T cell,ENSG00000008517,0.03683328844657654,1.8170831,0.96
T cell,ENSG00000133639,0.014778995170809928,1.6397574,0.9142510581016541
T cell,ENSG00000196154,0.012118387870774384,2.2853198,0.825341739654541
T cell,ENSG00000081237,0.03968896816398646,2.1864445,0.8144613599777222
T cell,ENSG00000213741,0.015239516520603184,2.9774613,0.8006458020210266
T cell,ENSG00000134419,0.013503295121502593,3.4954028,0.7965382194519043
T cell,ENSG00000177954,0.02072028620485314,4.1476254,0.7937591290473938
neutrophil,ENSG00000143546,0.20319107504596157,3.671335,1.0
neutrophil,ENSG00000170458,0.016034211869316098,1.3051044,1.0
neutrophil,ENSG00000125740,0.009271139287216096,0.33473822,1.0
neutrophil,ENSG00000163220,0.16564277432681704,4.315905,0.9806630325317383
neutrophil,ENSG00000163563,0.025437799668100454,2.0564854,0.977025191783905
neutrophil,ENSG00000085265,0.026346365271361766,2.1162271,0.9603901982307435
neutrophil,ENSG00000204482,0.014803980521281575,2.1144505,0.96
neutrophil,ENSG00000090382,0.0410483352665316,3.9563494,0.9555056095123291
neutrophil,ENSG00000100300,0.009428701067866762,2.1467762,0.9444539761543274
neutrophil,ENSG00000163131,0.009309877217883386,2.1193886,0.9440362215042114
mononuclear phagocyte,ENSG00000196735,0.04398914754100981,2.193626,1.0
mononuclear phagocyte,ENSG00000179344,0.033548711091280686,2.1083364,1.0
mononuclear phagocyte,ENSG00000110077,0.02067901740219194,1.2963431,1.0
mononuclear phagocyte,ENSG00000231389,0.06066372311481934,3.2568126,0.9545407485961914
mononuclear phagocyte,ENSG00000223865,0.07247087031584555,3.220821,0.9301125264167786
mononuclear phagocyte,ENSG00000101347,0.019415395893905212,1.2062559,0.92
mononuclear phagocyte,ENSG00000196126,0.04647147585153377,3.4127235,0.9044767713546753
mononuclear phagocyte,ENSG00000101439,0.013534009875667557,2.7568426,0.898848180770874
mononuclear phagocyte,ENSG00000204287,0.06541557100803458,3.9830475,0.8959136080741882
mononuclear phagocyte,ENSG00000048740,0.01751735629269352,0.66897625,0.88
plasma cell,ENSG00000170476,0.20171533416691512,2.2054443,1.0
plasma cell,ENSG00000211592,0.16319681627853705,3.287609,1.0
plasma cell,ENSG00000132465,0.10893987809071035,0.37961894,1.0
plasma cell,ENSG00000100219,0.0736344332629086,1.8482196,1.0
plasma cell,ENSG00000051108,0.02527089202567771,1.3673804,1.0
plasma cell,ENSG00000118363,0.01651672786064557,1.3064861,1.0
plasma cell,ENSG00000129128,0.011005276171413909,0.42768443,1.0
plasma cell,ENSG00000180879,0.08045364603166444,2.0722485,0.9771932244300843
plasma cell,ENSG00000166598,0.025011951118623435,1.8973457,0.9766697835922241
plasma cell,ENSG00000113387,0.012161871577692036,1.2204359,0.92
"plasmacytoid dendritic cell, human",ENSG00000225885,0.11048992376015089,3.1308668,1.0
"plasmacytoid dendritic cell, human",ENSG00000267337,0.1081312254927751,2.7233655,1.0
"plasmacytoid dendritic cell, human",ENSG00000111249,0.06781154570624079,2.3596957,1.0
"plasmacytoid dendritic cell, human",ENSG00000066827,0.05109607325258026,2.8607407,1.0
"plasmacytoid dendritic cell, human",ENSG00000119866,0.02958103003777352,2.7163024,1.0
"plasmacytoid dendritic cell, human",ENSG00000124813,0.027800077311703062,2.8160625,1.0
"plasmacytoid dendritic cell, human",ENSG00000105426,0.027433068133717577,2.4484868,1.0
"plasmacytoid dendritic cell, human",ENSG00000221866,0.022930041268473724,2.3728223,1.0
"plasmacytoid dendritic cell, human",ENSG00000184588,0.019689987577277482,2.9568398,1.0
"plasmacytoid dendritic cell, human",ENSG00000167483,0.019569616152469476,1.8677098,1.0
B cell,ENSG00000156738,0.1957647980048092,1.9252429,1.0
B cell,ENSG00000153064,0.13660179157590877,1.6102698,1.0
B cell,ENSG00000116191,0.06077870964287739,1.4394681,1.0
B cell,ENSG00000104894,0.03816712857510118,1.8592302,0.975511999130249
B cell,ENSG00000227507,0.03799573610199179,1.759993,0.9669460582733155
B cell,ENSG00000231389,0.01216600530998012,1.4641254,0.92
B cell,ENSG00000223865,0.01222267870112867,1.6309997,0.88
B cell,ENSG00000204287,0.027742637219468066,2.8308249,0.8543491268157959
B cell,ENSG00000196126,0.014306529603031309,2.0530539,0.8489706301689148
B cell,ENSG00000081189,0.016632196243028165,1.5311532,0.8309346461296081
kidney interstitial alternatively activated macrophage,ENSG00000124491,0.12593050453792962,2.1692119,1.0
kidney interstitial alternatively activated macrophage,ENSG00000260314,0.11400127405156975,2.1431885,1.0
kidney interstitial alternatively activated macrophage,ENSG00000177575,0.09493452199264955,1.5845428,1.0
kidney interstitial alternatively activated macrophage,ENSG00000137491,0.07074670802678894,1.6260118,1.0
kidney interstitial alternatively activated macrophage,ENSG00000010327,0.0641736875614027,1.4126914,1.0
kidney interstitial alternatively activated macrophage,ENSG00000250722,0.040531980612157154,1.0810817,1.0
kidney interstitial alternatively activated macrophage,ENSG00000114541,0.028741933241004602,2.0197742,1.0
kidney interstitial alternatively activated macrophage,ENSG00000164733,0.025439986940315323,1.6037102,1.0
kidney interstitial alternatively activated macrophage,ENSG00000248905,0.022219371905084585,0.76570755,0.9682697868347168
kidney interstitial alternatively activated macrophage,ENSG00000181804,0.049689165567830776,1.9829924,0.9605546379089356
conventional dendritic cell,ENSG00000231873,0.05895878871027203,1.6019244,1.0
conventional dendritic cell,ENSG00000229140,0.03909158209540591,2.2085054,1.0
conventional dendritic cell,ENSG00000140090,0.038727357811422794,1.2979169,1.0
conventional dendritic cell,ENSG00000178175,0.019378808565904265,0.9797613,1.0
conventional dendritic cell,ENSG00000104490,0.014957864343733265,2.052994,1.0
conventional dendritic cell,ENSG00000122025,0.06253565222784471,2.2680783,0.9861150693893432
conventional dendritic cell,ENSG00000128815,0.11077765503679629,3.7207105,0.9784080982208252
conventional dendritic cell,ENSG00000048052,0.03512906335666117,3.5762978,0.9774672031402588
conventional dendritic cell,ENSG00000109684,0.04168980109904464,3.034233,0.9763453054428101
conventional dendritic cell,ENSG00000182985,0.021396792738346125,2.2745142,0.9626694512367249
non-classical monocyte,ENSG00000203747,0.037905098730027606,1.594597,1.0
non-classical monocyte,ENSG00000028137,0.013841924214185602,1.4296504,1.0
non-classical monocyte,ENSG00000172216,0.012992463011171485,1.6532781,1.0
non-classical monocyte,ENSG00000158869,0.020677243469731283,2.6968188,0.9721078062057495
non-classical monocyte,ENSG00000204482,0.05529618911767094,2.777752,0.9695516300201416
non-classical monocyte,ENSG00000085265,0.05381983368670841,2.0955834,0.96
non-classical monocyte,ENSG00000163220,0.034536419960238346,2.086413,0.96
non-classical monocyte,ENSG00000204472,0.02680716605438156,2.9878798,0.9543834567070008
non-classical monocyte,ENSG00000163131,0.030935606848292937,2.5736737,0.9539145159721375
non-classical monocyte,ENSG00000103187,0.028349635774786046,2.597094,0.9473729014396668
lymphocyte,ENSG00000105374,0.11449623174434098,3.605422,1.0
lymphocyte,ENSG00000271503,0.09937340392819667,3.1264813,1.0
lymphocyte,ENSG00000100450,0.07392346232927333,1.9518232,1.0
lymphocyte,ENSG00000180644,0.06341395837893089,1.7660737,1.0
lymphocyte,ENSG00000077984,0.055110114974577934,2.1300905,1.0
lymphocyte,ENSG00000145649,0.05096410229816289,2.307016,1.0
lymphocyte,ENSG00000172543,0.04577076479584501,1.6068065,1.0
lymphocyte,ENSG00000275302,0.04400569977373231,2.368655,1.0
lymphocyte,ENSG00000134539,0.03684377946606214,1.9096434,1.0
lymphocyte,ENSG00000100453,0.03184351612091792,1.1277902,1.0
