,0
Bergmann glial cell,675
T cell,83
astrocyte,213
caudal ganglionic eminence derived cortical interneuron,3987
central nervous system macrophage,265
cerebellar granule cell,218
cerebellar inhibitory GABAergic interneuron,1459
choroid plexus epithelial cell,2774
committed oligodendrocyte precursor,554
endothelial cell,206
ependymal cell,329
fibroblast,80
intratelencephalic-projecting glutamatergic cortical neuron,7130
microglial cell,127
midbrain-derived inhibitory neuron,5061
monocyte,148
natural killer cell,377
neuron,2717
oligodendrocyte,492
oligodendrocyte precursor cell,261
pericyte,246
vascular associated smooth muscle cell,335
