software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cell_type,fibroblast,68,0.7336956521739131,0.9310344827586207,0.39705882352941174,24120,2,41,27,2,"['ENSG00000138061', 'ENSG00000011465']","['ENSG00000167779', 'ENSG00000077942', 'ENSG00000138061', 'ENSG00000119686', 'ENSG00000011465', 'ENSG00000103888', 'ENSG00000164692', 'ENSG00000187720', 'ENSG00000122870', 'ENSG00000249307']",0.6666667
4.1,cell_type,ependymal cell,147,0.8426966292134831,0.8823529411764706,0.7142857142857143,24029,14,42,105,1,['ENSG00000197057'],"['ENSG00000197057', 'ENSG00000197171', 'ENSG00000162598', 'ENSG00000186710', 'ENSG00000198774', 'ENSG00000231557', 'ENSG00000160401', 'ENSG00000180264', 'ENSG00000137473', 'ENSG00000197826']",1.0
4.1,cell_type,T cell,202,0.8561643835616438,0.946969696969697,0.6188118811881188,23981,7,77,125,2,"['ENSG00000172673', 'ENSG00000116824']","['ENSG00000172673', 'ENSG00000116824', 'ENSG00000198851', 'ENSG00000165929', 'ENSG00000113088', 'ENSG00000008517', 'ENSG00000277734', 'ENSG00000234663', 'ENSG00000271503', 'ENSG00000161405']",1.0
4.1,cell_type,endothelial cell,215,0.9329608938547486,0.9823529411764705,0.7767441860465116,23972,3,48,167,2,"['ENSG00000118777', 'ENSG00000085276']","['ENSG00000118777', 'ENSG00000184113', 'ENSG00000102755', 'ENSG00000085276', 'ENSG00000206190', 'ENSG00000157554', 'ENSG00000163072', 'ENSG00000180229', 'ENSG00000085563', 'ENSG00000069122']",1.0
4.1,cell_type,astrocyte,2435,0.9552341008302662,0.9653979238754326,0.9166324435318275,21675,80,203,2232,1,['ENSG00000131095'],"['ENSG00000135063', 'ENSG00000152137', 'ENSG00000041982', 'ENSG00000131095', 'ENSG00000234377', 'ENSG00000026508', 'ENSG00000287704', 'ENSG00000171885', 'ENSG00000287372', 'ENSG00000249307']",0.82758623
4.1,cell_type,oligodendrocyte,11503,0.9841215547194267,0.9929161747343566,0.9504477092932279,12609,78,570,10933,2,"['ENSG00000168314', 'ENSG00000147488']","['ENSG00000168314', 'ENSG00000227088', 'ENSG00000228793', 'ENSG00000147488', 'ENSG00000091513', 'ENSG00000204655', 'ENSG00000123560', 'ENSG00000187147', 'ENSG00000197971', 'ENSG00000164124']",0.95238096
4.1,cell_type,microglial cell,1647,0.8524535253726344,0.9417206290471786,0.6180935033394049,22480,63,629,1018,1,['ENSG00000204287'],"['ENSG00000231131', 'ENSG00000140678', 'ENSG00000204287', 'ENSG00000112799', 'ENSG00000165025', 'ENSG00000182578', 'ENSG00000196126', 'ENSG00000159189', 'ENSG00000168329', 'ENSG00000077420']",0.4
4.1,cell_type,vascular associated smooth muscle cell,8,0.75,1.0,0.375,24182,0,5,3,2,"['ENSG00000149591', 'ENSG00000112837']","['ENSG00000149591', 'ENSG00000259134', 'ENSG00000141052', 'ENSG00000142279', 'ENSG00000169908', 'ENSG00000112837', 'ENSG00000111341', 'ENSG00000107796', 'ENSG00000157110', 'ENSG00000133392']",1.0
4.1,cell_type,neuron,4910,0.9741773513852775,0.9993101862497126,0.885132382892057,19277,3,564,4346,2,"['ENSG00000185008', 'ENSG00000198216']","['ENSG00000108001', 'ENSG00000182674', 'ENSG00000185008', 'ENSG00000198216', 'ENSG00000155093', 'ENSG00000198010', 'ENSG00000174482', 'ENSG00000163046', 'ENSG00000077264', 'ENSG00000176406']",0.3266691
4.1,cell_type,monocyte,9,0.4,0.5,0.2222222222222222,24179,2,7,2,3,"['ENSG00000111348', 'ENSG00000130066', 'ENSG00000132475']","['ENSG00000099860', 'ENSG00000131446', 'ENSG00000216490', 'ENSG00000111348', 'ENSG00000130066', 'ENSG00000132475', 'ENSG00000134516', 'ENSG00000109787', 'ENSG00000254087', 'ENSG00000081237']",0.5
4.1,cell_type,natural killer cell,8,0.9375,1.0,0.75,24182,0,2,6,1,['ENSG00000100453'],"['ENSG00000100453', 'ENSG00000115523', 'ENSG00000180644', 'ENSG00000137441', 'ENSG00000105374', 'ENSG00000150045', 'ENSG00000145287', 'ENSG00000005844', 'ENSG00000245164', 'ENSG00000162777']",1.0
4.1,cell_type,Bergmann glial cell,7,0.7407407407407407,0.8,0.5714285714285714,24182,1,3,4,1,['ENSG00000279082'],"['ENSG00000279082', 'ENSG00000223715', 'ENSG00000286757', 'ENSG00000183963', 'ENSG00000225649', 'ENSG00000287706', 'ENSG00000133067', 'ENSG00000101938', 'ENSG00000080493', 'ENSG00000079215']",1.0
4.1,cell_type,pericyte,78,0.9228187919463087,1.0,0.7051282051282052,24112,0,23,55,2,"['ENSG00000185633', 'ENSG00000018625']","['ENSG00000143248', 'ENSG00000272573', 'ENSG00000111181', 'ENSG00000185633', 'ENSG00000249669', 'ENSG00000018625', 'ENSG00000011465', 'ENSG00000128641', 'ENSG00000074181', 'ENSG00000112214']",0.6724599
4.1,cell_type,choroid plexus epithelial cell,1,1.0,1.0,1.0,24189,0,0,1,1,['ENSG00000187889'],"['ENSG00000187889', 'ENSG00000187527', 'ENSG00000124839', 'ENSG00000137573', 'ENSG00000164707', 'ENSG00000188039', 'ENSG00000130957', 'ENSG00000171864', 'ENSG00000115474', 'ENSG00000163694']",1.0
4.1,cell_type,central nervous system macrophage,29,0.8426966292134831,1.0,0.5172413793103449,24161,0,14,15,1,['ENSG00000260314'],"['ENSG00000124491', 'ENSG00000260314', 'ENSG00000177575', 'ENSG00000133800', 'ENSG00000088827', 'ENSG00000010327', 'ENSG00000110077', 'ENSG00000184060', 'ENSG00000110079', 'ENSG00000129538']",1.0
