,0
Bergmann glial cell,75
T cell,1
astrocyte,28
caudal ganglionic eminence derived cortical interneuron,430
central nervous system macrophage,3
cerebellar granule cell,20
cerebellar inhibitory GABAergic interneuron,86
choroid plexus epithelial cell,239
committed oligodendrocyte precursor,32
endothelial cell,1
ependymal cell,32
fibroblast,10
intratelencephalic-projecting glutamatergic cortical neuron,844
microglial cell,7
midbrain-derived inhibitory neuron,389
monocyte,5
natural killer cell,11
neuron,138
oligodendrocyte,39
oligodendrocyte precursor cell,20
pericyte,19
vascular associated smooth muscle cell,17
