clusterName,markerGene,score
fibroblast,ENSG00000249797,0.6756756756756757
fibroblast,ENSG00000249307,0.6756756756756757
fibroblast,ENSG00000243620,0.6756756756756757
fibroblast,ENSG00000247809,0.6756756756756757
ependymal cell,ENSG00000250597,0.7220708446866485
ependymal cell,ENSG00000254101,0.7220708446866485
T cell,ENSG00000234663,0.4250457038391225
endothelial cell,ENSG00000250863,0.362116991643454
astrocyte,ENSG00000234377,0.9250414270396725
astrocyte,ENSG00000287704,0.9250414270396725
oligodendrocyte,ENSG00000227088,0.9649841009920219
oligodendrocyte,ENSG00000228793,0.9649841009920219
microglial cell,ENSG00000231131,0.8194740582800284
vascular associated smooth muscle cell,ENSG00000259134,0.625
neuron,ENSG00000260232,0.9200527704485488
neuron,ENSG00000225206,0.9200527704485488
monocyte,ENSG00000258667,0.09433962264150944
monocyte,ENSG00000264031,0.09433962264150944
monocyte,ENSG00000153113,0.09433962264150944
natural killer cell,ENSG00000245164,0.5
Bergmann glial cell,ENSG00000279082,0.7407407407407407
pericyte,ENSG00000249669,0.8015267175572519
choroid plexus epithelial cell,ENSG00000251170,1.0
central nervous system macrophage,ENSG00000231535,0.11673151750972763
central nervous system macrophage,ENSG00000236088,0.11673151750972763
cerebellar granule cell,ENSG00000286679,0.8656716417910447
cerebellar granule cell,ENSG00000279249,0.8656716417910447
oligodendrocyte precursor cell,ENSG00000231424,0.8786579958616613
oligodendrocyte precursor cell,ENSG00000278254,0.8786579958616613
intratelencephalic-projecting glutamatergic cortical neuron,ENSG00000256193,1.0
cerebellar inhibitory GABAergic interneuron,ENSG00000256422,0.7954545454545454
cerebellar inhibitory GABAergic interneuron,ENSG00000259481,0.7954545454545454
committed oligodendrocyte precursor,ENSG00000236494,0.7421875
committed oligodendrocyte precursor,ENSG00000207955,0.7421875
caudal ganglionic eminence derived cortical interneuron,ENSG00000231764,1.0
midbrain-derived inhibitory neuron,ENSG00000239513,1.0
