clusterName,onTarget
fibroblast,0.1392157
ependymal cell,0.5909091
T cell,1.0
endothelial cell,1.0
astrocyte,0.7571429
oligodendrocyte,1.0
microglial cell,1.0
vascular associated smooth muscle cell,1.0
neuron,0.49803922
monocyte,1.0
natural killer cell,1.0
Bergmann glial cell,1.0
pericyte,0.6666667
choroid plexus epithelial cell,1.0
central nervous system macrophage,0.21428573
cerebellar granule cell,1.0
oligodendrocyte precursor cell,1.0
intratelencephalic-projecting glutamatergic cortical neuron,1.0
cerebellar inhibitory GABAergic interneuron,0.5694444
committed oligodendrocyte precursor,0.8181818
caudal ganglionic eminence derived cortical interneuron,1.0
midbrain-derived inhibitory neuron,1.0
