clusterName,markerGene,onTarget_per_gene,onTarget
fibroblast,ENSG00000249797,0.2,0.1392157
fibroblast,ENSG00000249307,0.23529412,0.1392157
fibroblast,ENSG00000243620,0.078431375,0.1392157
fibroblast,ENSG00000247809,0.041666668,0.1392157
ependymal cell,ENSG00000250597,1.0,0.5909091
ependymal cell,ENSG00000254101,0.18181819,0.5909091
T cell,ENSG00000234663,1.0,1.0
endothelial cell,ENSG00000250863,1.0,1.0
astrocyte,ENSG00000234377,0.8,0.7571429
astrocyte,ENSG00000287704,0.71428573,0.7571429
oligodendrocyte,ENSG00000227088,1.0,1.0
oligodendrocyte,ENSG00000228793,1.0,1.0
microglial cell,ENSG00000231131,1.0,1.0
vascular associated smooth muscle cell,ENSG00000259134,1.0,1.0
neuron,ENSG00000260232,0.8,0.49803922
neuron,ENSG00000225206,0.19607843,0.49803922
monocyte,ENSG00000258667,1.0,1.0
monocyte,ENSG00000264031,1.0,1.0
monocyte,ENSG00000153113,0.1,1.0
natural killer cell,ENSG00000245164,1.0,1.0
Bergmann glial cell,ENSG00000279082,1.0,1.0
pericyte,ENSG00000249669,0.6666667,0.6666667
choroid plexus epithelial cell,ENSG00000251170,1.0,1.0
central nervous system macrophage,ENSG00000231535,0.2857143,0.21428573
central nervous system macrophage,ENSG00000236088,0.14285715,0.21428573
cerebellar granule cell,ENSG00000286679,1.0,1.0
cerebellar granule cell,ENSG00000279249,1.0,1.0
oligodendrocyte precursor cell,ENSG00000231424,1.0,1.0
oligodendrocyte precursor cell,ENSG00000278254,1.0,1.0
intratelencephalic-projecting glutamatergic cortical neuron,ENSG00000256193,1.0,1.0
cerebellar inhibitory GABAergic interneuron,ENSG00000256422,0.5833333,0.5694444
cerebellar inhibitory GABAergic interneuron,ENSG00000259481,0.5555556,0.5694444
committed oligodendrocyte precursor,ENSG00000236494,1.0,0.8181818
committed oligodendrocyte precursor,ENSG00000207955,0.6363636,0.8181818
caudal ganglionic eminence derived cortical interneuron,ENSG00000231764,1.0,1.0
midbrain-derived inhibitory neuron,ENSG00000239513,1.0,1.0
