software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cell_type,fibroblast,68,0.6756756756756757,1.0,0.29411764705882354,24122,0,48,20,4,"['ENSG00000249797', 'ENSG00000249307', 'ENSG00000243620', 'ENSG00000247809']","['ENSG00000249797', 'ENSG00000224063', 'ENSG00000249307', 'ENSG00000241684', 'ENSG00000243620', 'ENSG00000247809', 'ENSG00000272168', 'ENSG00000214548', 'ENSG00000237187', 'ENSG00000255248']",0.1392157
4.1,cell_type,ependymal cell,147,0.7220708446866485,0.9636363636363636,0.36054421768707484,24041,2,94,53,2,"['ENSG00000250597', 'ENSG00000254101']","['ENSG00000231557', 'ENSG00000258752', 'ENSG00000225421', 'ENSG00000250597', 'ENSG00000283117', 'ENSG00000254101', 'ENSG00000253438', 'ENSG00000287704', 'ENSG00000234377', 'ENSG00000223727']",0.5909091
4.1,cell_type,T cell,202,0.4250457038391225,0.4170403587443946,0.4603960396039604,23858,130,109,93,1,['ENSG00000234663'],['ENSG00000234663'],1.0
4.1,cell_type,endothelial cell,215,0.362116991643454,0.3291139240506329,0.6046511627906976,23710,265,85,130,1,['ENSG00000250863'],['ENSG00000250863'],1.0
4.1,cell_type,astrocyte,2435,0.9250414270396725,0.9703476482617587,0.7794661190965092,21697,58,537,1898,2,"['ENSG00000234377', 'ENSG00000287704']","['ENSG00000251442', 'ENSG00000234377', 'ENSG00000287704', 'ENSG00000287372', 'ENSG00000226476', 'ENSG00000231252', 'ENSG00000260372', 'ENSG00000257060', 'ENSG00000249307', 'ENSG00000287862']",0.7571429
4.1,cell_type,oligodendrocyte,11503,0.9649841009920219,0.988492295689487,0.8811614361470921,12569,118,1367,10136,2,"['ENSG00000227088', 'ENSG00000228793']","['ENSG00000227088', 'ENSG00000228793', 'ENSG00000226994', 'ENSG00000241345', 'ENSG00000286279', 'ENSG00000257585', 'ENSG00000286749', 'ENSG00000259070', 'ENSG00000207955', 'ENSG00000253807']",1.0
4.1,cell_type,microglial cell,1647,0.8194740582800284,0.8559762435040832,0.7000607164541591,22349,194,494,1153,1,['ENSG00000231131'],"['ENSG00000231131', 'ENSG00000285534', 'ENSG00000249738', 'ENSG00000250125', 'ENSG00000176124', 'ENSG00000253535', 'ENSG00000227082']",1.0
4.1,cell_type,vascular associated smooth muscle cell,8,0.625,1.0,0.25,24182,0,6,2,1,['ENSG00000259134'],"['ENSG00000259134', 'ENSG00000249669', 'ENSG00000224063', 'ENSG00000286458', 'ENSG00000235531', 'ENSG00000287134', 'ENSG00000275443', 'ENSG00000241684', 'ENSG00000248441', 'ENSG00000247809']",1.0
4.1,cell_type,neuron,4910,0.9200527704485488,0.9934472934472934,0.710183299389002,19257,23,1423,3487,2,"['ENSG00000260232', 'ENSG00000225206']","['ENSG00000260232', 'ENSG00000225206', 'ENSG00000253554', 'ENSG00000279668', 'ENSG00000265356', 'ENSG00000255693', 'ENSG00000255794', 'ENSG00000225783', 'ENSG00000259234', 'ENSG00000225746']",0.49803922
4.1,cell_type,monocyte,9,0.09433962264150944,0.09090909090909091,0.1111111111111111,24171,10,8,1,3,"['ENSG00000258667', 'ENSG00000264031', 'ENSG00000153113']","['ENSG00000258667', 'ENSG00000264031', 'ENSG00000286145', 'ENSG00000153113', 'ENSG00000272888']",1.0
4.1,cell_type,natural killer cell,8,0.5,0.6666666666666666,0.25,24181,1,6,2,1,['ENSG00000245164'],"['ENSG00000245164', 'ENSG00000251301', 'ENSG00000286122', 'ENSG00000236449', 'ENSG00000197536', 'ENSG00000234323', 'ENSG00000231535', 'ENSG00000236790', 'ENSG00000274020', 'ENSG00000153113']",1.0
4.1,cell_type,Bergmann glial cell,7,0.7407407407407407,0.8,0.5714285714285714,24182,1,3,4,1,['ENSG00000279082'],"['ENSG00000279082', 'ENSG00000223715', 'ENSG00000286757', 'ENSG00000225649', 'ENSG00000287706', 'ENSG00000281721', 'ENSG00000233611', 'ENSG00000248429', 'ENSG00000235538', 'ENSG00000236790']",1.0
4.1,cell_type,pericyte,78,0.8015267175572519,0.9130434782608695,0.5384615384615384,24108,4,36,42,1,['ENSG00000249669'],"['ENSG00000249797', 'ENSG00000249669', 'ENSG00000235531', 'ENSG00000237596', 'ENSG00000287134', 'ENSG00000275443', 'ENSG00000172965', 'ENSG00000251003', 'ENSG00000241684', 'ENSG00000247809']",0.6666667
4.1,cell_type,choroid plexus epithelial cell,1,1.0,1.0,1.0,24189,0,0,1,1,['ENSG00000251170'],"['ENSG00000251170', 'ENSG00000258312', 'ENSG00000215483', 'ENSG00000287593', 'ENSG00000243629', 'ENSG00000286722', 'ENSG00000232913', 'ENSG00000258725', 'ENSG00000225676', 'ENSG00000285595']",1.0
4.1,cell_type,central nervous system macrophage,29,0.11673151750972763,0.10526315789473684,0.20689655172413793,24110,51,23,6,2,"['ENSG00000231535', 'ENSG00000236088']","['ENSG00000231535', 'ENSG00000236088', 'ENSG00000196295']",0.21428573
4.1,cell_type,cerebellar granule cell,859,0.8656716417910447,0.9684601113172542,0.6076833527357393,23314,17,337,522,2,"['ENSG00000286679', 'ENSG00000279249']","['ENSG00000286679', 'ENSG00000279249', 'ENSG00000240499', 'ENSG00000232046', 'ENSG00000223351', 'ENSG00000228566', 'ENSG00000227906', 'ENSG00000243620', 'ENSG00000251003', 'ENSG00000253230']",1.0
4.1,cell_type,oligodendrocyte precursor cell,1970,0.8786579958616613,0.9916597164303587,0.6035532994923858,22210,10,781,1189,2,"['ENSG00000231424', 'ENSG00000278254']","['ENSG00000231424', 'ENSG00000278254', 'ENSG00000178722', 'ENSG00000274461', 'ENSG00000237978', 'ENSG00000244128', 'ENSG00000242808', 'ENSG00000227036', 'ENSG00000125462', 'ENSG00000225096']",1.0
4.1,cell_type,intratelencephalic-projecting glutamatergic cortical neuron,1,1.0,1.0,1.0,24189,0,0,1,1,['ENSG00000256193'],"['ENSG00000256193', 'ENSG00000249547', 'ENSG00000229618', 'ENSG00000250137', 'ENSG00000285572', 'ENSG00000258107', 'ENSG00000234156', 'ENSG00000253503', 'ENSG00000224222', 'ENSG00000248837']",1.0
4.1,cell_type,cerebellar inhibitory GABAergic interneuron,44,0.7954545454545454,0.9545454545454546,0.4772727272727273,24145,1,23,21,2,"['ENSG00000256422', 'ENSG00000259481']","['ENSG00000280776', 'ENSG00000245534', 'ENSG00000255929', 'ENSG00000256422', 'ENSG00000259481', 'ENSG00000249806', 'ENSG00000229981', 'ENSG00000283380', 'ENSG00000253230', 'ENSG00000251003']",0.5694444
4.1,cell_type,committed oligodendrocyte precursor,44,0.7421875,0.9047619047619048,0.4318181818181818,24144,2,25,19,2,"['ENSG00000236494', 'ENSG00000207955']","['ENSG00000236494', 'ENSG00000286364', 'ENSG00000262223', 'ENSG00000207955', 'ENSG00000253807', 'ENSG00000261786', 'ENSG00000257585', 'ENSG00000227036', 'ENSG00000251600', 'ENSG00000283674']",0.8181818
4.1,cell_type,caudal ganglionic eminence derived cortical interneuron,2,1.0,1.0,1.0,24188,0,0,2,1,['ENSG00000231764'],"['ENSG00000231764', 'ENSG00000264108', 'ENSG00000224514', 'ENSG00000251031', 'ENSG00000250286', 'ENSG00000224259', 'ENSG00000286871', 'ENSG00000227579', 'ENSG00000286263', 'ENSG00000286218']",1.0
4.1,cell_type,midbrain-derived inhibitory neuron,3,1.0,1.0,1.0,24187,0,0,3,1,['ENSG00000239513'],"['ENSG00000239513', 'ENSG00000258776', 'ENSG00000286082', 'ENSG00000254319', 'ENSG00000257319', 'ENSG00000287976', 'ENSG00000277526', 'ENSG00000282142', 'ENSG00000288560', 'ENSG00000224957']",1.0
