clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
fibroblast,ENSG00000249797,0.08905512239429864,1.0,0.9523809523809523
fibroblast,ENSG00000224063,0.05863442755890732,1.0,0.9047619047619048
fibroblast,ENSG00000249307,0.16338668906307074,4.0,0.8928571428571429
fibroblast,ENSG00000241684,0.07419686314352032,2.0,0.8095238095238095
fibroblast,ENSG00000243620,0.15461387412822675,2.0,0.7857142857142857
fibroblast,ENSG00000247809,0.09878600495967693,1.0,0.7619047619047619
fibroblast,ENSG00000272168,0.1182846026012083,1.0,0.7142857142857143
fibroblast,ENSG00000214548,0.10287804868056229,1.0,0.6190476190476191
fibroblast,ENSG00000237187,0.053403637708871764,1.0,0.6190476190476191
fibroblast,ENSG00000255248,0.08676072976165704,2.5,0.6095238100914728
ependymal cell,ENSG00000231557,0.15353321011163815,1.0,1.0
ependymal cell,ENSG00000258752,0.12679384800233795,2.0,1.0
ependymal cell,ENSG00000225421,0.11420730721818785,1.0,1.0
ependymal cell,ENSG00000250597,0.08201815860706296,1.0,1.0
ependymal cell,ENSG00000283117,0.057601830715451836,1.0,1.0
ependymal cell,ENSG00000254101,0.08001724143906454,2.0,0.9523809523809523
ependymal cell,ENSG00000253438,0.030415355517336578,2.0,0.9523809523809523
ependymal cell,ENSG00000287704,0.028778704033967466,2.0,0.9523809523809523
ependymal cell,ENSG00000234377,0.023815470775758303,2.0,0.9523809523809523
ependymal cell,ENSG00000223727,0.016215465831444866,1.0,0.9523809523809523
T cell,ENSG00000234663,1.0,1.0,1.0
endothelial cell,ENSG00000250863,1.0,1.0,1.0
astrocyte,ENSG00000251442,0.04817561414093239,1.0,1.0
astrocyte,ENSG00000234377,0.266070757267813,8.0,0.9880952380952381
astrocyte,ENSG00000287704,0.21271776135916468,5.0,0.9809523820877075
astrocyte,ENSG00000287372,0.07232585626720804,1.0,0.9523809523809523
astrocyte,ENSG00000226476,0.06489671403215608,1.0,0.9523809523809523
astrocyte,ENSG00000231252,0.03151642793153024,1.0,0.9523809523809523
astrocyte,ENSG00000260372,0.027159400700330252,2.0,0.9523809523809523
astrocyte,ENSG00000257060,0.012605742816688817,1.0,0.9523809523809523
astrocyte,ENSG00000249307,0.1232731344645856,7.0,0.9319727874937511
astrocyte,ENSG00000287862,0.017204964488397638,1.0,0.9047619047619048
oligodendrocyte,ENSG00000227088,0.2534029563921341,8.0,1.0
oligodendrocyte,ENSG00000228793,0.17075737409699257,5.0,1.0
oligodendrocyte,ENSG00000226994,0.07924735318411706,2.0,1.0
oligodendrocyte,ENSG00000241345,0.03841754563732707,1.0,1.0
oligodendrocyte,ENSG00000286279,0.030162389893451432,1.0,1.0
oligodendrocyte,ENSG00000257585,0.08348703357529842,7.0,0.996598638239361
oligodendrocyte,ENSG00000286749,0.023644954428828142,5.0,0.9809523820877075
oligodendrocyte,ENSG00000259070,0.08159418775159245,2.0,0.9761904761904762
oligodendrocyte,ENSG00000207955,0.059773365731310334,2.0,0.9523809523809523
oligodendrocyte,ENSG00000253807,0.04993465696191668,3.0,0.9206349196888152
microglial cell,ENSG00000231131,0.38909230965243,2.0,1.0
microglial cell,ENSG00000285534,0.2117779250734134,1.0,1.0
microglial cell,ENSG00000249738,0.11175008613616766,1.0,1.0
microglial cell,ENSG00000250125,0.10013961267663166,1.0,0.9523809523809523
microglial cell,ENSG00000176124,0.08268382992804153,2.0,0.9404761904761905
microglial cell,ENSG00000253535,0.0617736770341488,1.0,0.9047619047619048
microglial cell,ENSG00000227082,0.04278255949916687,1.0,0.9047619047619048
vascular associated smooth muscle cell,ENSG00000259134,0.16094937753777455,0.5,1.0
vascular associated smooth muscle cell,ENSG00000249669,0.1298794497607034,1.0,0.9523809523809523
vascular associated smooth muscle cell,ENSG00000224063,0.06403960707855542,2.0,0.9523809523809523
vascular associated smooth muscle cell,ENSG00000286458,0.05876750288617163,0.5,0.9523809523809523
vascular associated smooth muscle cell,ENSG00000235531,0.03888737068611515,0.5,0.9523809523809523
vascular associated smooth muscle cell,ENSG00000287134,0.0655300804400802,0.5,0.9047619047619048
vascular associated smooth muscle cell,ENSG00000275443,0.03695087214784478,1.5,0.9047619047619048
vascular associated smooth muscle cell,ENSG00000241684,0.055118880849625206,4.0,0.8690476190476191
vascular associated smooth muscle cell,ENSG00000248441,0.05992130862803524,1.0,0.8571428571428571
vascular associated smooth muscle cell,ENSG00000247809,0.04523294825554153,3.0,0.8412698365393139
neuron,ENSG00000260232,0.04703760599176562,2.0,0.9880952380952381
neuron,ENSG00000225206,0.06972046827017418,5.0,0.9476190464837211
neuron,ENSG00000253554,0.022806438148633718,2.0,0.9404761904761905
neuron,ENSG00000279668,0.023405938421720777,1.0,0.9047619047619048
neuron,ENSG00000265356,0.02212382376120294,1.0,0.9047619047619048
neuron,ENSG00000255693,0.02100509453884967,1.0,0.9047619047619048
neuron,ENSG00000255794,0.03548015128160458,10.0,0.8999999988646734
neuron,ENSG00000225783,0.04442234685197277,2.0,0.8809523809523809
neuron,ENSG00000259234,0.023430072974408026,1.0,0.8809523809523809
neuron,ENSG00000225746,0.06708726595932125,14.0,0.8588435366040185
monocyte,ENSG00000258667,0.356321849774787,5.0,1.0
monocyte,ENSG00000264031,0.18278860712739706,1.0,1.0
monocyte,ENSG00000286145,0.17855257932647356,1.0,0.9523809523809523
monocyte,ENSG00000153113,0.0985555058917473,1.0,0.8571428571428571
monocyte,ENSG00000272888,0.18378145787959524,1.0,0.7619047619047619
natural killer cell,ENSG00000245164,0.2444122453505624,1.5,1.0
natural killer cell,ENSG00000251301,0.09390079992626876,0.5,1.0
natural killer cell,ENSG00000286122,0.07700233876194594,0.5,1.0
natural killer cell,ENSG00000236449,0.062215783086675865,1.0,1.0
