clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
fibroblast,ENSG00000167779,0.09287299836868643,1.0,1.0
fibroblast,ENSG00000077942,0.05135546609020854,1.0,1.0
fibroblast,ENSG00000138061,0.03535844912956475,0.5,1.0
fibroblast,ENSG00000119686,0.0281417381994868,1.0,1.0
fibroblast,ENSG00000011465,0.04009755704261076,3.0,0.9365079346157256
fibroblast,ENSG00000103888,0.06435397862596431,2.0,0.9285714285714286
fibroblast,ENSG00000164692,0.041694625135192565,1.0,0.9047619047619048
fibroblast,ENSG00000187720,0.02767687431359899,2.0,0.9047619047619048
fibroblast,ENSG00000122870,0.02337466543151381,2.0,0.9047619047619048
fibroblast,ENSG00000249307,0.022922590521367973,4.0,0.8928571428571429
ependymal cell,ENSG00000197057,0.07287313588304596,4.0,1.0
ependymal cell,ENSG00000197171,0.028708681402950503,2.0,1.0
ependymal cell,ENSG00000162598,0.02442129828662405,1.0,1.0
ependymal cell,ENSG00000186710,0.024151604893122153,1.0,1.0
ependymal cell,ENSG00000198774,0.019484915089819255,1.0,1.0
ependymal cell,ENSG00000231557,0.018152174357695092,1.0,1.0
ependymal cell,ENSG00000160401,0.01708904329917933,1.0,1.0
ependymal cell,ENSG00000180264,0.015696657538633613,1.0,1.0
ependymal cell,ENSG00000137473,0.026753562474245242,3.0,0.9841269822347731
ependymal cell,ENSG00000197826,0.06040429197987686,16.0,0.9791666666666666
T cell,ENSG00000172673,0.12211790300814085,4.0,1.0
T cell,ENSG00000116824,0.10707378578982214,1.0,1.0
T cell,ENSG00000198851,0.057191065270724505,1.0,1.0
T cell,ENSG00000165929,0.054796679469962015,2.0,1.0
T cell,ENSG00000113088,0.0519341980043502,1.0,1.0
T cell,ENSG00000008517,0.030091044677481454,1.0,1.0
T cell,ENSG00000277734,0.02663165811478258,1.0,1.0
T cell,ENSG00000234663,0.018252255007520347,1.0,1.0
T cell,ENSG00000271503,0.10319965277709274,2.0,0.9761904761904762
T cell,ENSG00000161405,0.033093685999731205,1.0,0.9761904761904762
endothelial cell,ENSG00000118777,0.09272906459142538,6.0,1.0
endothelial cell,ENSG00000184113,0.08271344836580656,5.0,1.0
