,0
B cell,114
T cell,106
conventional dendritic cell,202
endothelial cell,78
epithelial cell of proximal tubule,54
kidney collecting duct intercalated cell,266
kidney collecting duct principal cell,511
kidney connecting tubule epithelial cell,231
kidney distal convoluted tubule epithelial cell,306
kidney interstitial alternatively activated macrophage,45
kidney interstitial fibroblast,194
kidney loop of Henle thick ascending limb epithelial cell,107
kidney loop of Henle thin ascending limb epithelial cell,623
kidney loop of Henle thin descending limb epithelial cell,358
lymphocyte,169
mast cell,7
mononuclear phagocyte,146
neural cell,119
neutrophil,160
non-classical monocyte,249
papillary tips cell,444
parietal epithelial cell,102
plasma cell,32
"plasmacytoid dendritic cell, human",193
podocyte,437
renal interstitial pericyte,56
