software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cell_type,endothelial cell,8201,0.8309176971342604,0.9508712996010917,0.5522497256432143,91565,234,3672,4529,2,"['ENSG00000127329', 'ENSG00000102755']","['ENSG00000127329', 'ENSG00000172889', 'ENSG00000102755', 'ENSG00000120156', 'ENSG00000162618', 'ENSG00000261371', 'ENSG00000164035', 'ENSG00000106991', 'ENSG00000251322', 'ENSG00000065054']",1.0
4.1,cell_type,podocyte,969,0.9040641415537738,0.9879154078549849,0.6749226006191951,99023,8,315,654,2,"['ENSG00000151490', 'ENSG00000161270']","['ENSG00000151490', 'ENSG00000153246', 'ENSG00000139304', 'ENSG00000161270', 'ENSG00000116218', 'ENSG00000112782', 'ENSG00000162631', 'ENSG00000230027', 'ENSG00000113578', 'ENSG00000145808']",1.0
4.1,cell_type,epithelial cell of proximal tubule,25098,0.7732531733320585,0.8836907526294222,0.5155390867798231,73199,1703,12159,12939,2,"['ENSG00000183747', 'ENSG00000066813']","['ENSG00000183747', 'ENSG00000066813', 'ENSG00000166825', 'ENSG00000149124', 'ENSG00000107611', 'ENSG00000124568', 'ENSG00000174827', 'ENSG00000165449', 'ENSG00000145692', 'ENSG00000130707']",1.0
4.1,cell_type,neural cell,24,0.78125,1.0,0.4166666666666667,99976,0,14,10,1,['ENSG00000071991'],"['ENSG00000179915', 'ENSG00000071991', 'ENSG00000136546', 'ENSG00000164418', 'ENSG00000181938', 'ENSG00000206579', 'ENSG00000175785', 'ENSG00000154654', 'ENSG00000198597', 'ENSG00000146938']",1.0
4.1,cell_type,parietal epithelial cell,807,0.5832955061280073,0.7363896848137536,0.3184634448574969,99101,92,550,257,2,"['ENSG00000000971', 'ENSG00000168785']","['ENSG00000000971', 'ENSG00000128918', 'ENSG00000163347', 'ENSG00000162692', 'ENSG00000168785', 'ENSG00000109861', 'ENSG00000079337', 'ENSG00000118523', 'ENSG00000078328', 'ENSG00000162366']",1.0
4.1,cell_type,papillary tips cell,184,0.5568181818181818,0.765625,0.266304347826087,99801,15,135,49,3,"['ENSG00000173267', 'ENSG00000164266', 'ENSG00000112378']","['ENSG00000176153', 'ENSG00000173267', 'ENSG00000164266', 'ENSG00000102554', 'ENSG00000112378', 'ENSG00000089356', 'ENSG00000163435', 'ENSG00000132170', 'ENSG00000137648', 'ENSG00000160213']",1.0
4.1,cell_type,kidney interstitial fibroblast,5459,0.702850302984963,0.9504299443601416,0.34420223484154605,94443,98,3580,1879,2,"['ENSG00000079931', 'ENSG00000107518']","['ENSG00000112936', 'ENSG00000079931', 'ENSG00000107518', 'ENSG00000140937', 'ENSG00000165124', 'ENSG00000143995', 'ENSG00000164692', 'ENSG00000049323', 'ENSG00000140092', 'ENSG00000172403']",1.0
4.1,cell_type,kidney connecting tubule epithelial cell,4353,0.4585384324119652,0.5472209670131044,0.27819894325752353,94645,1002,3142,1211,3,"['ENSG00000104327', 'ENSG00000226674', 'ENSG00000165685']","['ENSG00000104327', 'ENSG00000226674', 'ENSG00000136531', 'ENSG00000165685', 'ENSG00000273706', 'ENSG00000139144', 'ENSG00000176387', 'ENSG00000183023', 'ENSG00000081803', 'ENSG00000164825']",1.0
4.1,cell_type,kidney distal convoluted tubule epithelial cell,4350,0.8050666666666667,0.8386111111111111,0.6940229885057472,95069,581,1331,3019,1,['ENSG00000070915'],"['ENSG00000070915', 'ENSG00000146021', 'ENSG00000182389', 'ENSG00000148842', 'ENSG00000068366', 'ENSG00000104332', 'ENSG00000165685', 'ENSG00000092439', 'ENSG00000273706', 'ENSG00000113889']",1.0
4.1,cell_type,kidney loop of Henle thick ascending limb epithelial cell,21498,0.8246210141139572,0.8729624060150376,0.6750860545166992,76390,2112,6985,14513,1,['ENSG00000074803'],"['ENSG00000074803', 'ENSG00000036828', 'ENSG00000169344', 'ENSG00000113889', 'ENSG00000184226', 'ENSG00000138798', 'ENSG00000134873', 'ENSG00000151704', 'ENSG00000115252', 'ENSG00000182621']",1.0
