,0
B cell,0
T cell,0
conventional dendritic cell,4
endothelial cell,0
epithelial cell of proximal tubule,3
kidney collecting duct intercalated cell,4
kidney collecting duct principal cell,9
kidney connecting tubule epithelial cell,5
kidney distal convoluted tubule epithelial cell,5
kidney interstitial alternatively activated macrophage,0
kidney interstitial fibroblast,7
kidney loop of Henle thick ascending limb epithelial cell,2
kidney loop of Henle thin ascending limb epithelial cell,14
kidney loop of Henle thin descending limb epithelial cell,12
lymphocyte,0
mast cell,0
mononuclear phagocyte,0
neural cell,7
neutrophil,0
non-classical monocyte,1
papillary tips cell,3
parietal epithelial cell,0
plasma cell,0
"plasmacytoid dendritic cell, human",6
podocyte,14
renal interstitial pericyte,2
