clusterName,onTarget
podocyte,1.0
epithelial cell of proximal tubule,0.2685213
neural cell,0.36919954
papillary tips cell,0.33146146
kidney interstitial fibroblast,0.68448716
kidney connecting tubule epithelial cell,0.6147848
kidney distal convoluted tubule epithelial cell,0.20695265
kidney loop of Henle thick ascending limb epithelial cell,0.22617048
kidney loop of Henle thin ascending limb epithelial cell,1.0
kidney loop of Henle thin descending limb epithelial cell,0.47751325
renal interstitial pericyte,1.0
kidney collecting duct principal cell,0.3177822
kidney collecting duct intercalated cell,1.0
"plasmacytoid dendritic cell, human",1.0
conventional dendritic cell,0.81540024
non-classical monocyte,1.0
