software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cell_type,podocyte,969,0.7488394820425116,0.7848911651728553,0.6326109391124871,98863,168,356,613,1,['ENSG00000230027'],"['ENSG00000230027', 'ENSG00000185904', 'ENSG00000241956', 'ENSG00000227954', 'ENSG00000269821', 'ENSG00000274265', 'ENSG00000241158', 'ENSG00000153113', 'ENSG00000250903', 'ENSG00000225470']",1.0
4.1,cell_type,epithelial cell of proximal tubule,25098,0.5193269013186316,0.5600354944262659,0.40234281616065026,66969,7933,15000,10098,1,['ENSG00000241158'],"['ENSG00000228262', 'ENSG00000241158', 'ENSG00000235142']",0.2685213
4.1,cell_type,neural cell,24,0.22727272727272727,0.4,0.08333333333333333,99973,3,22,2,3,"['ENSG00000230490', 'ENSG00000231607', 'ENSG00000278996']","['ENSG00000230490', 'ENSG00000229807', 'ENSG00000272168', 'ENSG00000231607', 'ENSG00000278996', 'ENSG00000280441', 'ENSG00000215386']",0.36919954
4.1,cell_type,papillary tips cell,184,0.015847347994825355,0.012830583922492799,0.266304347826087,96046,3770,135,49,3,"['ENSG00000260032', 'ENSG00000229807', 'ENSG00000153113']","['ENSG00000260032', 'ENSG00000229807', 'ENSG00000153113']",0.33146146
4.1,cell_type,kidney interstitial fibroblast,5459,0.49318950543925405,0.7875912408759124,0.1976552482139586,94250,291,4380,1079,2,"['ENSG00000237187', 'ENSG00000247809']","['ENSG00000237187', 'ENSG00000247809', 'ENSG00000278996', 'ENSG00000280441', 'ENSG00000241684', 'ENSG00000215386', 'ENSG00000242086']",0.68448716
4.1,cell_type,kidney connecting tubule epithelial cell,4353,0.4148055942007762,0.4871023215821152,0.2602802664828854,94454,1193,3220,1133,2,"['ENSG00000226674', 'ENSG00000236283']","['ENSG00000226674', 'ENSG00000229847', 'ENSG00000236283', 'ENSG00000241684', 'ENSG00000242086']",0.6147848
4.1,cell_type,kidney distal convoluted tubule epithelial cell,4350,0.318920963065675,0.3515109412990622,0.23264367816091955,93783,1867,3338,1012,3,"['ENSG00000233154', 'ENSG00000236283', 'ENSG00000241684']","['ENSG00000233154', 'ENSG00000235244', 'ENSG00000236283', 'ENSG00000241684', 'ENSG00000242086']",0.20695265
4.1,cell_type,kidney loop of Henle thick ascending limb epithelial cell,21498,0.3402767245703886,0.3112528011951766,0.542701646664806,52685,25817,9831,11667,1,['ENSG00000228262'],"['ENSG00000228262', 'ENSG00000242086']",0.22617048
4.1,cell_type,kidney loop of Henle thin ascending limb epithelial cell,1117,0.33179222192004354,0.38125,0.21844225604297224,98487,396,873,244,3,"['ENSG00000258667', 'ENSG00000245694', 'ENSG00000274265']","['ENSG00000258667', 'ENSG00000245694', 'ENSG00000231312', 'ENSG00000230876', 'ENSG00000274265', 'ENSG00000269821', 'ENSG00000235142', 'ENSG00000225470', 'ENSG00000215386', 'ENSG00000153113']",1.0
4.1,cell_type,kidney loop of Henle thin descending limb epithelial cell,3266,0.3636139021577994,0.3979269941415052,0.27036129822412736,95398,1336,2383,883,3,"['ENSG00000228262', 'ENSG00000272168', 'ENSG00000241158']","['ENSG00000253438', 'ENSG00000228262', 'ENSG00000272168', 'ENSG00000241158', 'ENSG00000235142', 'ENSG00000250903', 'ENSG00000225470', 'ENSG00000241684', 'ENSG00000247809', 'ENSG00000215386']",0.47751325
4.1,cell_type,renal interstitial pericyte,2185,0.3243567663483117,0.2928840716305372,0.5688787185354691,94814,3001,942,1243,1,['ENSG00000249669'],"['ENSG00000249669', 'ENSG00000247809']",1.0
4.1,cell_type,kidney collecting duct principal cell,7598,0.3042056851554275,0.3082537900056148,0.28902342721768887,87474,4928,5402,2196,2,"['ENSG00000229847', 'ENSG00000236283']","['ENSG00000229847', 'ENSG00000235142', 'ENSG00000153113', 'ENSG00000225470', 'ENSG00000250903', 'ENSG00000236283', 'ENSG00000215386', 'ENSG00000241684', 'ENSG00000242086']",0.3177822
4.1,cell_type,kidney collecting duct intercalated cell,5948,0.7380279595478881,0.7580675959518809,0.6674512441156691,92785,1267,1978,3970,1,['ENSG00000249601'],"['ENSG00000249601', 'ENSG00000242086', 'ENSG00000236283', 'ENSG00000215386']",1.0
4.1,cell_type,"plasmacytoid dendritic cell, human",16,0.625,1.0,0.25,99984,0,12,4,1,['ENSG00000225885'],"['ENSG00000225885', 'ENSG00000267337', 'ENSG00000227028', 'ENSG00000250903', 'ENSG00000278996', 'ENSG00000280441']",1.0
4.1,cell_type,conventional dendritic cell,71,0.43859649122807015,0.6,0.2112676056338028,99919,10,56,15,2,"['ENSG00000231873', 'ENSG00000231607']","['ENSG00000231873', 'ENSG00000229140', 'ENSG00000231607', 'ENSG00000280441']",0.81540024
4.1,cell_type,non-classical monocyte,784,0.05119149543378995,0.042131532589547854,0.36607142857142855,92691,6525,497,287,1,['ENSG00000177410'],['ENSG00000177410'],1.0
