clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
podocyte,ENSG00000230027,0.3022990627251041,1.6352079,1.0
podocyte,ENSG00000185904,0.1387212547653215,0.6393958,1.0
podocyte,ENSG00000241956,0.12484607747685472,1.7731166,1.0
podocyte,ENSG00000227954,0.10196330123017806,1.6233417,1.0
podocyte,ENSG00000269821,0.04931834016865374,2.1106658,0.9862934279441834
podocyte,ENSG00000274265,0.031657947813250716,1.4885195,0.969350094795227
podocyte,ENSG00000241158,0.026141339002022704,0.73423797,0.92
podocyte,ENSG00000153113,0.035664805668638576,1.007751,0.9066687488555908
podocyte,ENSG00000250903,0.02192259928264758,1.2242274,0.8995564293861389
podocyte,ENSG00000225470,0.019866107323072264,0.7713994,0.892812750339508
epithelial cell of proximal tubule,ENSG00000228262,0.3197387322556586,1.0339975,0.9225355243682861
epithelial cell of proximal tubule,ENSG00000241158,0.38860803572182956,0.76732934,0.9217250156402588
epithelial cell of proximal tubule,ENSG00000235142,0.2916532320225118,0.6299555,0.88
neural cell,ENSG00000230490,0.16877340416597789,0.5677653,1.0
neural cell,ENSG00000229807,0.23888046561313864,1.8525616,0.9801679968833923
neural cell,ENSG00000272168,0.143809432522223,1.7969892,0.963443033695221
neural cell,ENSG00000231607,0.13045168561364168,1.340667,0.96
neural cell,ENSG00000278996,0.11596743201669268,2.526916,0.9139514780044555
neural cell,ENSG00000280441,0.09136437297714074,1.5834184,0.8800049805641175
neural cell,ENSG00000215386,0.11075320709118544,1.819526,0.850959165096283
papillary tips cell,ENSG00000260032,0.29928655429742484,0.5779424,1.0
papillary tips cell,ENSG00000229807,0.31214262830062633,0.9185002,0.96
papillary tips cell,ENSG00000153113,0.38857081740194876,1.0462677,0.9101045989990234
kidney interstitial fibroblast,ENSG00000237187,0.1607729316786446,1.0211964,1.0
kidney interstitial fibroblast,ENSG00000247809,0.33525988417507746,2.876409,0.931591374874115
kidney interstitial fibroblast,ENSG00000278996,0.1004608336652338,1.285677,0.88
kidney interstitial fibroblast,ENSG00000280441,0.09239704337297937,1.0731431,0.8487494730949402
kidney interstitial fibroblast,ENSG00000241684,0.11867615424723202,2.099442,0.8294144320487976
kidney interstitial fibroblast,ENSG00000215386,0.0978866748065147,1.307815,0.8230772066116333
kidney interstitial fibroblast,ENSG00000242086,0.09454647805431822,0.80058503,0.72
kidney connecting tubule epithelial cell,ENSG00000226674,0.216233481978623,0.9962122,1.0
kidney connecting tubule epithelial cell,ENSG00000229847,0.15669300883602139,0.553098,0.969229884147644
kidney connecting tubule epithelial cell,ENSG00000236283,0.3587927474885917,2.960015,0.8657609057426453
kidney connecting tubule epithelial cell,ENSG00000241684,0.12239334787168865,0.45733312,0.76
kidney connecting tubule epithelial cell,ENSG00000242086,0.14588741382507528,0.91330117,0.7280141544342041
kidney distal convoluted tubule epithelial cell,ENSG00000233154,0.2115245176228794,0.70619166,1.0
kidney distal convoluted tubule epithelial cell,ENSG00000235244,0.12954384462804472,0.88133776,1.0
kidney distal convoluted tubule epithelial cell,ENSG00000236283,0.3185344480269247,2.6683974,0.8510904932022094
kidney distal convoluted tubule epithelial cell,ENSG00000241684,0.1516144790307092,1.3157351,0.786096498966217
kidney distal convoluted tubule epithelial cell,ENSG00000242086,0.188782710691442,1.231879,0.7583195948600769
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000228262,0.5228587497534375,0.96845436,0.92
kidney loop of Henle thick ascending limb epithelial cell,ENSG00000242086,0.47714125024656256,0.8430339,0.7220141005516052
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000258667,0.08913045772917731,0.8749674,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000245694,0.08710139208717814,0.5867574,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000231312,0.054097381727681006,0.8222043,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000230876,0.04015382520015283,0.5095224,1.0
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000274265,0.061105274657169285,1.1405746,0.96
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000269821,0.046028854752761215,0.7232498,0.96
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000235142,0.10944152986045494,1.9933136,0.9393704319000244
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000225470,0.04853665028821294,1.0104092,0.9131051087379456
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000215386,0.160293524648668,2.642663,0.897382423877716
kidney loop of Henle thin ascending limb epithelial cell,ENSG00000153113,0.05346183454348451,0.7538843,0.8887097239494324
kidney loop of Henle thin descending limb epithelial cell,ENSG00000253438,0.0807552593135616,1.3508804,1.0
kidney loop of Henle thin descending limb epithelial cell,ENSG00000228262,0.14039839909505528,2.2795143,0.9648617792129517
kidney loop of Henle thin descending limb epithelial cell,ENSG00000272168,0.1288734850358713,1.6423118,0.96
kidney loop of Henle thin descending limb epithelial cell,ENSG00000241158,0.08496451510724097,1.3560431,0.9557073879241943
kidney loop of Henle thin descending limb epithelial cell,ENSG00000235142,0.07044160913392199,1.4866052,0.9187048864364624
kidney loop of Henle thin descending limb epithelial cell,ENSG00000250903,0.05185919880791828,1.3008375,0.9031161260604859
kidney loop of Henle thin descending limb epithelial cell,ENSG00000225470,0.05955822550108154,0.89927995,0.9023669981956481
kidney loop of Henle thin descending limb epithelial cell,ENSG00000241684,0.11700273405129576,2.3877625,0.8493048429489136
kidney loop of Henle thin descending limb epithelial cell,ENSG00000247809,0.056436642878270396,1.1807534,0.8452154517173767
kidney loop of Henle thin descending limb epithelial cell,ENSG00000215386,0.07711323412058083,1.6998488,0.8432821893692016
renal interstitial pericyte,ENSG00000249669,0.6046068671873218,1.4478854,1.0
