software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cell_type,astrocyte,1362,0.5648610121168923,0.8781163434903048,0.2327459618208517,148594,44,1045,317,2,"['ENSG00000230490', 'ENSG00000227036']","['ENSG00000230490', 'ENSG00000253736', 'ENSG00000272168', 'ENSG00000227036', 'ENSG00000227110', 'ENSG00000215386', 'ENSG00000125462', 'ENSG00000255248', 'ENSG00000242808']",0.8630891
4.1,cell_type,amacrine cell,796,0.05654475457170356,0.04832076764907471,0.1771356783919598,146427,2777,655,141,3,"['ENSG00000245526', 'ENSG00000229989', 'ENSG00000258162']","['ENSG00000245526', 'ENSG00000229989', 'ENSG00000258162']",0.20631358
4.1,cell_type,retinal cone cell,3247,0.7472517488870719,0.8479381443298969,0.5066214967662458,146458,295,1602,1645,1,['ENSG00000249364'],"['ENSG00000271850', 'ENSG00000259221', 'ENSG00000249364', 'ENSG00000234173', 'ENSG00000270792', 'ENSG00000258162', 'ENSG00000253230', 'ENSG00000248550']",0.41151178
4.1,cell_type,retinal rod cell,50276,0.9035820091570159,0.9773669467787115,0.6940090699339645,98916,808,15384,34892,1,['ENSG00000257165'],"['ENSG00000257165', 'ENSG00000254951', 'ENSG00000225718', 'ENSG00000255553', 'ENSG00000231185', 'ENSG00000258776', 'ENSG00000253582', 'ENSG00000229444', 'ENSG00000234173', 'ENSG00000255580']",1.0
4.1,cell_type,Mueller cell,26702,0.865200942119026,0.9199408429874292,0.6988615085012359,121674,1624,8041,18661,1,['ENSG00000228740'],"['ENSG00000228740', 'ENSG00000260372', 'ENSG00000237949', 'ENSG00000125462', 'ENSG00000227036', 'ENSG00000215386', 'ENSG00000245526', 'ENSG00000283674', 'ENSG00000255248', 'ENSG00000177410']",1.0
4.1,cell_type,retinal ganglion cell,357,0.10002598077422707,0.0882016036655212,0.21568627450980393,148847,796,280,77,4,"['ENSG00000214870', 'ENSG00000234377', 'ENSG00000245694', 'ENSG00000271945']","['ENSG00000214870', 'ENSG00000234377', 'ENSG00000245694', 'ENSG00000257398', 'ENSG00000271945', 'ENSG00000186493', 'ENSG00000260032', 'ENSG00000283982', 'ENSG00000248540', 'ENSG00000215386']",0.52104497
4.1,cell_type,retinal bipolar neuron,33058,0.6120658018604502,0.6650485436893204,0.46415391130739914,109214,7728,17714,15344,2,"['ENSG00000259481', 'ENSG00000248550']","['ENSG00000255580', 'ENSG00000259481', 'ENSG00000248550']",0.18124962
4.1,cell_type,rod bipolar cell,8178,0.8718564472016543,0.9590900752155568,0.6392761066275373,141599,223,2950,5228,2,"['ENSG00000227681', 'ENSG00000264630']","['ENSG00000227681', 'ENSG00000286961', 'ENSG00000264630', 'ENSG00000287976', 'ENSG00000224658', 'ENSG00000259663', 'ENSG00000263958', 'ENSG00000287125', 'ENSG00000224958', 'ENSG00000254033']",1.0
4.1,cell_type,retinal pigment epithelial cell,908,0.7865535248041775,0.8942486085343229,0.5308370044052864,149035,57,426,482,1,['ENSG00000230448'],['ENSG00000230448'],1.0
4.1,cell_type,S cone cell,219,0.3833049403747871,0.4891304347826087,0.2054794520547945,149734,47,174,45,5,"['ENSG00000250592', 'ENSG00000261460', 'ENSG00000250994', 'ENSG00000249364', 'ENSG00000259221']","['ENSG00000250592', 'ENSG00000261460', 'ENSG00000232284', 'ENSG00000250994', 'ENSG00000249364', 'ENSG00000259221', 'ENSG00000229444', 'ENSG00000254787', 'ENSG00000258776', 'ENSG00000227110']",1.0
4.1,cell_type,H1 horizontal cell,3100,0.14839400428265526,0.1271559633027523,0.4470967741935484,137386,9514,1714,1386,1,['ENSG00000224020'],['ENSG00000224020'],0.36759096
4.1,cell_type,H2 horizontal cell,1047,0.46284867933843493,0.4993342210386152,0.35816618911174786,148577,376,672,375,2,"['ENSG00000244040', 'ENSG00000235688']","['ENSG00000244040', 'ENSG00000259203', 'ENSG00000286648', 'ENSG00000235688', 'ENSG00000224020']",1.0
4.1,cell_type,starburst amacrine cell,556,0.4166666666666667,0.5458715596330275,0.21402877697841727,149345,99,437,119,3,"['ENSG00000240922', 'ENSG00000242808', 'ENSG00000253554']","['ENSG00000240922', 'ENSG00000242808', 'ENSG00000253554', 'ENSG00000228842', 'ENSG00000283674', 'ENSG00000229989', 'ENSG00000258162']",0.6228377
4.1,cell_type,midget ganglion cell of retina,5715,0.8760310430295396,0.9127857747671465,0.7545056867891513,143873,412,1403,4312,2,"['ENSG00000257398', 'ENSG00000239911']","['ENSG00000277011', 'ENSG00000248455', 'ENSG00000228526', 'ENSG00000257398', 'ENSG00000186493', 'ENSG00000239911', 'ENSG00000287290', 'ENSG00000203706', 'ENSG00000248540', 'ENSG00000225465']",0.41458458
