clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
astrocyte,ENSG00000230490,0.24445652975083473,1.3623323,1.0
astrocyte,ENSG00000253736,0.07254949770104642,1.1174982,1.0
astrocyte,ENSG00000272168,0.06321103598013936,1.028124,1.0
astrocyte,ENSG00000227036,0.1778950471533932,2.2683704,0.9778192639350891
astrocyte,ENSG00000227110,0.06696033939732052,1.5942216,0.9688456689610201
astrocyte,ENSG00000215386,0.08858811480480609,2.084152,0.9419681464924532
astrocyte,ENSG00000125462,0.05891327973476744,1.2210155,0.9411764705882353
astrocyte,ENSG00000255248,0.1281899885824193,1.8908639,0.926385620061089
astrocyte,ENSG00000242808,0.09923616689527283,0.9063003,0.9199403875014361
amacrine cell,ENSG00000245526,0.29953669148236,0.8740012,0.8252907220055076
amacrine cell,ENSG00000229989,0.36695219920273087,1.1179116,0.8047254506279441
amacrine cell,ENSG00000258162,0.3335111093149092,1.2853987,0.7357975069214316
retinal cone cell,ENSG00000271850,0.1279856851586512,1.305621,1.0
retinal cone cell,ENSG00000259221,0.322111686894837,2.21678,0.9411764705882353
retinal cone cell,ENSG00000249364,0.2787507861189551,3.1345382,0.9411764705882353
retinal cone cell,ENSG00000234173,0.04853316424243229,1.3147131,0.9040302669300753
retinal cone cell,ENSG00000270792,0.05244446267711751,1.5156541,0.8986508460605845
retinal cone cell,ENSG00000258162,0.05695867920509284,1.9289606,0.810293081928702
retinal cone cell,ENSG00000253230,0.05127213813714802,1.6707071,0.7814649448675268
retinal cone cell,ENSG00000248550,0.06194339756576616,2.5380533,0.7668904171270483
retinal rod cell,ENSG00000257165,0.2459852742680733,1.99377,1.0
retinal rod cell,ENSG00000254951,0.21568730214293239,2.1588445,1.0
retinal rod cell,ENSG00000225718,0.14185845881465156,1.9540108,1.0
retinal rod cell,ENSG00000255553,0.0876712318313489,1.2168177,1.0
retinal rod cell,ENSG00000231185,0.019918095544168575,1.6318907,1.0
retinal rod cell,ENSG00000258776,0.011715059781265259,1.1841264,0.9706533165539012
retinal rod cell,ENSG00000253582,0.018164512293894822,1.5291001,0.9590368270874023
retinal rod cell,ENSG00000229444,0.047715770402167984,1.5052062,0.9411764705882353
retinal rod cell,ENSG00000234173,0.10194650155894965,1.5343584,0.9177684503443101
retinal rod cell,ENSG00000255580,0.04565345575872691,2.5554028,0.9141581198748421
Mueller cell,ENSG00000228740,0.2915689653144713,1.3272498,1.0
Mueller cell,ENSG00000260372,0.14804006220113214,0.9180192,1.0
Mueller cell,ENSG00000237949,0.09843523717647264,1.1554866,1.0
Mueller cell,ENSG00000125462,0.20996719562730298,2.0459497,0.9648943298003253
Mueller cell,ENSG00000227036,0.08119454883257446,0.8553401,0.9411764705882353
Mueller cell,ENSG00000215386,0.07122510752198481,1.7377237,0.9303990602493286
Mueller cell,ENSG00000245526,0.02205883438147959,1.340063,0.8728675702038933
Mueller cell,ENSG00000283674,0.016502785357486886,0.6792191,0.8234441420611214
Mueller cell,ENSG00000255248,0.0345374892255843,0.6840967,0.7965276276364046
Mueller cell,ENSG00000177410,0.011901706072679244,0.8113124,0.7709507872076595
retinal ganglion cell,ENSG00000214870,0.010518399660062076,0.22190548,1.0
retinal ganglion cell,ENSG00000234377,0.013965095635505317,0.28617343,0.9473426271887386
retinal ganglion cell,ENSG00000245694,0.008485678476400575,0.2687136,0.9444774739882525
retinal ganglion cell,ENSG00000257398,0.009806957091674244,0.43958256,0.9118515989359688
retinal ganglion cell,ENSG00000271945,0.01726731344359858,1.5157927,0.8923517290283652
retinal ganglion cell,ENSG00000186493,0.008816844961655317,0.25854632,0.8895939027561861
retinal ganglion cell,ENSG00000260032,0.009594697270382943,0.9746562,0.8891006743206697
retinal ganglion cell,ENSG00000283982,0.009114480568448817,0.26341617,0.8854216056711534
retinal ganglion cell,ENSG00000248540,0.008171843710926906,0.22921506,0.8840557021253249
retinal ganglion cell,ENSG00000215386,0.01586550410482824,0.31837875,0.8823529411764706
retinal bipolar neuron,ENSG00000255580,0.24510360952858806,1.3438473,0.8367667373488931
retinal bipolar neuron,ENSG00000259481,0.4387344468307891,1.8355696,0.7512423080556533
retinal bipolar neuron,ENSG00000248550,0.3161619436406227,2.1599464,0.7363809802952934
rod bipolar cell,ENSG00000227681,0.21624754823608705,2.4572845,1.0
rod bipolar cell,ENSG00000286961,0.15441350120960945,1.2108295,1.0
rod bipolar cell,ENSG00000264630,0.12518122010116745,1.6690447,1.0
rod bipolar cell,ENSG00000287976,0.08300635546148989,0.8355861,1.0
rod bipolar cell,ENSG00000224658,0.07584971157625216,0.9366382,1.0
rod bipolar cell,ENSG00000259663,0.04859853397232115,0.9732882,1.0
rod bipolar cell,ENSG00000263958,0.039366539328716706,1.079581,1.0
rod bipolar cell,ENSG00000287125,0.03822559057801679,0.53073657,1.0
rod bipolar cell,ENSG00000224958,0.03186508407368903,0.8572293,1.0
rod bipolar cell,ENSG00000254033,0.02593948903501543,1.6178372,1.0
retinal pigment epithelial cell,ENSG00000230448,1.0,3.003556,1.0
S cone cell,ENSG00000250592,0.0754808034895668,1.6019601,1.0
S cone cell,ENSG00000261460,0.055446758546093905,0.84725976,1.0
S cone cell,ENSG00000232284,0.0468390189045306,0.6462378,1.0
S cone cell,ENSG00000250994,0.03941573156803862,1.0054374,1.0
S cone cell,ENSG00000249364,0.19480369071588918,4.4825907,0.9588665085680345
S cone cell,ENSG00000259221,0.08806987660861608,2.4957266,0.9477511609301847
S cone cell,ENSG00000229444,0.046436659540889456,1.5391804,0.942474877133089
S cone cell,ENSG00000254787,0.05519093150838441,1.476331,0.9411764705882353
S cone cell,ENSG00000258776,0.043942133981418136,0.5907531,0.9411764705882353
S cone cell,ENSG00000227110,0.0387936713382373,0.84433746,0.9411764705882353
H1 horizontal cell,ENSG00000224020,1.0,1.8704792,0.9013102440273061
H2 horizontal cell,ENSG00000244040,0.2458777725867736,1.349292,1.0
H2 horizontal cell,ENSG00000259203,0.2124253549779203,1.1894251,1.0
H2 horizontal cell,ENSG00000286648,0.1795506469884282,1.1537753,1.0
H2 horizontal cell,ENSG00000235688,0.1564391890923121,0.8923759,1.0
H2 horizontal cell,ENSG00000224020,0.2057070363545658,1.9503288,0.905350758748896
starburst amacrine cell,ENSG00000240922,0.1325212986657914,0.83061683,1.0
starburst amacrine cell,ENSG00000242808,0.24199129014284407,2.0369544,0.9643791458185982
starburst amacrine cell,ENSG00000253554,0.12090353683714751,1.2589438,0.952212344197666
starburst amacrine cell,ENSG00000228842,0.11728784418612982,0.96375334,0.9365850055918974
starburst amacrine cell,ENSG00000283674,0.09358360718214317,0.8235358,0.8543838472927318
starburst amacrine cell,ENSG00000229989,0.13676028921138506,1.2629626,0.8249365266631631
starburst amacrine cell,ENSG00000258162,0.15695213377455897,1.6388341,0.7767088518423193
midget ganglion cell of retina,ENSG00000277011,0.039378038822895485,0.23862743,1.0
midget ganglion cell of retina,ENSG00000248455,0.036894443133417845,0.21990398,1.0
midget ganglion cell of retina,ENSG00000228526,0.024113106340552345,0.22872008,0.9411764705882353
midget ganglion cell of retina,ENSG00000257398,0.08640936057991122,0.5238357,0.926029292976155
midget ganglion cell of retina,ENSG00000186493,0.06504246555611906,0.31848612,0.9103725797989789
midget ganglion cell of retina,ENSG00000239911,0.024443132634101444,0.665584,0.9065105634577134
midget ganglion cell of retina,ENSG00000287290,0.028819803598261386,0.53701985,0.9047452737303341
midget ganglion cell of retina,ENSG00000203706,0.025317202079932922,0.24865727,0.9042980180067175
midget ganglion cell of retina,ENSG00000248540,0.05141473701441957,0.26767164,0.9007135068669039
midget ganglion cell of retina,ENSG00000225465,0.04484992251272633,0.6991508,0.8927962008644553
parasol ganglion cell of retina,ENSG00000227115,0.09005126334009303,0.20529225,1.0
parasol ganglion cell of retina,ENSG00000232044,0.039666983049722576,0.21929632,1.0
parasol ganglion cell of retina,ENSG00000286214,0.039157717524630854,0.5778041,1.0
parasol ganglion cell of retina,ENSG00000280809,0.027509085993208945,0.16841617,1.0
parasol ganglion cell of retina,ENSG00000261292,0.020220926163633447,0.15401033,1.0
parasol ganglion cell of retina,ENSG00000236502,0.017714123547538714,0.28605804,1.0
parasol ganglion cell of retina,ENSG00000240086,0.017210842962433085,0.3483925,1.0
parasol ganglion cell of retina,ENSG00000253661,0.014175211387739086,0.19434403,1.0
parasol ganglion cell of retina,ENSG00000259905,0.014116126256010308,0.29953337,1.0
parasol ganglion cell of retina,ENSG00000259969,0.012359686034210412,0.15457328,1.0
GABAergic amacrine cell,ENSG00000233452,0.2082681850901623,0.88121355,0.9863825580653023
GABAergic amacrine cell,ENSG00000281880,0.16202505360270583,0.5926273,0.9137149102547589
GABAergic amacrine cell,ENSG00000280870,0.13449021310972759,0.59766114,0.9074994956745821
GABAergic amacrine cell,ENSG00000253582,0.11434113060890654,0.5396819,0.8839375832501579
GABAergic amacrine cell,ENSG00000245526,0.09550655680542759,0.8478316,0.8235294117647058
GABAergic amacrine cell,ENSG00000229989,0.19466044908273095,1.1654935,0.8102961357902078
GABAergic amacrine cell,ENSG00000224020,0.0907084117003393,0.4781707,0.7852301772902993
glycinergic amacrine cell,ENSG00000245526,0.3557061306233628,1.1743801,0.8549315754105064
glycinergic amacrine cell,ENSG00000247828,0.3187835439323864,1.0157156,0.74505615234375
glycinergic amacrine cell,ENSG00000235244,0.3255103254442508,0.8737457,0.7350335682139677
