clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
astrocyte,ENSG00000131095,0.09499783595531969,2.917842,1.0
astrocyte,ENSG00000196136,0.08141706746308738,2.9725816,1.0
astrocyte,ENSG00000041982,0.0778224978568489,1.4275727,1.0
astrocyte,ENSG00000196092,0.06150593865237948,0.28984484,1.0
astrocyte,ENSG00000109610,0.0601823954948211,1.8435102,1.0
astrocyte,ENSG00000008394,0.04367247074782987,1.4285369,1.0
astrocyte,ENSG00000188488,0.042570523012712774,1.1611087,1.0
astrocyte,ENSG00000136732,0.034454996595850336,1.8045821,1.0
astrocyte,ENSG00000134531,0.028386158055117936,1.9074087,1.0
astrocyte,ENSG00000092758,0.023170450592806452,1.8237839,1.0
microglial cell,ENSG00000019582,0.13154441795841312,4.2015457,1.0
microglial cell,ENSG00000204287,0.13153255489522175,4.2282953,1.0
microglial cell,ENSG00000173369,0.09153465711958429,3.3888836,1.0
microglial cell,ENSG00000204472,0.0693677102081619,2.9268026,1.0
microglial cell,ENSG00000173372,0.05958553767281613,3.1312158,1.0
microglial cell,ENSG00000011600,0.0539120558629384,2.8619065,1.0
microglial cell,ENSG00000158869,0.036658299382046886,2.7862883,1.0
microglial cell,ENSG00000159189,0.03435272835737776,2.8193922,1.0
microglial cell,ENSG00000277632,0.025317933840848916,2.877466,1.0
microglial cell,ENSG00000122862,0.01645104556842064,2.388629,1.0
amacrine cell,ENSG00000149571,0.05999948106315665,1.3944124,1.0
amacrine cell,ENSG00000169946,0.04242446432821769,1.3759688,1.0
amacrine cell,ENSG00000187398,0.049322499069021156,0.9737027,0.9875822347753188
amacrine cell,ENSG00000182463,0.11605045467926202,1.6131086,0.978058446856106
amacrine cell,ENSG00000125869,0.08266047910698499,1.6150671,0.965141145622029
amacrine cell,ENSG00000182256,0.03501661863244216,0.32210615,0.9411764705882353
amacrine cell,ENSG00000170396,0.04582287487502766,2.2365494,0.9215705710298875
amacrine cell,ENSG00000164418,0.036379450436357104,1.3224996,0.9054503896657158
amacrine cell,ENSG00000083067,0.053202892048718496,1.6732565,0.8456435448983136
amacrine cell,ENSG00000152208,0.036226198804060916,1.3069842,0.8432754383367651
retinal cone cell,ENSG00000271850,0.019153634421573335,1.305621,1.0
retinal cone cell,ENSG00000114124,0.08915713792104271,2.2771552,0.9485181044129765
retinal cone cell,ENSG00000249364,0.06757249030957149,3.1345382,0.9411764705882353
retinal cone cell,ENSG00000259221,0.06603521354505122,2.21678,0.9411764705882353
retinal cone cell,ENSG00000170289,0.051518682313969964,2.0853262,0.9411764705882353
retinal cone cell,ENSG00000120500,0.05048773369622095,2.7574844,0.9411764705882353
retinal cone cell,ENSG00000048342,0.02920782576291125,2.7717688,0.9411764705882353
retinal cone cell,ENSG00000139053,0.021008478814876438,2.4322278,0.9411764705882353
retinal cone cell,ENSG00000138472,0.020693049261643347,1.6710577,0.9411764705882353
retinal cone cell,ENSG00000103489,0.020303331274982746,2.5102456,0.9270113355973187
retinal rod cell,ENSG00000132915,0.11334801678532681,3.731464,1.0
retinal rod cell,ENSG00000185527,0.07266616371152404,3.6260214,1.0
retinal rod cell,ENSG00000198515,0.04549387687435411,2.8471508,1.0
retinal rod cell,ENSG00000163914,0.027144768899046164,3.4219677,1.0
retinal rod cell,ENSG00000127928,0.02283935151954477,3.3266764,1.0
retinal rod cell,ENSG00000168234,0.034998932508115886,2.635721,0.9899440337629879
retinal rod cell,ENSG00000130561,0.09536230184129832,4.347082,0.9765012544744155
retinal rod cell,ENSG00000156194,0.029417555270778387,2.4992356,0.973587733857772
retinal rod cell,ENSG00000129221,0.026101938175964498,3.03442,0.9671389811179217
retinal rod cell,ENSG00000070729,0.06122773586681403,2.7834363,0.9538059830665588
Mueller cell,ENSG00000156510,0.09507797185327532,2.7072105,1.0
Mueller cell,ENSG00000182256,0.053970488892377134,2.375163,0.9920226861448849
Mueller cell,ENSG00000162998,0.040433453122249205,3.5559845,0.9700631849906024
Mueller cell,ENSG00000130203,0.03259455053226146,4.024329,0.9674463201971615
Mueller cell,ENSG00000186439,0.041137268496899755,2.3805432,0.9650628216126386
Mueller cell,ENSG00000091513,0.0258748386398412,4.067293,0.9603991438360775
Mueller cell,ENSG00000148604,0.02777597161743018,2.6601107,0.9538731329581317
Mueller cell,ENSG00000140522,0.041471151563508425,2.8701086,0.9533049849902883
Mueller cell,ENSG00000114315,0.053071808683731986,3.1842077,0.9469957316623014
Mueller cell,ENSG00000156076,0.07094437605158596,3.6343622,0.9411764705882353
retinal ganglion cell,ENSG00000162545,0.001453517048361774,0.8908758,0.9212367674883675
retinal ganglion cell,ENSG00000182197,0.0017157836990778824,0.38443166,0.9175245551502004
retinal ganglion cell,ENSG00000170381,0.001655162494437686,0.25137794,0.9068548258613137
retinal ganglion cell,ENSG00000168234,0.0026630060374185013,0.25322738,0.8953323118826922
retinal ganglion cell,ENSG00000152192,0.00148391927892585,0.7847125,0.8886727585512049
retinal ganglion cell,ENSG00000185567,0.0015543774923680812,2.1884148,0.8871882067007177
retinal ganglion cell,ENSG00000154975,0.012977762677741136,0.6208711,0.8823529411764706
retinal ganglion cell,ENSG00000117114,0.00481029206522585,0.258984,0.8823529411764706
retinal ganglion cell,ENSG00000149489,0.003419302855718645,0.18367489,0.8823529411764706
retinal ganglion cell,ENSG00000116191,0.002310643658226489,0.22955325,0.8823529411764706
retinal bipolar neuron,ENSG00000101542,0.08326017566121452,2.1177742,1.0
retinal bipolar neuron,ENSG00000182348,0.04745639501895153,1.6483034,1.0
retinal bipolar neuron,ENSG00000121905,0.03966170229588409,1.3412087,1.0
retinal bipolar neuron,ENSG00000155307,0.11169473348257353,2.0117893,0.9638724572518292
retinal bipolar neuron,ENSG00000117154,0.027917840483839697,1.2801182,0.9488613430191489
retinal bipolar neuron,ENSG00000166342,0.02664461716290762,1.2947435,0.9411764705882353
retinal bipolar neuron,ENSG00000144771,0.015382936918043153,1.8067062,0.9411764705882353
retinal bipolar neuron,ENSG00000152495,0.0420474878708469,1.2982173,0.9383186066851896
retinal bipolar neuron,ENSG00000060982,0.07183720622307334,1.4536465,0.9297962013412925
retinal bipolar neuron,ENSG00000154975,0.1452337694848309,2.8767648,0.9284810178420123
rod bipolar cell,ENSG00000203727,0.05511782638130065,2.7060645,1.0
rod bipolar cell,ENSG00000174788,0.04746228910524995,3.963001,1.0
rod bipolar cell,ENSG00000227681,0.043653714176315396,2.4572845,1.0
rod bipolar cell,ENSG00000140563,0.03594205088586292,1.1355546,1.0
rod bipolar cell,ENSG00000286961,0.0275444472995223,1.2108295,1.0
rod bipolar cell,ENSG00000165966,0.021756531982511155,2.1106977,1.0
rod bipolar cell,ENSG00000178538,0.02050724584742544,0.86665094,1.0
rod bipolar cell,ENSG00000173452,0.020429247486193604,2.019661,1.0
rod bipolar cell,ENSG00000154229,0.05240888027075454,3.215308,0.9970821247381323
rod bipolar cell,ENSG00000196290,0.024613970452768762,1.995553,0.9819290112046635
retinal pigment epithelial cell,ENSG00000230448,0.12027314041446721,3.003556,1.0
retinal pigment epithelial cell,ENSG00000118322,0.0801395907656808,1.9532351,1.0
retinal pigment epithelial cell,ENSG00000107165,0.06312948565693809,2.3577452,1.0
retinal pigment epithelial cell,ENSG00000180287,0.06003703869552417,2.5043788,1.0
retinal pigment epithelial cell,ENSG00000116745,0.055679414073512214,2.6351202,1.0
retinal pigment epithelial cell,ENSG00000159212,0.05347791553418106,0.8957819,1.0
retinal pigment epithelial cell,ENSG00000132386,0.05162603174586919,2.5693917,1.0
retinal pigment epithelial cell,ENSG00000136960,0.049539819146734984,2.5588353,1.0
retinal pigment epithelial cell,ENSG00000144810,0.03209940531686597,0.9946499,1.0
retinal pigment epithelial cell,ENSG00000010379,0.029180938561442875,1.1345302,1.0
S cone cell,ENSG00000128617,0.1680816040454325,2.874199,1.0
S cone cell,ENSG00000100024,0.054625190117884886,0.9911536,1.0
S cone cell,ENSG00000074803,0.05162535665120545,0.56052804,1.0
S cone cell,ENSG00000249364,0.035340984739100294,4.4825907,0.9588665085680345
S cone cell,ENSG00000259221,0.00820149799139319,2.4957266,0.9477511609301847
S cone cell,ENSG00000139053,0.016632362507850815,2.696737,0.9469461721532485
S cone cell,ENSG00000120500,0.007760201299630321,3.0573103,0.9469452079604653
S cone cell,ENSG00000048342,0.007186086890893669,2.9226317,0.9442128749454722
S cone cell,ENSG00000021300,0.007261208045827608,2.0202518,0.932015951941995
S cone cell,ENSG00000042813,0.024320544195896857,1.5760521,0.8990109843366286
H1 horizontal cell,ENSG00000157890,0.06116860995760754,2.104591,1.0
H1 horizontal cell,ENSG00000164309,0.04722235003526817,1.2521409,1.0
H1 horizontal cell,ENSG00000140470,0.042483693513691495,1.682013,1.0
H1 horizontal cell,ENSG00000198838,0.016494116173548453,1.884444,0.9619276488528532
H1 horizontal cell,ENSG00000140479,0.08212650646972258,2.3459196,0.9528809680658228
H1 horizontal cell,ENSG00000169933,0.07439115320622926,2.853265,0.9505447990754071
H1 horizontal cell,ENSG00000116147,0.08504135868779372,2.183652,0.9492588814567117
H1 horizontal cell,ENSG00000205922,0.03773957281726257,0.6551328,0.9411764705882353
H1 horizontal cell,ENSG00000119547,0.031818895375659025,1.4456172,0.9411764705882353
H1 horizontal cell,ENSG00000169856,0.09321941222907995,2.344924,0.9206576557720408
H2 horizontal cell,ENSG00000102290,0.08320703010454462,1.8711557,1.0
H2 horizontal cell,ENSG00000136842,0.06090342374169602,1.8667848,1.0
H2 horizontal cell,ENSG00000099715,0.04653100603134369,2.2995756,1.0
H2 horizontal cell,ENSG00000244040,0.021666251980480722,1.349292,1.0
H2 horizontal cell,ENSG00000259203,0.01673383574385936,1.1894251,1.0
H2 horizontal cell,ENSG00000082269,0.05372957908473033,2.5670936,0.9756738473387325
H2 horizontal cell,ENSG00000104327,0.0819339940710871,2.5250926,0.9584624977672801
H2 horizontal cell,ENSG00000006116,0.015073515700809122,2.362958,0.9540107706013847
H2 horizontal cell,ENSG00000119547,0.015821493141850843,1.6427319,0.9482348245732924
H2 horizontal cell,ENSG00000206535,0.012784541196331002,2.305922,0.9395646943765528
starburst amacrine cell,ENSG00000115665,0.15516806535978425,2.1232612,1.0
