clusterName,markerGene,score
astrocyte,ENSG00000131095,0.7780541735765616
astrocyte,ENSG00000008394,0.7780541735765616
microglial cell,ENSG00000019582,0.9477707006369427
microglial cell,ENSG00000204287,0.9477707006369427
amacrine cell,ENSG00000149571,0.4966216216216216
amacrine cell,ENSG00000182463,0.4966216216216216
retinal cone cell,ENSG00000114124,0.7718835581701998
retinal cone cell,ENSG00000120500,0.7718835581701998
retinal rod cell,ENSG00000132915,0.9650342864536162
Mueller cell,ENSG00000156510,0.9595240952495243
Mueller cell,ENSG00000182256,0.9595240952495243
retinal ganglion cell,ENSG00000182197,0.08840864440078586
retinal ganglion cell,ENSG00000152192,0.08840864440078586
retinal ganglion cell,ENSG00000185567,0.08840864440078586
retinal bipolar neuron,ENSG00000101542,0.7972912060786881
retinal bipolar neuron,ENSG00000155307,0.7972912060786881
rod bipolar cell,ENSG00000174788,0.9202632384450566
rod bipolar cell,ENSG00000165966,0.9202632384450566
retinal pigment epithelial cell,ENSG00000230448,0.7865535248041775
S cone cell,ENSG00000128617,0.8244274809160306
S cone cell,ENSG00000249364,0.8244274809160306
H1 horizontal cell,ENSG00000157890,0.7609732824427481
H1 horizontal cell,ENSG00000169933,0.7609732824427481
H2 horizontal cell,ENSG00000102290,0.7320983256145351
H2 horizontal cell,ENSG00000136842,0.7320983256145351
starburst amacrine cell,ENSG00000115665,0.8601097178683386
midget ganglion cell of retina,ENSG00000085831,0.9250375361628886
midget ganglion cell of retina,ENSG00000150722,0.9250375361628886
midget ganglion cell of retina,ENSG00000173267,0.9250375361628886
parasol ganglion cell of retina,ENSG00000169302,0.8018327605956472
parasol ganglion cell of retina,ENSG00000170231,0.8018327605956472
parasol ganglion cell of retina,ENSG00000197177,0.8018327605956472
GABAergic amacrine cell,ENSG00000148123,0.760410694741231
GABAergic amacrine cell,ENSG00000128683,0.760410694741231
glycinergic amacrine cell,ENSG00000196517,0.7294723798343442
glycinergic amacrine cell,ENSG00000164418,0.7294723798343442
