clusterName,markerGene,onTarget_per_gene,onTarget
astrocyte,ENSG00000131095,1.0,1.0
astrocyte,ENSG00000008394,1.0,1.0
microglial cell,ENSG00000019582,1.0,1.0
microglial cell,ENSG00000204287,1.0,1.0
amacrine cell,ENSG00000149571,1.0,0.86416435
amacrine cell,ENSG00000182463,0.7283287,0.86416435
retinal cone cell,ENSG00000114124,0.5332787,0.5037487
retinal cone cell,ENSG00000120500,0.47421873,0.5037487
retinal rod cell,ENSG00000132915,1.0,1.0
Mueller cell,ENSG00000156510,1.0,0.94029033
Mueller cell,ENSG00000182256,0.88058066,0.94029033
retinal ganglion cell,ENSG00000182197,0.25698224,0.33640447
retinal ganglion cell,ENSG00000152192,0.3422921,0.33640447
retinal ganglion cell,ENSG00000185567,0.33640447,0.33640447
retinal bipolar neuron,ENSG00000101542,1.0,0.80975705
retinal bipolar neuron,ENSG00000155307,0.6195141,0.80975705
rod bipolar cell,ENSG00000174788,1.0,1.0
rod bipolar cell,ENSG00000165966,1.0,1.0
retinal pigment epithelial cell,ENSG00000230448,1.0,1.0
S cone cell,ENSG00000128617,1.0,0.7942441
S cone cell,ENSG00000249364,0.5884882,0.7942441
H1 horizontal cell,ENSG00000157890,1.0,0.77163017
H1 horizontal cell,ENSG00000169933,0.5432603,0.77163017
H2 horizontal cell,ENSG00000102290,1.0,1.0
H2 horizontal cell,ENSG00000136842,1.0,1.0
starburst amacrine cell,ENSG00000115665,1.0,1.0
midget ganglion cell of retina,ENSG00000085831,0.37551704,0.3718172
midget ganglion cell of retina,ENSG00000150722,0.3718172,0.3718172
midget ganglion cell of retina,ENSG00000173267,0.35255235,0.3718172
parasol ganglion cell of retina,ENSG00000169302,1.0,1.0
parasol ganglion cell of retina,ENSG00000170231,1.0,1.0
parasol ganglion cell of retina,ENSG00000197177,1.0,1.0
GABAergic amacrine cell,ENSG00000148123,0.5823503,0.56359804
GABAergic amacrine cell,ENSG00000128683,0.5448458,0.56359804
glycinergic amacrine cell,ENSG00000196517,1.0,0.7640269
glycinergic amacrine cell,ENSG00000164418,0.5280538,0.7640269
