software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cell_type,astrocyte,1362,0.7780541735765616,0.99822695035461,0.4133627019089574,148637,1,799,563,2,"['ENSG00000131095', 'ENSG00000008394']","['ENSG00000131095', 'ENSG00000196136', 'ENSG00000041982', 'ENSG00000196092', 'ENSG00000109610', 'ENSG00000008394', 'ENSG00000188488', 'ENSG00000136732', 'ENSG00000134531', 'ENSG00000092758']",1.0
4.1,cell_type,microglial cell,1766,0.9477707006369427,0.9783037475345168,0.8425821064552661,148201,33,278,1488,2,"['ENSG00000019582', 'ENSG00000204287']","['ENSG00000019582', 'ENSG00000204287', 'ENSG00000173369', 'ENSG00000204472', 'ENSG00000173372', 'ENSG00000011600', 'ENSG00000158869', 'ENSG00000159189', 'ENSG00000277632', 'ENSG00000122862']",1.0
4.1,cell_type,amacrine cell,796,0.4966216216216216,0.8596491228070176,0.18467336683417085,149180,24,649,147,2,"['ENSG00000149571', 'ENSG00000182463']","['ENSG00000149571', 'ENSG00000169946', 'ENSG00000187398', 'ENSG00000182463', 'ENSG00000125869', 'ENSG00000182256', 'ENSG00000170396', 'ENSG00000164418', 'ENSG00000083067', 'ENSG00000152208']",0.86416435
4.1,cell_type,retinal cone cell,3247,0.7718835581701998,0.9207501512401693,0.4687403757314444,146622,131,1725,1522,2,"['ENSG00000114124', 'ENSG00000120500']","['ENSG00000271850', 'ENSG00000114124', 'ENSG00000249364', 'ENSG00000259221', 'ENSG00000170289', 'ENSG00000120500', 'ENSG00000048342', 'ENSG00000139053', 'ENSG00000138472', 'ENSG00000103489']",0.5037487
4.1,cell_type,retinal rod cell,50276,0.9650342864536162,0.9690031057791851,0.9494788766011616,98197,1527,2540,47736,1,['ENSG00000132915'],"['ENSG00000132915', 'ENSG00000185527', 'ENSG00000198515', 'ENSG00000163914', 'ENSG00000127928', 'ENSG00000168234', 'ENSG00000130561', 'ENSG00000156194', 'ENSG00000129221', 'ENSG00000070729']",1.0
4.1,cell_type,Mueller cell,26702,0.9595240952495243,0.9954646509559805,0.8384390682345891,123196,102,4314,22388,2,"['ENSG00000156510', 'ENSG00000182256']","['ENSG00000156510', 'ENSG00000182256', 'ENSG00000162998', 'ENSG00000130203', 'ENSG00000186439', 'ENSG00000091513', 'ENSG00000148604', 'ENSG00000140522', 'ENSG00000114315', 'ENSG00000156076']",0.94029033
4.1,cell_type,retinal ganglion cell,357,0.08840864440078586,0.23684210526315788,0.025210084033613446,149614,29,348,9,3,"['ENSG00000182197', 'ENSG00000152192', 'ENSG00000185567']","['ENSG00000162545', 'ENSG00000182197', 'ENSG00000170381', 'ENSG00000168234', 'ENSG00000152192', 'ENSG00000185567', 'ENSG00000154975', 'ENSG00000117114', 'ENSG00000149489', 'ENSG00000116191']",0.33640447
4.1,cell_type,retinal bipolar neuron,33058,0.7972912060786881,0.9885562208915503,0.4494524774638514,116770,172,18200,14858,2,"['ENSG00000101542', 'ENSG00000155307']","['ENSG00000101542', 'ENSG00000182348', 'ENSG00000121905', 'ENSG00000155307', 'ENSG00000117154', 'ENSG00000166342', 'ENSG00000144771', 'ENSG00000152495', 'ENSG00000060982', 'ENSG00000154975']",0.80975705
4.1,cell_type,rod bipolar cell,8178,0.9202632384450566,0.9820349501878164,0.7352653460503791,141712,110,2165,6013,2,"['ENSG00000174788', 'ENSG00000165966']","['ENSG00000203727', 'ENSG00000174788', 'ENSG00000227681', 'ENSG00000140563', 'ENSG00000286961', 'ENSG00000165966', 'ENSG00000178538', 'ENSG00000173452', 'ENSG00000154229', 'ENSG00000196290']",1.0
4.1,cell_type,retinal pigment epithelial cell,908,0.7865535248041775,0.8942486085343229,0.5308370044052864,149035,57,426,482,1,['ENSG00000230448'],"['ENSG00000230448', 'ENSG00000118322', 'ENSG00000107165', 'ENSG00000180287', 'ENSG00000116745', 'ENSG00000159212', 'ENSG00000132386', 'ENSG00000136960', 'ENSG00000144810', 'ENSG00000010379']",1.0
4.1,cell_type,S cone cell,219,0.8244274809160306,0.9908256880733946,0.4931506849315068,149780,1,111,108,2,"['ENSG00000128617', 'ENSG00000249364']","['ENSG00000128617', 'ENSG00000100024', 'ENSG00000074803', 'ENSG00000249364', 'ENSG00000259221', 'ENSG00000139053', 'ENSG00000120500', 'ENSG00000048342', 'ENSG00000021300', 'ENSG00000042813']",0.7942441
4.1,cell_type,H1 horizontal cell,3100,0.7609732824427481,0.9659348978046934,0.41161290322580646,146855,45,1824,1276,2,"['ENSG00000157890', 'ENSG00000169933']","['ENSG00000157890', 'ENSG00000164309', 'ENSG00000140470', 'ENSG00000198838', 'ENSG00000140479', 'ENSG00000169933', 'ENSG00000116147', 'ENSG00000205922', 'ENSG00000119547', 'ENSG00000169856']",0.77163017
