,0
Age-associated B cells,124
CD16+ NK cells,133
CD16- NK cells,162
CD24 neutrophils,519
CMP,1239
CRTAM+ gamma-delta T cells,109
Classical monocytes,275
Cycling T&NK,908
DC precursor,1511
DC1,956
DC2,960
ELP,391
ETP,124
Early MK,3498
Early erythroid,2303
Erythrocytes,3014
Follicular helper T cells,117
GMP,854
HSC/MPP,227
Late erythroid,248
MAIT cells,98
MEMP,1566
Mast cells,129
Megakaryocyte precursor,427
Megakaryocytes/platelets,265
Memory B cells,65
Mid erythroid,2008
NAMPT neutrophils,508
Naive B cells,36
Neutrophil-myeloid progenitor,334
Neutrophils,13
Non-classical monocytes,409
Plasma cells,282
Plasmablasts,1897
Pro-B cells,122
Promyelocytes,297
Regulatory T cells,126
Small pre-B cells,177
Tcm/Naive cytotoxic T cells,94
Tcm/Naive helper T cells,77
Tem/Effector helper T cells,109
Tem/Temra cytotoxic T cells,100
Tem/Trm cytotoxic T cells,83
pDC,589
pDC precursor,512
