clusterName,markerGene,onTarget_per_gene,onTarget
Age-associated B cells,ENSG00000184293,1.0,0.69747734
Age-associated B cells,ENSG00000137101,0.3949547,0.69747734
CD16+ NK cells,ENSG00000150045,0.37447786,0.35697538
CD16+ NK cells,ENSG00000115523,0.33947286,0.35697538
CD16- NK cells,ENSG00000117281,1.0,0.55239064
CD16- NK cells,ENSG00000196781,0.55239064,0.55239064
CD16- NK cells,ENSG00000113088,0.22534026,0.55239064
CD24 neutrophils,ENSG00000118113,1.0,1.0
CMP,ENSG00000136379,1.0,0.2354686
CMP,ENSG00000163751,0.2535798,0.2354686
CMP,ENSG00000100448,0.18922643,0.2354686
CMP,ENSG00000005381,0.22699581,0.2354686
CMP,ENSG00000245848,0.2354686,0.2354686
CRTAM+ gamma-delta T cells,ENSG00000205810,1.0,0.45088026
CRTAM+ gamma-delta T cells,ENSG00000227191,0.45088026,0.45088026
CRTAM+ gamma-delta T cells,ENSG00000113088,0.2467548,0.45088026
Classical monocytes,ENSG00000038427,0.6608386,0.6608386
Cycling T&NK,ENSG00000137804,0.3395678,0.2767236
Cycling T&NK,ENSG00000180644,0.21387939,0.2767236
DC1,ENSG00000197992,1.0,1.0
DC1,ENSG00000118292,1.0,1.0
DC2,ENSG00000168913,1.0,1.0
DC2,ENSG00000135549,1.0,1.0
DC2,ENSG00000131724,0.7552242,1.0
DC precursor,ENSG00000014914,1.0,0.2883817
DC precursor,ENSG00000196141,0.36770228,0.2883817
DC precursor,ENSG00000184640,0.20906112,0.2883817
DC precursor,ENSG00000126759,0.16978025,0.2883817
ELP,ENSG00000132744,0.26511496,0.25498468
ELP,ENSG00000107447,0.37531123,0.25498468
ELP,ENSG00000169575,0.21168962,0.25498468
ELP,ENSG00000128040,0.24485438,0.25498468
ETP,ENSG00000132744,0.734885,0.734885
Early MK,ENSG00000103175,1.0,0.95238245
Early MK,ENSG00000049323,0.9047649,0.95238245
Early erythroid,ENSG00000130208,0.35018504,0.2979887
Early erythroid,ENSG00000168754,0.24579237,0.2979887
Erythrocytes,ENSG00000189316,1.0,1.0
Erythrocytes,ENSG00000253154,1.0,1.0
Erythrocytes,ENSG00000196632,1.0,1.0
Erythrocytes,ENSG00000269600,1.0,1.0
Erythrocytes,ENSG00000124440,1.0,1.0
Follicular helper T cells,ENSG00000102245,1.0,0.3894306
Follicular helper T cells,ENSG00000134352,0.3894306,0.3894306
Follicular helper T cells,ENSG00000122417,0.28902572,0.3894306
GMP,ENSG00000176076,0.57609653,0.24488446
GMP,ENSG00000005381,0.24488446,0.24488446
GMP,ENSG00000166428,0.12922166,0.24488446
HSC/MPP,ENSG00000101200,1.0,1.0
Late erythroid,ENSG00000133069,1.0,1.0
Late erythroid,ENSG00000004939,1.0,1.0
MAIT cells,ENSG00000111796,0.28216067,0.27571672
MAIT cells,ENSG00000139187,0.27571672,0.27571672
MAIT cells,ENSG00000113088,0.22484355,0.27571672
MEMP,ENSG00000125538,0.43553972,0.20606853
MEMP,ENSG00000005961,0.16174367,0.20606853
MEMP,ENSG00000119865,0.2503934,0.20606853
MEMP,ENSG00000163751,0.071417235,0.20606853
Mast cells,ENSG00000140287,1.0,1.0
Mast cells,ENSG00000105205,1.0,1.0
Megakaryocyte precursor,ENSG00000184226,0.21657807,0.21657807
Megakaryocyte precursor,ENSG00000163751,0.19027865,0.21657807
Megakaryocyte precursor,ENSG00000186998,0.23458503,0.21657807
Megakaryocytes/platelets,ENSG00000101162,1.0,1.0
Memory B cells,ENSG00000138639,0.5129142,0.3349274
Memory B cells,ENSG00000153064,0.3349274,0.3349274
Memory B cells,ENSG00000156738,0.31004053,0.3349274
Mid erythroid,ENSG00000075340,0.4541531,0.44956607
Mid erythroid,ENSG00000198336,0.44497904,0.44956607
NAMPT neutrophils,ENSG00000162551,1.0,1.0
NAMPT neutrophils,ENSG00000112303,1.0,1.0
Naive B cells,ENSG00000100721,0.414738,0.414738
Neutrophil-myeloid progenitor,ENSG00000100448,0.28101555,0.26286408
Neutrophil-myeloid progenitor,ENSG00000005381,0.24471264,0.26286408
Neutrophils,ENSG00000210082,0.15671438,0.12832297
Neutrophils,ENSG00000163162,0.12832297,0.12832297
Neutrophils,ENSG00000143546,0.06822227,0.12832297
Non-classical monocytes,ENSG00000166927,0.9217882,0.64793456
Non-classical monocytes,ENSG00000142089,0.37408096,0.64793456
Plasma cells,ENSG00000115884,0.8605374,0.61047244
Plasma cells,ENSG00000143297,0.36040744,0.61047244
Plasmablasts,ENSG00000239264,0.60249645,0.48322546
Plasmablasts,ENSG00000171848,0.36395448,0.48322546
Pro-B cells,ENSG00000107447,0.55121726,0.4994432
Pro-B cells,ENSG00000169575,0.44766915,0.4994432
Promyelocytes,ENSG00000100448,0.24227516,0.21263677
Promyelocytes,ENSG00000005381,0.24872032,0.21263677
Promyelocytes,ENSG00000110077,0.18299837,0.21263677
Promyelocytes,ENSG00000143546,0.101196244,0.21263677
Regulatory T cells,ENSG00000163599,1.0,0.24616449
Regulatory T cells,ENSG00000139193,0.24616449,0.24616449
Regulatory T cells,ENSG00000090104,0.21419847,0.24616449
Small pre-B cells,ENSG00000135144,1.0,0.9803306
Small pre-B cells,ENSG00000107902,0.9606612,0.9803306
Tcm/Naive cytotoxic T cells,ENSG00000256039,1.0,0.5899486
Tcm/Naive cytotoxic T cells,ENSG00000126353,0.5899486,0.5899486
Tcm/Naive cytotoxic T cells,ENSG00000172116,0.3662192,0.5899486
Tcm/Naive helper T cells,ENSG00000237943,0.3650942,0.2991916
Tcm/Naive helper T cells,ENSG00000184557,0.23328896,0.2991916
Tem/Effector helper T cells,ENSG00000102871,0.61312675,0.36141303
Tem/Effector helper T cells,ENSG00000165272,0.36141303,0.36141303
Tem/Effector helper T cells,ENSG00000141232,0.16790232,0.36141303
Tem/Temra cytotoxic T cells,ENSG00000137441,0.3183905,0.30692962
Tem/Temra cytotoxic T cells,ENSG00000172116,0.30692962,0.30692962
Tem/Temra cytotoxic T cells,ENSG00000115523,0.26284793,0.30692962
Tem/Trm cytotoxic T cells,ENSG00000172116,0.32685116,0.3149563
Tem/Trm cytotoxic T cells,ENSG00000113088,0.30306143,0.3149563
pDC,ENSG00000171611,1.0,1.0
pDC,ENSG00000230138,1.0,1.0
pDC precursor,ENSG00000167483,1.0,0.21848708
pDC precursor,ENSG00000166428,0.21848708,0.21848708
pDC precursor,ENSG00000148154,0.15252282,0.21848708
