,0
Age-associated B cells,1
CD16+ NK cells,1
CD16- NK cells,3
CD24 neutrophils,4
CMP,11
CRTAM+ gamma-delta T cells,2
Classical monocytes,3
Cycling T&NK,11
DC precursor,10
DC1,13
DC2,12
ELP,9
ETP,3
Early MK,29
Early erythroid,15
Erythrocytes,39
Follicular helper T cells,4
GMP,7
HSC/MPP,6
Late erythroid,1
MAIT cells,3
MEMP,15
Mast cells,4
Megakaryocyte precursor,10
Megakaryocytes/platelets,2
Memory B cells,1
Mid erythroid,17
NAMPT neutrophils,4
Naive B cells,1
Neutrophil-myeloid progenitor,4
Neutrophils,0
Non-classical monocytes,1
Plasma cells,2
Plasmablasts,17
Pro-B cells,8
Promyelocytes,3
Regulatory T cells,4
Small pre-B cells,6
Tcm/Naive cytotoxic T cells,5
Tcm/Naive helper T cells,6
Tem/Effector helper T cells,5
Tem/Temra cytotoxic T cells,2
Tem/Trm cytotoxic T cells,2
pDC,16
pDC precursor,5
