clusterName,markerGene,score
Age-associated B cells,ENSG00000247982,0.052906596995427824
CD16+ NK cells,ENSG00000247774,0.2895919042890244
CD16- NK cells,ENSG00000229807,0.033524560774471135
CD16- NK cells,ENSG00000247774,0.033524560774471135
CD24 neutrophils,ENSG00000274536,0.5858145727426773
CMP,ENSG00000270069,0.2305520702634881
CMP,ENSG00000237819,0.2305520702634881
CMP,ENSG00000232956,0.2305520702634881
CMP,ENSG00000229989,0.2305520702634881
CRTAM+ gamma-delta T cells,ENSG00000231721,0.05177265811194743
Classical monocytes,ENSG00000271614,0.39976462800191237
Cycling T&NK,ENSG00000232931,0.22457067371202113
Cycling T&NK,ENSG00000197536,0.22457067371202113
Cycling T&NK,ENSG00000229807,0.22457067371202113
Cycling T&NK,ENSG00000225470,0.22457067371202113
DC1,ENSG00000227039,0.11811023622047244
DC1,ENSG00000163597,0.11811023622047244
DC1,ENSG00000229807,0.11811023622047244
DC1,ENSG00000271614,0.11811023622047244
DC1,ENSG00000226950,0.11811023622047244
DC1,ENSG00000247556,0.11811023622047244
DC2,ENSG00000227039,0.21956087824351297
DC2,ENSG00000229807,0.21956087824351297
DC2,ENSG00000271614,0.21956087824351297
DC2,ENSG00000225470,0.21956087824351297
DC2,ENSG00000229989,0.21956087824351297
DC2,ENSG00000232956,0.21956087824351297
DC precursor,ENSG00000225733,0.05203171456888008
DC precursor,ENSG00000271614,0.05203171456888008
DC precursor,ENSG00000266311,0.05203171456888008
DC precursor,ENSG00000229989,0.05203171456888008
DC precursor,ENSG00000232956,0.05203171456888008
DC precursor,ENSG00000225484,0.05203171456888008
ELP,ENSG00000281649,0.07197696737044146
ELP,ENSG00000206573,0.07197696737044146
ELP,ENSG00000229989,0.07197696737044146
ELP,ENSG00000266311,0.07197696737044146
ELP,ENSG00000225484,0.07197696737044146
ETP,ENSG00000224032,0.045871559633027525
ETP,ENSG00000257621,0.045871559633027525
ETP,ENSG00000266402,0.045871559633027525
Early MK,ENSG00000244300,0.3269230769230769
Early MK,ENSG00000254635,0.3269230769230769
Early MK,ENSG00000197989,0.3269230769230769
Early MK,ENSG00000269293,0.3269230769230769
Early MK,ENSG00000269821,0.3269230769230769
Early MK,ENSG00000223482,0.3269230769230769
Early erythroid,ENSG00000234608,0.4066811909949165
Early erythroid,ENSG00000249859,0.4066811909949165
Early erythroid,ENSG00000253738,0.4066811909949165
Early erythroid,ENSG00000225733,0.4066811909949165
Erythrocytes,ENSG00000189316,0.3253424657534247
Erythrocytes,ENSG00000253154,0.3253424657534247
Erythrocytes,ENSG00000225439,0.3253424657534247
Follicular helper T cells,ENSG00000231721,0.019043588658484975
Follicular helper T cells,ENSG00000203875,0.019043588658484975
Follicular helper T cells,ENSG00000234741,0.019043588658484975
GMP,ENSG00000260260,0.09498598567424478
