clusterName,markerGene,onTarget_per_gene,onTarget
Age-associated B cells,ENSG00000247982,0.28466132,0.28466132
CD16+ NK cells,ENSG00000247774,0.08803485,0.08803485
CD16- NK cells,ENSG00000229807,0.19497569,0.1373593
CD16- NK cells,ENSG00000247774,0.079742916,0.1373593
CD24 neutrophils,ENSG00000274536,1.0,1.0
CMP,ENSG00000270069,1.0,0.26267907
CMP,ENSG00000237819,0.41808,0.26267907
CMP,ENSG00000232956,0.10727816,0.26267907
CMP,ENSG00000229989,0.07391543,0.26267907
CRTAM+ gamma-delta T cells,ENSG00000231721,0.12909006,0.12909006
Classical monocytes,ENSG00000271614,0.24496655,0.24496655
Cycling T&NK,ENSG00000232931,1.0,0.6513195
Cycling T&NK,ENSG00000197536,1.0,0.6513195
Cycling T&NK,ENSG00000229807,0.302639,0.6513195
Cycling T&NK,ENSG00000225470,0.16450253,0.6513195
DC1,ENSG00000227039,0.59427756,0.10496935
DC1,ENSG00000163597,0.17682001,0.10496935
DC1,ENSG00000229807,0.08952702,0.10496935
DC1,ENSG00000271614,0.120411694,0.10496935
DC1,ENSG00000226950,0.08241765,0.10496935
DC1,ENSG00000247556,0.083436176,0.10496935
DC2,ENSG00000227039,0.40572247,0.124022976
DC2,ENSG00000229807,0.11634245,0.124022976
DC2,ENSG00000271614,0.1317035,0.124022976
DC2,ENSG00000225470,0.13357322,0.124022976
DC2,ENSG00000229989,0.07374976,0.124022976
DC2,ENSG00000232956,0.091858946,0.124022976
DC precursor,ENSG00000225733,0.15504038,0.07939862
DC precursor,ENSG00000271614,0.11601392,0.07939862
DC precursor,ENSG00000266311,0.07191939,0.07939862
DC precursor,ENSG00000229989,0.0526455,0.07939862
DC precursor,ENSG00000232956,0.086877845,0.07939862
DC precursor,ENSG00000225484,0.053337205,0.07939862
ELP,ENSG00000281649,0.15490837,0.12820126
ELP,ENSG00000206573,0.22340277,0.12820126
ELP,ENSG00000229989,0.12820126,0.12820126
ELP,ENSG00000266311,0.09206027,0.12820126
ELP,ENSG00000225484,0.06767096,0.12820126
ETP,ENSG00000224032,0.08240896,0.08240896
ETP,ENSG00000257621,0.08439296,0.08240896
ETP,ENSG00000266402,0.056446828,0.08240896
Early MK,ENSG00000244300,1.0,0.83657026
Early MK,ENSG00000254635,1.0,0.83657026
Early MK,ENSG00000197989,1.0,0.83657026
Early MK,ENSG00000269293,0.6731405,0.83657026
Early MK,ENSG00000269821,0.40657422,0.83657026
Early MK,ENSG00000223482,0.2907162,0.83657026
Early erythroid,ENSG00000234608,0.29304665,0.22025165
Early erythroid,ENSG00000249859,0.24875098,0.22025165
Early erythroid,ENSG00000253738,0.19175233,0.22025165
Early erythroid,ENSG00000225733,0.13223143,0.22025165
Erythrocytes,ENSG00000189316,1.0,1.0
Erythrocytes,ENSG00000253154,1.0,1.0
Erythrocytes,ENSG00000225439,1.0,1.0
Follicular helper T cells,ENSG00000231721,0.12635702,0.07988445
Follicular helper T cells,ENSG00000203875,0.07988445,0.07988445
Follicular helper T cells,ENSG00000234741,0.058375746,0.07988445
GMP,ENSG00000260260,0.4275478,0.10813234
GMP,ENSG00000271614,0.10813234,0.10813234
GMP,ENSG00000266311,0.124192685,0.10813234
GMP,ENSG00000266402,0.10077408,0.10813234
GMP,ENSG00000232956,0.08964172,0.10813234
HSC/MPP,ENSG00000224032,0.102718584,0.08489707
HSC/MPP,ENSG00000244879,0.08489707,0.08489707
HSC/MPP,ENSG00000266311,0.03661776,0.08489707
Late erythroid,ENSG00000224177,1.0,1.0
MAIT cells,ENSG00000274020,1.0,0.5325148
MAIT cells,ENSG00000203875,0.065029666,0.5325148
MEMP,ENSG00000223482,0.23820728,0.15662521
MEMP,ENSG00000249859,0.15420485,0.15662521
MEMP,ENSG00000206573,0.15904558,0.15662521
MEMP,ENSG00000225733,0.13177346,0.15662521
Mast cells,ENSG00000172965,0.101005055,0.052695118
Mast cells,ENSG00000222041,0.05449872,0.052695118
Mast cells,ENSG00000224032,0.05089151,0.052695118
Mast cells,ENSG00000266402,0.010840894,0.052695118
Megakaryocyte precursor,ENSG00000269821,0.5934258,0.12531571
Megakaryocyte precursor,ENSG00000225733,0.12710312,0.12531571
Megakaryocyte precursor,ENSG00000225484,0.1235283,0.12531571
Megakaryocyte precursor,ENSG00000224032,0.100793324,0.12531571
Megakaryocytes/platelets,ENSG00000250334,1.0,1.0
Memory B cells,ENSG00000247982,0.29492825,0.29492825
Mid erythroid,ENSG00000224259,0.82635516,0.30472615
Mid erythroid,ENSG00000163597,0.30472615,0.30472615
Mid erythroid,ENSG00000249859,0.24638765,0.30472615
NAMPT neutrophils,ENSG00000224397,1.0,0.5303899
NAMPT neutrophils,ENSG00000245532,0.060779847,0.5303899
Naive B cells,ENSG00000247982,0.4204104,0.4204104
Neutrophil-myeloid progenitor,ENSG00000266311,0.088253334,0.07073594
Neutrophil-myeloid progenitor,ENSG00000266402,0.08661173,0.07073594
Neutrophil-myeloid progenitor,ENSG00000232956,0.054860145,0.07073594
Neutrophil-myeloid progenitor,ENSG00000224032,0.03308191,0.07073594
Non-classical monocytes,ENSG00000271614,0.13222046,0.13222046
Plasma cells,ENSG00000222041,0.08315747,0.08315747
Plasmablasts,ENSG00000231607,1.0,0.21852115
Plasmablasts,ENSG00000242125,0.20958936,0.21852115
Plasmablasts,ENSG00000255717,0.251624,0.21852115
Plasmablasts,ENSG00000234608,0.15307093,0.21852115
Plasmablasts,ENSG00000226950,0.21852115,0.21852115
Pro-B cells,ENSG00000237819,0.58192,0.38782442
Pro-B cells,ENSG00000281649,0.19372877,0.38782442
Promyelocytes,ENSG00000271614,0.14655158,0.08819306
Promyelocytes,ENSG00000266402,0.08819306,0.08819306
Promyelocytes,ENSG00000203875,0.045909807,0.08819306
Regulatory T cells,ENSG00000245164,0.41773513,0.13085584
Regulatory T cells,ENSG00000231721,0.13085584,0.13085584
Regulatory T cells,ENSG00000203875,0.071383975,0.13085584
Small pre-B cells,ENSG00000187621,1.0,0.6039171
Small pre-B cells,ENSG00000229989,0.2078343,0.6039171
Tcm/Naive cytotoxic T cells,ENSG00000256039,1.0,0.20266692
Tcm/Naive cytotoxic T cells,ENSG00000237943,0.33179393,0.20266692
Tcm/Naive cytotoxic T cells,ENSG00000203875,0.07353991,0.20266692
Tcm/Naive cytotoxic T cells,ENSG00000234741,0.06856307,0.20266692
Tcm/Naive helper T cells,ENSG00000237943,0.3650942,0.09505863
Tcm/Naive helper T cells,ENSG00000247774,0.09505863,0.09505863
Tcm/Naive helper T cells,ENSG00000234741,0.06737955,0.09505863
Tem/Effector helper T cells,ENSG00000237943,0.23936234,0.11530545
Tem/Effector helper T cells,ENSG00000231721,0.11530545,0.11530545
Tem/Effector helper T cells,ENSG00000234741,0.059504602,0.11530545
Tem/Temra cytotoxic T cells,ENSG00000231721,0.1308652,0.108985335
Tem/Temra cytotoxic T cells,ENSG00000247774,0.08710546,0.108985335
Tem/Trm cytotoxic T cells,ENSG00000231721,0.12076018,0.09713222
