software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Curated_annotation,Age-associated B cells,135,0.052906596995427824,0.04308510638297872,0.6,64679,1799,54,81,1,['ENSG00000247982'],['ENSG00000247982'],0.28466132
4.1,Curated_annotation,CD16+ NK cells,8779,0.2895919042890244,0.25265068690952597,0.6975737555530243,39719,18115,2655,6124,1,['ENSG00000247774'],['ENSG00000247774'],0.08803485
4.1,Curated_annotation,CD16- NK cells,498,0.033524560774471135,0.027307242990654207,0.3755020080321285,59454,6661,311,187,2,"['ENSG00000229807', 'ENSG00000247774']","['ENSG00000229807', 'ENSG00000247774', 'ENSG00000203875']",0.1373593
4.1,Curated_annotation,CD24 neutrophils,2333,0.5858145727426773,0.5773359840954274,0.6223746249464209,63217,1063,881,1452,1,['ENSG00000274536'],"['ENSG00000274536', 'ENSG00000257764', 'ENSG00000272888', 'ENSG00000153113']",1.0
4.1,Curated_annotation,CMP,636,0.2305520702634881,0.2304075235109718,0.23113207547169812,65486,491,489,147,4,"['ENSG00000270069', 'ENSG00000237819', 'ENSG00000232956', 'ENSG00000229989']","['ENSG00000270069', 'ENSG00000237819', 'ENSG00000260260', 'ENSG00000232956', 'ENSG00000229989', 'ENSG00000266311', 'ENSG00000225484', 'ENSG00000266402', 'ENSG00000224032', 'ENSG00000222041']",0.26267907
4.1,Curated_annotation,CRTAM+ gamma-delta T cells,1371,0.05177265811194743,0.04219710272168569,0.5609044493070752,47787,17455,602,769,1,['ENSG00000231721'],"['ENSG00000231721', 'ENSG00000247774']",0.12909006
4.1,Curated_annotation,Classical monocytes,7615,0.39976462800191237,0.4442174090723335,0.285489166119501,56278,2720,5441,2174,1,['ENSG00000271614'],"['ENSG00000271614', 'ENSG00000153113', 'ENSG00000203875']",0.24496655
4.1,Curated_annotation,Cycling T&NK,816,0.22457067371202113,0.24593128390596744,0.16666666666666666,65380,417,680,136,4,"['ENSG00000232931', 'ENSG00000197536', 'ENSG00000229807', 'ENSG00000225470']","['ENSG00000232931', 'ENSG00000285410', 'ENSG00000197536', 'ENSG00000245164', 'ENSG00000229807', 'ENSG00000225470', 'ENSG00000247556', 'ENSG00000266311', 'ENSG00000222041', 'ENSG00000247774']",0.6513195
4.1,Curated_annotation,DC1,73,0.11811023622047244,0.11688311688311688,0.1232876712328767,66472,68,64,9,6,"['ENSG00000227039', 'ENSG00000163597', 'ENSG00000229807', 'ENSG00000271614', 'ENSG00000226950', 'ENSG00000247556']","['ENSG00000227039', 'ENSG00000163597', 'ENSG00000229807', 'ENSG00000271614', 'ENSG00000226950', 'ENSG00000247556', 'ENSG00000172965', 'ENSG00000229989', 'ENSG00000225484', 'ENSG00000232956']",0.10496935
4.1,Curated_annotation,DC2,201,0.21956087824351297,0.29333333333333333,0.10945273631840796,66359,53,179,22,6,"['ENSG00000227039', 'ENSG00000229807', 'ENSG00000271614', 'ENSG00000225470', 'ENSG00000229989', 'ENSG00000232956']","['ENSG00000227039', 'ENSG00000229807', 'ENSG00000271614', 'ENSG00000225470', 'ENSG00000229989', 'ENSG00000232956', 'ENSG00000225484', 'ENSG00000244879', 'ENSG00000222041', 'ENSG00000266402']",0.124022976
4.1,Curated_annotation,DC precursor,238,0.05203171456888008,0.04719101123595506,0.08823529411764706,65951,424,217,21,6,"['ENSG00000225733', 'ENSG00000271614', 'ENSG00000266311', 'ENSG00000229989', 'ENSG00000232956', 'ENSG00000225484']","['ENSG00000225733', 'ENSG00000271614', 'ENSG00000266311', 'ENSG00000229989', 'ENSG00000232956', 'ENSG00000225484', 'ENSG00000244879', 'ENSG00000222041', 'ENSG00000266402', 'ENSG00000224032']",0.07939862
4.1,Curated_annotation,ELP,154,0.07197696737044146,0.06756756756756757,0.09740259740259741,66252,207,139,15,5,"['ENSG00000281649', 'ENSG00000206573', 'ENSG00000229989', 'ENSG00000266311', 'ENSG00000225484']","['ENSG00000281649', 'ENSG00000206573', 'ENSG00000229989', 'ENSG00000266311', 'ENSG00000225484', 'ENSG00000244879', 'ENSG00000224032', 'ENSG00000266402', 'ENSG00000257621']",0.12820126
4.1,Curated_annotation,ETP,105,0.045871559633027525,1.0,0.009523809523809525,66508,0,104,1,3,"['ENSG00000224032', 'ENSG00000257621', 'ENSG00000266402']","['ENSG00000224032', 'ENSG00000257621', 'ENSG00000266402']",0.08240896
4.1,Curated_annotation,Early MK,216,0.3269230769230769,0.3617021276595745,0.2361111111111111,66307,90,165,51,6,"['ENSG00000244300', 'ENSG00000254635', 'ENSG00000197989', 'ENSG00000269293', 'ENSG00000269821', 'ENSG00000223482']","['ENSG00000244300', 'ENSG00000254635', 'ENSG00000197989', 'ENSG00000269293', 'ENSG00000269821', 'ENSG00000223482', 'ENSG00000253738', 'ENSG00000237943', 'ENSG00000225733', 'ENSG00000206573']",0.83657026
4.1,Curated_annotation,Early erythroid,1889,0.4066811909949165,0.44835868694955966,0.29645314981471677,64035,689,1329,560,4,"['ENSG00000234608', 'ENSG00000249859', 'ENSG00000253738', 'ENSG00000225733']","['ENSG00000234608', 'ENSG00000249859', 'ENSG00000223482', 'ENSG00000253738', 'ENSG00000206573', 'ENSG00000225733', 'ENSG00000172965', 'ENSG00000225470', 'ENSG00000222041', 'ENSG00000225484']",0.22025165
4.1,Curated_annotation,Erythrocytes,48,0.3253424657534247,0.3114754098360656,0.3958333333333333,66523,42,29,19,3,"['ENSG00000189316', 'ENSG00000253154', 'ENSG00000225439']","['ENSG00000189316', 'ENSG00000253154', 'ENSG00000269600', 'ENSG00000253982', 'ENSG00000228794', 'ENSG00000225439', 'ENSG00000247092', 'ENSG00000224259', 'ENSG00000249859', 'ENSG00000223482']",1.0
4.1,Curated_annotation,Follicular helper T cells,280,0.019043588658484975,0.01538680723749822,0.38571428571428573,59422,6911,172,108,3,"['ENSG00000231721', 'ENSG00000203875', 'ENSG00000234741']","['ENSG00000231721', 'ENSG00000203875', 'ENSG00000247774', 'ENSG00000234741']",0.07988445
4.1,Curated_annotation,GMP,467,0.09498598567424478,0.08892128279883382,0.13062098501070663,65521,625,406,61,5,"['ENSG00000260260', 'ENSG00000271614', 'ENSG00000266311', 'ENSG00000266402', 'ENSG00000232956']","['ENSG00000260260', 'ENSG00000271614', 'ENSG00000266311', 'ENSG00000266402', 'ENSG00000232956', 'ENSG00000244879', 'ENSG00000224032']",0.10813234
4.1,Curated_annotation,HSC/MPP,4448,0.305316091954023,0.31648936170212766,0.2675359712230216,59595,2570,3258,1190,3,"['ENSG00000224032', 'ENSG00000244879', 'ENSG00000266311']","['ENSG00000224032', 'ENSG00000244879', 'ENSG00000225484', 'ENSG00000266311', 'ENSG00000266402', 'ENSG00000257621']",0.08489707
4.1,Curated_annotation,Late erythroid,77,0.4534005037783375,0.45,0.4675324675324675,66492,44,41,36,1,['ENSG00000224177'],['ENSG00000224177'],1.0
