clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Age-associated B cells,ENSG00000247982,1.0,1.2116573,0.9545454545454546
CD16+ NK cells,ENSG00000247774,1.0,1.5437008,0.7665684656663374
CD16- NK cells,ENSG00000229807,0.2770955907425359,0.9593127,0.9305483536286787
CD16- NK cells,ENSG00000247774,0.3976546822994019,1.3983009,0.7511311037973925
CD16- NK cells,ENSG00000203875,0.32524972695806215,1.0298069,0.6929781829768961
CD24 neutrophils,ENSG00000274536,0.412738894119088,1.157353,1.0
CD24 neutrophils,ENSG00000257764,0.20186600411676403,0.8006526,1.0
CD24 neutrophils,ENSG00000272888,0.16572879608485436,0.95472443,0.9689747934991663
CD24 neutrophils,ENSG00000153113,0.21966630567929352,1.6816568,0.6922843510454352
CMP,ENSG00000270069,0.08625342641808352,0.33181047,1.0
CMP,ENSG00000237819,0.09535529019373186,0.42028672,0.9772727272727273
CMP,ENSG00000260260,0.08427790448690135,0.38328308,0.9763441614129327
CMP,ENSG00000232956,0.09960713164112471,0.6153109,0.8108735992149874
CMP,ENSG00000229989,0.09271666779120363,0.5405356,0.7983200062404979
CMP,ENSG00000266311,0.08299706114780812,0.5283308,0.7843991910869424
CMP,ENSG00000225484,0.07514492016419651,0.38032988,0.7547377185388044
CMP,ENSG00000266402,0.11431689067841425,0.7234883,0.7498181841590188
CMP,ENSG00000224032,0.10960492639603135,0.9422723,0.7390492192723535
CMP,ENSG00000222041,0.08447177400985033,0.27125198,0.7045454545454546
CRTAM+ gamma-delta T cells,ENSG00000231721,0.5300491947826724,1.2423261,0.8472931750796058
CRTAM+ gamma-delta T cells,ENSG00000247774,0.4699508052173275,1.1524401,0.7317410490729592
Classical monocytes,ENSG00000271614,0.33993090852732705,0.8917809,0.9299502264369618
Classical monocytes,ENSG00000153113,0.43665057613744596,1.5878717,0.6741096038709987
Classical monocytes,ENSG00000203875,0.22341851533522702,0.63762444,0.6309209018945694
Cycling T&NK,ENSG00000232931,0.11343712019560515,0.5162031,1.0
Cycling T&NK,ENSG00000285410,0.05796311819329831,0.36945662,1.0
Cycling T&NK,ENSG00000197536,0.08993246529141344,0.45641,1.0
Cycling T&NK,ENSG00000245164,0.09067847291805738,0.3084456,0.9545454545454546
Cycling T&NK,ENSG00000229807,0.1159594753546303,1.489034,0.9476303051818501
Cycling T&NK,ENSG00000225470,0.06654478978097633,0.5338119,0.8870577717369253
Cycling T&NK,ENSG00000247556,0.08170804931892622,0.63326234,0.8846353482116353
Cycling T&NK,ENSG00000266311,0.07793918377838573,0.4598148,0.7756446586413817
Cycling T&NK,ENSG00000222041,0.1095647547893156,0.8372541,0.759384339505976
Cycling T&NK,ENSG00000247774,0.11346867323287561,1.2498244,0.7384763779965314
DC1,ENSG00000227039,0.08810355311791569,0.3862658,0.9844837405464866
DC1,ENSG00000163597,0.06464556271859762,0.43371344,0.922812903469259
DC1,ENSG00000229807,0.07413759660010238,0.44048774,0.9090909090909091
DC1,ENSG00000271614,0.06599232401683573,0.438349,0.8667841093106703
DC1,ENSG00000226950,0.08044802772847877,0.48273557,0.8636363636363636
DC1,ENSG00000247556,0.050017754414534404,0.37183923,0.8476923297752034
DC1,ENSG00000172965,0.0824004181815421,0.42646313,0.8237142129377886
DC1,ENSG00000229989,0.1127278625025792,0.5619183,0.8016703304919329
