,0
Age-associated B cells,120
CD16+ NK cells,132
CD16- NK cells,156
CD24 neutrophils,509
CMP,1225
CRTAM+ gamma-delta T cells,105
Classical monocytes,274
Cycling T&NK,894
DC precursor,1496
DC1,936
DC2,944
ELP,377
ETP,120
Early MK,3464
Early erythroid,2285
Erythrocytes,2961
Follicular helper T cells,113
GMP,844
HSC/MPP,220
Late erythroid,242
MAIT cells,93
MEMP,1545
Mast cells,125
Megakaryocyte precursor,409
Megakaryocytes/platelets,263
Memory B cells,63
Mid erythroid,1989
NAMPT neutrophils,502
Naive B cells,34
Neutrophil-myeloid progenitor,328
Neutrophils,11
Non-classical monocytes,405
Plasma cells,272
Plasmablasts,1875
Pro-B cells,115
Promyelocytes,295
Regulatory T cells,121
Small pre-B cells,168
Tcm/Naive cytotoxic T cells,86
Tcm/Naive helper T cells,70
Tem/Effector helper T cells,102
Tem/Temra cytotoxic T cells,96
Tem/Trm cytotoxic T cells,80
pDC,568
pDC precursor,501
