clusterName,markerGene,score
Age-associated B cells,ENSG00000161929,0.39215686274509803
Age-associated B cells,ENSG00000132185,0.39215686274509803
Age-associated B cells,ENSG00000143297,0.39215686274509803
CD16+ NK cells,ENSG00000150045,0.8059803833884864
CD16+ NK cells,ENSG00000115523,0.8059803833884864
CD16- NK cells,ENSG00000117281,0.5114566284779051
CD16- NK cells,ENSG00000196781,0.5114566284779051
CD16- NK cells,ENSG00000113088,0.5114566284779051
CD24 neutrophils,ENSG00000118113,0.9347181008902077
CMP,ENSG00000136379,0.49242424242424243
CMP,ENSG00000163751,0.49242424242424243
CMP,ENSG00000100448,0.49242424242424243
CMP,ENSG00000005381,0.49242424242424243
CMP,ENSG00000245848,0.49242424242424243
CMP,ENSG00000128040,0.49242424242424243
CRTAM+ gamma-delta T cells,ENSG00000205810,0.43567159484114504
CRTAM+ gamma-delta T cells,ENSG00000113088,0.43567159484114504
CRTAM+ gamma-delta T cells,ENSG00000090104,0.43567159484114504
Classical monocytes,ENSG00000038427,0.9024635495223731
Cycling T&NK,ENSG00000137804,0.7581615120274914
Cycling T&NK,ENSG00000180644,0.7581615120274914
DC1,ENSG00000197992,0.7772020725388601
DC1,ENSG00000118292,0.7772020725388601
DC2,ENSG00000168913,0.6660412757973734
DC2,ENSG00000135549,0.6660412757973734
DC2,ENSG00000131724,0.6660412757973734
DC precursor,ENSG00000014914,0.4661016949152542
DC precursor,ENSG00000184640,0.4661016949152542
DC precursor,ENSG00000111275,0.4661016949152542
ELP,ENSG00000172260,0.3467153284671533
ELP,ENSG00000107447,0.3467153284671533
ELP,ENSG00000124813,0.3467153284671533
ETP,ENSG00000132744,0.432
Early MK,ENSG00000103175,0.7663316582914573
Early MK,ENSG00000049323,0.7663316582914573
Early erythroid,ENSG00000130208,0.7027085826172087
Early erythroid,ENSG00000168754,0.7027085826172087
Erythrocytes,ENSG00000196632,0.4268292682926829
Erythrocytes,ENSG00000124440,0.4268292682926829
Erythrocytes,ENSG00000171723,0.4268292682926829
Erythrocytes,ENSG00000157404,0.4268292682926829
Erythrocytes,ENSG00000135045,0.4268292682926829
Follicular helper T cells,ENSG00000102245,0.21396396396396397
Follicular helper T cells,ENSG00000134352,0.21396396396396397
Follicular helper T cells,ENSG00000122417,0.21396396396396397
GMP,ENSG00000176076,0.3182608695652174
GMP,ENSG00000182578,0.3182608695652174
GMP,ENSG00000005381,0.3182608695652174
HSC/MPP,ENSG00000101200,0.8585339596789978
Late erythroid,ENSG00000133069,0.8722741433021807
Late erythroid,ENSG00000004939,0.8722741433021807
MAIT cells,ENSG00000111796,0.562200956937799
MAIT cells,ENSG00000139187,0.562200956937799
MAIT cells,ENSG00000113088,0.562200956937799
MEMP,ENSG00000125538,0.4737848170398689
MEMP,ENSG00000005961,0.4737848170398689
MEMP,ENSG00000168734,0.4737848170398689
MEMP,ENSG00000179348,0.4737848170398689
Mast cells,ENSG00000140287,0.8626198083067093
Mast cells,ENSG00000105205,0.8626198083067093
Megakaryocyte precursor,ENSG00000184226,0.4121565362198168
Megakaryocyte precursor,ENSG00000163751,0.4121565362198168
Megakaryocyte precursor,ENSG00000186998,0.4121565362198168
Megakaryocytes/platelets,ENSG00000101162,0.9071729957805907
