clusterName,markerGene,onTarget_per_gene,onTarget
Age-associated B cells,ENSG00000161929,0.5440445,0.4645717
Age-associated B cells,ENSG00000132185,0.43819633,0.4645717
Age-associated B cells,ENSG00000143297,0.4645717,0.4645717
CD16+ NK cells,ENSG00000150045,0.37447786,0.35697538
CD16+ NK cells,ENSG00000115523,0.33947286,0.35697538
CD16- NK cells,ENSG00000117281,1.0,0.55239064
CD16- NK cells,ENSG00000196781,0.55239064,0.55239064
CD16- NK cells,ENSG00000113088,0.22534026,0.55239064
CD24 neutrophils,ENSG00000118113,1.0,1.0
CMP,ENSG00000136379,1.0,0.2312322
CMP,ENSG00000163751,0.2535798,0.2312322
CMP,ENSG00000100448,0.18922643,0.2312322
CMP,ENSG00000005381,0.22699581,0.2312322
CMP,ENSG00000245848,0.2354686,0.2312322
CMP,ENSG00000128040,0.14782722,0.2312322
CRTAM+ gamma-delta T cells,ENSG00000205810,1.0,0.2467548
CRTAM+ gamma-delta T cells,ENSG00000113088,0.2467548,0.2467548
CRTAM+ gamma-delta T cells,ENSG00000090104,0.22266625,0.2467548
Classical monocytes,ENSG00000038427,0.6608386,0.6608386
Cycling T&NK,ENSG00000137804,0.3395678,0.2767236
Cycling T&NK,ENSG00000180644,0.21387939,0.2767236
DC1,ENSG00000197992,1.0,1.0
DC1,ENSG00000118292,1.0,1.0
DC2,ENSG00000168913,1.0,1.0
DC2,ENSG00000135549,1.0,1.0
DC2,ENSG00000131724,0.7552242,1.0
DC precursor,ENSG00000014914,1.0,0.21680401
DC precursor,ENSG00000184640,0.20906112,0.21680401
DC precursor,ENSG00000111275,0.21680401,0.21680401
ELP,ENSG00000172260,1.0,0.37531123
ELP,ENSG00000107447,0.37531123,0.37531123
ELP,ENSG00000124813,0.18430237,0.37531123
ETP,ENSG00000132744,0.734885,0.734885
Early MK,ENSG00000103175,1.0,0.95238245
Early MK,ENSG00000049323,0.9047649,0.95238245
Early erythroid,ENSG00000130208,0.35018504,0.2979887
Early erythroid,ENSG00000168754,0.24579237,0.2979887
Erythrocytes,ENSG00000196632,1.0,1.0
Erythrocytes,ENSG00000124440,1.0,1.0
Erythrocytes,ENSG00000171723,1.0,1.0
Erythrocytes,ENSG00000157404,0.6984807,1.0
Erythrocytes,ENSG00000135045,0.5945381,1.0
Follicular helper T cells,ENSG00000102245,1.0,0.3894306
Follicular helper T cells,ENSG00000134352,0.3894306,0.3894306
Follicular helper T cells,ENSG00000122417,0.28902572,0.3894306
GMP,ENSG00000176076,0.57609653,0.24488446
GMP,ENSG00000182578,0.18895052,0.24488446
GMP,ENSG00000005381,0.24488446,0.24488446
HSC/MPP,ENSG00000101200,1.0,1.0
Late erythroid,ENSG00000133069,1.0,1.0
Late erythroid,ENSG00000004939,1.0,1.0
MAIT cells,ENSG00000111796,0.28216067,0.27571672
MAIT cells,ENSG00000139187,0.27571672,0.27571672
MAIT cells,ENSG00000113088,0.22484355,0.27571672
MEMP,ENSG00000125538,0.43553972,0.20774958
MEMP,ENSG00000005961,0.16174367,0.20774958
MEMP,ENSG00000168734,0.24497646,0.20774958
MEMP,ENSG00000179348,0.17052267,0.20774958
Mast cells,ENSG00000140287,1.0,1.0
Mast cells,ENSG00000105205,1.0,1.0
Megakaryocyte precursor,ENSG00000184226,0.21657807,0.21657807
Megakaryocyte precursor,ENSG00000163751,0.19027865,0.21657807
Megakaryocyte precursor,ENSG00000186998,0.23458503,0.21657807
Megakaryocytes/platelets,ENSG00000101162,1.0,1.0
Memory B cells,ENSG00000138639,0.5129142,0.3349274
Memory B cells,ENSG00000153064,0.3349274,0.3349274
Memory B cells,ENSG00000156738,0.31004053,0.3349274
Mid erythroid,ENSG00000128274,0.5886852,0.34777692
Mid erythroid,ENSG00000250361,0.10686863,0.34777692
NAMPT neutrophils,ENSG00000162551,1.0,1.0
NAMPT neutrophils,ENSG00000112303,1.0,1.0
Naive B cells,ENSG00000100721,0.414738,0.414738
Neutrophil-myeloid progenitor,ENSG00000100448,0.28101555,0.26286408
Neutrophil-myeloid progenitor,ENSG00000005381,0.24471264,0.26286408
Neutrophils,ENSG00000054654,0.11262554,0.11262554
Non-classical monocytes,ENSG00000166927,0.9217882,0.64793456
Non-classical monocytes,ENSG00000142089,0.37408096,0.64793456
Plasma cells,ENSG00000061656,1.0,0.9302687
Plasma cells,ENSG00000115884,0.8605374,0.9302687
Plasmablasts,ENSG00000239264,0.60249645,0.48322546
Plasmablasts,ENSG00000171848,0.36395448,0.48322546
Pro-B cells,ENSG00000107447,0.55121726,0.4994432
Pro-B cells,ENSG00000169575,0.44766915,0.4994432
Promyelocytes,ENSG00000070214,0.2558273,0.24872032
Promyelocytes,ENSG00000005381,0.24872032,0.24872032
Promyelocytes,ENSG00000110077,0.18299837,0.24872032
Regulatory T cells,ENSG00000163599,1.0,0.3936966
Regulatory T cells,ENSG00000154451,0.3936966,0.3936966
Regulatory T cells,ENSG00000139193,0.24616449,0.3936966
Small pre-B cells,ENSG00000135144,1.0,0.9803306
Small pre-B cells,ENSG00000107902,0.9606612,0.9803306
Tcm/Naive cytotoxic T cells,ENSG00000126353,0.5899486,0.409265
Tcm/Naive cytotoxic T cells,ENSG00000138795,0.409265,0.409265
Tcm/Naive cytotoxic T cells,ENSG00000172116,0.3662192,0.409265
Tcm/Naive helper T cells,ENSG00000126353,0.41005138,0.32167017
