software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Curated_annotation,Age-associated B cells,135,0.39215686274509803,0.4444444444444444,0.26666666666666666,66433,45,99,36,3,"['ENSG00000161929', 'ENSG00000132185', 'ENSG00000143297']","['ENSG00000160856', 'ENSG00000161929', 'ENSG00000240505', 'ENSG00000137101', 'ENSG00000132185', 'ENSG00000143297', 'ENSG00000156738', 'ENSG00000153064', 'ENSG00000070190', 'ENSG00000105369']",0.4645717
4.1,Curated_annotation,CD16+ NK cells,8779,0.8059803833884864,0.8733645614601842,0.6159015833238409,57050,784,3372,5407,2,"['ENSG00000150045', 'ENSG00000115523']","['ENSG00000159674', 'ENSG00000137441', 'ENSG00000150045', 'ENSG00000115523', 'ENSG00000074966', 'ENSG00000169583', 'ENSG00000100453', 'ENSG00000180644', 'ENSG00000134539', 'ENSG00000111796']",0.35697538
4.1,Curated_annotation,CD16- NK cells,498,0.5114566284779051,0.6906077348066298,0.25100401606425704,66059,56,373,125,3,"['ENSG00000117281', 'ENSG00000196781', 'ENSG00000113088']","['ENSG00000143184', 'ENSG00000134545', 'ENSG00000117281', 'ENSG00000196781', 'ENSG00000100385', 'ENSG00000113088', 'ENSG00000187118', 'ENSG00000006652', 'ENSG00000180644', 'ENSG00000173762']",0.55239064
4.1,Curated_annotation,CD24 neutrophils,2333,0.9347181008902077,0.946290395994538,0.8911273039005573,64162,118,254,2079,1,['ENSG00000118113'],"['ENSG00000096006', 'ENSG00000118113', 'ENSG00000012223', 'ENSG00000148346', 'ENSG00000102837', 'ENSG00000134827', 'ENSG00000008438', 'ENSG00000138772', 'ENSG00000186529', 'ENSG00000118520']",1.0
4.1,Curated_annotation,CMP,636,0.49242424242424243,0.5379310344827586,0.36792452830188677,65776,201,402,234,6,"['ENSG00000136379', 'ENSG00000163751', 'ENSG00000100448', 'ENSG00000005381', 'ENSG00000245848', 'ENSG00000128040']","['ENSG00000136379', 'ENSG00000163751', 'ENSG00000100448', 'ENSG00000005381', 'ENSG00000245848', 'ENSG00000128040', 'ENSG00000008394', 'ENSG00000128322', 'ENSG00000136997', 'ENSG00000124882']",0.2312322
4.1,Curated_annotation,CRTAM+ gamma-delta T cells,1371,0.43567159484114504,0.6128318584070797,0.20204230488694383,65067,175,1094,277,3,"['ENSG00000205810', 'ENSG00000113088', 'ENSG00000090104']","['ENSG00000205810', 'ENSG00000143185', 'ENSG00000113088', 'ENSG00000115523', 'ENSG00000130844', 'ENSG00000090104', 'ENSG00000187118', 'ENSG00000134539', 'ENSG00000008517', 'ENSG00000158050']",0.2467548
4.1,Curated_annotation,Classical monocytes,7615,0.9024635495223731,0.9041622481442205,0.8957321076822061,58275,723,794,6821,1,['ENSG00000038427'],"['ENSG00000125810', 'ENSG00000038427', 'ENSG00000170458', 'ENSG00000204103', 'ENSG00000137801', 'ENSG00000178695', 'ENSG00000085265', 'ENSG00000216490', 'ENSG00000110077', 'ENSG00000143546']",0.6608386
4.1,Curated_annotation,Cycling T&NK,816,0.7581615120274914,0.9338624338624338,0.4325980392156863,65772,25,463,353,2,"['ENSG00000137804', 'ENSG00000180644']","['ENSG00000171848', 'ENSG00000137804', 'ENSG00000115523', 'ENSG00000100453', 'ENSG00000148773', 'ENSG00000180644', 'ENSG00000134539', 'ENSG00000145649', 'ENSG00000113810', 'ENSG00000198821']",0.2767236
4.1,Curated_annotation,DC1,73,0.7772020725388601,1.0,0.410958904109589,66540,0,43,30,2,"['ENSG00000197992', 'ENSG00000118292']","['ENSG00000197992', 'ENSG00000118292', 'ENSG00000131203', 'ENSG00000123685', 'ENSG00000173578', 'ENSG00000131400', 'ENSG00000100079', 'ENSG00000110092', 'ENSG00000128815', 'ENSG00000106066']",1.0
4.1,Curated_annotation,DC2,201,0.6660412757973734,0.8554216867469879,0.35323383084577115,66400,12,130,71,3,"['ENSG00000168913', 'ENSG00000135549', 'ENSG00000131724']","['ENSG00000158481', 'ENSG00000168913', 'ENSG00000135549', 'ENSG00000100373', 'ENSG00000131724', 'ENSG00000151651', 'ENSG00000165795', 'ENSG00000179583', 'ENSG00000160593', 'ENSG00000166428']",1.0
