clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Age-associated B cells,ENSG00000160856,0.04510140974490181,1.3196149,1.0
Age-associated B cells,ENSG00000161929,0.017682586555589772,0.96536726,0.9809526137330316
Age-associated B cells,ENSG00000240505,0.01631081723631358,0.45308918,0.9772727272727273
Age-associated B cells,ENSG00000137101,0.015362918424930674,1.2168176,0.9772727272727273
Age-associated B cells,ENSG00000132185,0.01517621207611442,1.232083,0.9772727272727273
Age-associated B cells,ENSG00000143297,0.03941897293631186,1.7383995,0.9738063581965186
Age-associated B cells,ENSG00000156738,0.04517873966882694,3.1566653,0.9630564559589733
Age-associated B cells,ENSG00000153064,0.01624839249253037,2.0670288,0.9566049860282377
Age-associated B cells,ENSG00000070190,0.01747664211582225,1.0482092,0.9294141178781335
Age-associated B cells,ENSG00000105369,0.018410252854767876,2.8846376,0.9137507419694554
CD16+ NK cells,ENSG00000159674,0.05838995080661835,2.2448308,0.972675463015383
CD16+ NK cells,ENSG00000137441,0.02650380323179713,2.3099985,0.9655078405683691
CD16+ NK cells,ENSG00000150045,0.053762631557076175,1.796777,0.9620367031205784
CD16+ NK cells,ENSG00000115523,0.09961677942259921,4.596244,0.9557785567912188
CD16+ NK cells,ENSG00000074966,0.027017009928953922,1.2761012,0.9537956294688311
CD16+ NK cells,ENSG00000169583,0.03477727996687739,1.8674784,0.9488655829971487
CD16+ NK cells,ENSG00000100453,0.06864061912215229,3.1982622,0.9409030716527592
CD16+ NK cells,ENSG00000180644,0.04764319904438743,2.818704,0.9315945722840049
CD16+ NK cells,ENSG00000134539,0.024552279821914283,2.6016486,0.9220971844413064
CD16+ NK cells,ENSG00000111796,0.027115113068206288,2.070654,0.9190143631263212
CD16- NK cells,ENSG00000143184,0.043945875962519254,1.7382085,1.0
CD16- NK cells,ENSG00000134545,0.016922985782978885,1.39203,1.0
CD16- NK cells,ENSG00000117281,0.020724881167474438,1.3137181,1.0
CD16- NK cells,ENSG00000196781,0.021658307622015666,1.1404307,0.9815837930549275
CD16- NK cells,ENSG00000100385,0.034021785707617394,2.083293,0.9759824208237908
CD16- NK cells,ENSG00000113088,0.057622136880327184,2.0148115,0.9318682795221155
CD16- NK cells,ENSG00000187118,0.029127372835459204,2.4915972,0.9253619367426092
CD16- NK cells,ENSG00000006652,0.03410361750778683,1.8067077,0.9253212145783685
CD16- NK cells,ENSG00000180644,0.01587389058475088,1.7603784,0.8989519856192849
CD16- NK cells,ENSG00000173762,0.017042886003050147,3.0725317,0.8854783204468814
CD24 neutrophils,ENSG00000096006,0.055249974758777465,2.7212627,1.0
CD24 neutrophils,ENSG00000118113,0.054473719316914575,3.944448,1.0
CD24 neutrophils,ENSG00000012223,0.04711346281854768,4.3470283,1.0
CD24 neutrophils,ENSG00000148346,0.04281317547872681,3.3663309,1.0
CD24 neutrophils,ENSG00000102837,0.03014965758188877,3.7793877,1.0
CD24 neutrophils,ENSG00000134827,0.026074699742941933,1.2982173,1.0
CD24 neutrophils,ENSG00000008438,0.05888101560291783,3.1916575,0.9901725229891863
CD24 neutrophils,ENSG00000138772,0.034524226269118254,2.1509495,0.9838238168846477
CD24 neutrophils,ENSG00000186529,0.027419644984166106,2.1683831,0.9836744503541426
CD24 neutrophils,ENSG00000118520,0.03982046546557234,2.607997,0.9826563447713852
CMP,ENSG00000136379,0.007750852300581923,0.38042003,1.0
CMP,ENSG00000163751,0.020339719561233514,0.87582475,0.9538180448792197
CMP,ENSG00000100448,0.014170076685208217,1.2342594,0.9318181818181818
CMP,ENSG00000005381,0.02009211630884646,3.9136047,0.9283452792601152
CMP,ENSG00000245848,0.006614495901534606,0.7221375,0.9262079298496246
CMP,ENSG00000128040,0.010281412350070213,1.5016093,0.9076448340307582
CMP,ENSG00000008394,0.008033255929089036,1.3865769,0.9022775807163932
CMP,ENSG00000128322,0.021713840255077086,2.6568136,0.8963436701081016
CMP,ENSG00000136997,0.006672268011515633,0.79199773,0.8956339914690364
CMP,ENSG00000124882,0.006917858711702341,1.6136919,0.8861402828585018
CRTAM+ gamma-delta T cells,ENSG00000205810,0.06711935201471732,1.0506213,1.0
CRTAM+ gamma-delta T cells,ENSG00000143185,0.017408240569954825,1.325674,0.9616135927763853
CRTAM+ gamma-delta T cells,ENSG00000113088,0.03307534757337253,2.206283,0.935808689756827
CRTAM+ gamma-delta T cells,ENSG00000115523,0.023893830598835,1.1192989,0.9318181818181818
CRTAM+ gamma-delta T cells,ENSG00000130844,0.017912982864870777,1.2676016,0.9269769029183821
CRTAM+ gamma-delta T cells,ENSG00000090104,0.016120525195715902,1.5506874,0.9206584962931547
CRTAM+ gamma-delta T cells,ENSG00000187118,0.032385867747367764,2.1294396,0.9126681116494265
CRTAM+ gamma-delta T cells,ENSG00000134539,0.02171077626946636,2.2316105,0.9119755395434119
CRTAM+ gamma-delta T cells,ENSG00000008517,0.016891320333024026,2.9008002,0.8392016020688143
CRTAM+ gamma-delta T cells,ENSG00000158050,0.01989373968412393,3.1648457,0.8338543366302144
Classical monocytes,ENSG00000125810,0.026874449337157415,0.94644785,0.9884079586375843
Classical monocytes,ENSG00000038427,0.09594394943250223,3.3105283,0.9883357096802105
Classical monocytes,ENSG00000170458,0.04431682404679795,1.8028873,0.9853535443544388
Classical monocytes,ENSG00000204103,0.020262476236405532,1.179972,0.9772727272727273
Classical monocytes,ENSG00000137801,0.020848225181163717,1.4296634,0.9767528149214658
Classical monocytes,ENSG00000178695,0.021216315741460295,1.3447642,0.9567609402266416
Classical monocytes,ENSG00000085265,0.035148147563782074,2.6259558,0.942337687719952
Classical monocytes,ENSG00000216490,0.03215377745171013,2.238069,0.9270777824250135
Classical monocytes,ENSG00000110077,0.028705461448978627,1.7969868,0.9254327389326963
Classical monocytes,ENSG00000143546,0.04148876362729856,5.5940948,0.9221601770682768
Cycling T&NK,ENSG00000171848,0.012501279112952514,1.5143619,0.9635106907649473
Cycling T&NK,ENSG00000137804,0.016559763197434376,1.771883,0.9557972685857252
Cycling T&NK,ENSG00000115523,0.014662868193006976,4.2650213,0.952344307845289
Cycling T&NK,ENSG00000100453,0.016269470961327602,2.9572148,0.9379385222088207
Cycling T&NK,ENSG00000148773,0.012040325874129012,2.0885806,0.9373438398946415
Cycling T&NK,ENSG00000180644,0.013888664873684745,2.4173822,0.9202382469719107
Cycling T&NK,ENSG00000134539,0.013168266222758077,1.956367,0.9090909090909091
Cycling T&NK,ENSG00000145649,0.014392925943393047,2.8399096,0.8859396170486104
Cycling T&NK,ENSG00000113810,0.011364502372272463,1.9762213,0.8794585087082603
Cycling T&NK,ENSG00000198821,0.015208997705202154,2.1385791,0.8579961291768334
DC1,ENSG00000197992,0.04565461102668699,1.586126,1.0
