clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Age-associated B cells,ENSG00000160856,0.04601169072013347,1.3196149,1.0
Age-associated B cells,ENSG00000184293,0.018188708083383538,0.62936795,1.0
Age-associated B cells,ENSG00000161929,0.01696025958871989,0.96536726,0.9809526137330316
Age-associated B cells,ENSG00000137101,0.014985322642114256,1.2168176,0.9772727272727273
Age-associated B cells,ENSG00000132185,0.014833887383691013,1.232083,0.9772727272727273
Age-associated B cells,ENSG00000240505,0.01573848334089321,0.45308918,0.9772727272727273
Age-associated B cells,ENSG00000143297,0.040649609413265876,1.7383995,0.9738063581965186
Age-associated B cells,ENSG00000156738,0.04559471652947909,3.1566653,0.9630564559589733
Age-associated B cells,ENSG00000153064,0.015219137067401948,2.0670288,0.9566049860282377
Age-associated B cells,ENSG00000070190,0.016942328723166356,1.0482092,0.9294141178781335
CD16+ NK cells,ENSG00000159674,0.05867027397431404,2.2448308,0.972675463015383
CD16+ NK cells,ENSG00000137441,0.03111981244590668,2.3099985,0.9655078405683691
CD16+ NK cells,ENSG00000150045,0.053605710214717446,1.796777,0.9620367031205784
CD16+ NK cells,ENSG00000115523,0.09440784707395887,4.596244,0.9557785567912188
CD16+ NK cells,ENSG00000074966,0.029311900745549672,1.2761012,0.9537956294688311
CD16+ NK cells,ENSG00000169583,0.03579328052210594,1.8674784,0.9488655829971487
CD16+ NK cells,ENSG00000100453,0.07151200352258423,3.1982622,0.9409030716527592
CD16+ NK cells,ENSG00000180644,0.05266823155270907,2.818704,0.9315945722840049
CD16+ NK cells,ENSG00000134539,0.02459358948425337,2.6016486,0.9220971844413064
CD16+ NK cells,ENSG00000111796,0.026930281923194924,2.070654,0.9190143631263212
CD16- NK cells,ENSG00000143184,0.042351497382693816,1.7382085,1.0
CD16- NK cells,ENSG00000117281,0.02076179289258039,1.3137181,1.0
CD16- NK cells,ENSG00000134545,0.015421074050309264,1.39203,1.0
CD16- NK cells,ENSG00000196781,0.02001110861191943,1.1404307,0.9815837930549275
CD16- NK cells,ENSG00000100385,0.031126830375654467,2.083293,0.9759824208237908
CD16- NK cells,ENSG00000113088,0.06122316704145644,2.0148115,0.9318682795221155
CD16- NK cells,ENSG00000187118,0.029639732933183238,2.4915972,0.9253619367426092
CD16- NK cells,ENSG00000006652,0.03346651688222126,1.8067077,0.9253212145783685
CD16- NK cells,ENSG00000180644,0.01552096454668413,1.7603784,0.8989519856192849
CD16- NK cells,ENSG00000173762,0.01843127447582962,3.0725317,0.8854783204468814
CD24 neutrophils,ENSG00000118113,0.06413573144625204,3.944448,1.0
CD24 neutrophils,ENSG00000012223,0.055800679907825466,4.3470283,1.0
CD24 neutrophils,ENSG00000148346,0.04292028717810802,3.3663309,1.0
CD24 neutrophils,ENSG00000096006,0.04058904490253595,2.7212627,1.0
CD24 neutrophils,ENSG00000102837,0.04172968669236734,3.7793877,1.0
CD24 neutrophils,ENSG00000134827,0.018330762041600373,1.2982173,1.0
CD24 neutrophils,ENSG00000124469,0.019523776857904733,1.6554611,1.0
CD24 neutrophils,ENSG00000008438,0.058995368646815566,3.1916575,0.9901725229891863
CD24 neutrophils,ENSG00000138772,0.02006149755921647,2.1509495,0.9838238168846477
CD24 neutrophils,ENSG00000186529,0.025864342107193353,2.1683831,0.9836744503541426
CMP,ENSG00000136379,0.008024225282056617,0.38042003,1.0
CMP,ENSG00000115457,0.0069068050033718595,0.35319722,1.0
CMP,ENSG00000163751,0.02063719815507757,0.87582475,0.9538180448792197
CMP,ENSG00000100448,0.012938819176913492,1.2342594,0.9318181818181818
CMP,ENSG00000005381,0.0188397423138425,3.9136047,0.9283452792601152
CMP,ENSG00000245848,0.007452991034539685,0.7221375,0.9262079298496246
CMP,ENSG00000128040,0.009975398037026902,1.5016093,0.9076448340307582
CMP,ENSG00000008394,0.007092080515503479,1.3865769,0.9022775807163932
CMP,ENSG00000128322,0.02204868152369419,2.6568136,0.8963436701081016
CMP,ENSG00000124882,0.007049085796206152,1.6136919,0.8861402828585018
CRTAM+ gamma-delta T cells,ENSG00000205810,0.06349623592985042,1.0506213,1.0
CRTAM+ gamma-delta T cells,ENSG00000227191,0.026427754015686974,1.3440304,0.9772727272727273
CRTAM+ gamma-delta T cells,ENSG00000143185,0.01758296900993745,1.325674,0.9616135927763853
CRTAM+ gamma-delta T cells,ENSG00000113088,0.03133248401087232,2.206283,0.935808689756827
CRTAM+ gamma-delta T cells,ENSG00000115523,0.022275164278353406,1.1192989,0.9318181818181818
CRTAM+ gamma-delta T cells,ENSG00000130844,0.018530780212968643,1.2676016,0.9269769029183821
CRTAM+ gamma-delta T cells,ENSG00000090104,0.015370943957862348,1.5506874,0.9206584962931547
CRTAM+ gamma-delta T cells,ENSG00000187118,0.0322158423273753,2.1294396,0.9126681116494265
CRTAM+ gamma-delta T cells,ENSG00000134539,0.019542323912578447,2.2316105,0.9119755395434119
CRTAM+ gamma-delta T cells,ENSG00000008517,0.015435881981011248,2.9008002,0.8392016020688143
Classical monocytes,ENSG00000125810,0.024546008318690273,0.94644785,0.9884079586375843
Classical monocytes,ENSG00000038427,0.10067312729582767,3.3105283,0.9883357096802105
Classical monocytes,ENSG00000170458,0.0513133819994922,1.8028873,0.9853535443544388
Classical monocytes,ENSG00000204103,0.018699167518289168,1.179972,0.9772727272727273
Classical monocytes,ENSG00000137801,0.018626547947351375,1.4296634,0.9767528149214658
Classical monocytes,ENSG00000178695,0.01847746129596656,1.3447642,0.9567609402266416
Classical monocytes,ENSG00000085265,0.03395208622202731,2.6259558,0.942337687719952
Classical monocytes,ENSG00000216490,0.03767134393775845,2.238069,0.9270777824250135
Classical monocytes,ENSG00000110077,0.03436890828232303,1.7969868,0.9254327389326963
Classical monocytes,ENSG00000143546,0.035512071566041754,5.5940948,0.9221601770682768
Cycling T&NK,ENSG00000171848,0.014411425712873346,1.5143619,0.9635106907649473
Cycling T&NK,ENSG00000137804,0.017107505551030345,1.771883,0.9557972685857252
Cycling T&NK,ENSG00000115523,0.013270621696004644,4.2650213,0.952344307845289
Cycling T&NK,ENSG00000100453,0.01492135220305306,2.9572148,0.9379385222088207
Cycling T&NK,ENSG00000148773,0.011899422786586355,2.0885806,0.9373438398946415
Cycling T&NK,ENSG00000180644,0.015652622090617224,2.4173822,0.9202382469719107
Cycling T&NK,ENSG00000134539,0.012028376212553309,1.956367,0.9090909090909091
Cycling T&NK,ENSG00000145649,0.016231331110658023,2.8399096,0.8859396170486104
Cycling T&NK,ENSG00000113810,0.012430867735960117,1.9762213,0.8794585087082603
Cycling T&NK,ENSG00000198821,0.016214828154976532,2.1385791,0.8579961291768334
DC1,ENSG00000197992,0.04802378424978613,1.586126,1.0
DC1,ENSG00000118292,0.03772920670621801,1.8733363,1.0
DC1,ENSG00000123685,0.033890996594803026,1.246227,1.0
DC1,ENSG00000131203,0.02771875896026417,1.3562034,1.0
DC1,ENSG00000100079,0.0184650985586204,1.9800489,1.0
DC1,ENSG00000131400,0.018776720056356784,0.92297244,1.0
DC1,ENSG00000173578,0.022286019441583555,0.4739445,1.0
DC1,ENSG00000110092,0.014723815765476414,0.7393487,1.0
DC1,ENSG00000128815,0.017308791548182625,1.5992234,0.9909110502763228
DC1,ENSG00000106066,0.028715106148435858,2.6844978,0.9512336430224505
DC2,ENSG00000158481,0.040764595112948554,1.0484799,1.0
DC2,ENSG00000168913,0.033194053291419036,0.44882846,1.0
DC2,ENSG00000135549,0.028546952858220422,0.42938218,1.0
DC2,ENSG00000100373,0.008751089526070358,0.40700436,1.0
DC2,ENSG00000131724,0.008326053305871668,0.9553474,0.9926338642835617
DC2,ENSG00000165795,0.01238567265676719,0.40529853,0.9772727272727273
DC2,ENSG00000151651,0.007600015220581845,0.65243834,0.9772727272727273
DC2,ENSG00000179583,0.01372469251811157,1.0333433,0.9580544490705837
DC2,ENSG00000160593,0.008973827814096851,1.4612298,0.9443057910962538
DC2,ENSG00000139626,0.008458045180034736,0.69289726,0.9321764734658328
DC precursor,ENSG00000014914,0.005463646467283023,0.3673911,1.0
DC precursor,ENSG00000176076,0.006999520474440412,0.54520893,0.9772727272727273
DC precursor,ENSG00000196141,0.005420050797867245,0.5315009,0.9609183723276312
DC precursor,ENSG00000184640,0.005529640749412827,0.56281126,0.93575557930903
DC precursor,ENSG00000179583,0.006289382610590554,0.63192594,0.9345483888279308
DC precursor,ENSG00000126759,0.006554480221767552,0.76592547,0.9318181818181818
DC precursor,ENSG00000111275,0.009417105168725699,1.2518773,0.9178986237807707
DC precursor,ENSG00000166428,0.010476898053248281,1.3215089,0.9136157442222942
DC precursor,ENSG00000139626,0.005640975066519433,0.49426895,0.9101520397446372
DC precursor,ENSG00000182718,0.007179843252962856,2.1606088,0.8514706654982134
ELP,ENSG00000172260,0.01378003645853434,0.541066,1.0
ELP,ENSG00000069188,0.0070629209021847135,0.40589738,1.0
ELP,ENSG00000132744,0.022237777407121694,0.6037963,0.9772727272727273
ELP,ENSG00000107447,0.012918846102211277,2.3989072,0.972823599522764
ELP,ENSG00000169575,0.007453895861707894,1.0976231,0.9545454545454546
ELP,ENSG00000128040,0.022561780106859212,2.4871984,0.9303881255063143
ELP,ENSG00000124813,0.012367977301863127,0.7142489,0.9234039133245294
ELP,ENSG00000122025,0.008739036565049417,0.94183505,0.9199018275195902
ELP,ENSG00000182557,0.016285291875101963,1.2084694,0.896992568265308
ELP,ENSG00000095932,0.009821646932924272,1.5994753,0.8871299746361646
ETP,ENSG00000132744,0.12185028377354594,1.6736921,0.9918009747158397
ETP,ENSG00000134324,0.011756562796185678,0.6644371,0.9843591492284428
ETP,ENSG00000167799,0.01870954771124286,0.37225226,0.9772727272727273
ETP,ENSG00000100055,0.01156937145808497,0.6463243,0.9497741189869967
ETP,ENSG00000124813,0.012335553273643659,0.94093573,0.935731206427921
ETP,ENSG00000128040,0.04064201665955002,2.5397725,0.9318291152065451
ETP,ENSG00000132465,0.012380187226960899,1.7278533,0.8812630908055739
ETP,ENSG00000171476,0.01128566133684664,1.2365733,0.8523566451939669
ETP,ENSG00000102804,0.010974729314888765,1.1231337,0.8370134681463242
ETP,ENSG00000020633,0.012477368420231132,0.5772811,0.8181818181818182
Early MK,ENSG00000110799,0.020426649957500657,0.76518774,1.0
Early MK,ENSG00000103175,0.010572637987750223,0.5224216,1.0
Early MK,ENSG00000137825,0.010775835997327217,0.37100902,1.0
Early MK,ENSG00000184500,0.010514129509390967,0.38813215,1.0
Early MK,ENSG00000049323,0.018065430256837562,1.3009902,0.9976077391342684
