clusterName,avg_precision,avg_recall,avg_f_score,avg_onTarget
Age-associated B cells,0.07391478531592677,0.29506172839506173,0.07627443649616239,0.22035384
CD16+ NK cells,0.3777758524330418,0.5228178815147718,0.38593547189331184,0.13482174
CD16- NK cells,0.04840873690134991,0.34093516924842227,0.055005896553659804,0.2076073
CD24 neutrophils,0.767334007426831,0.481925989427061,0.6623959516502886,0.5469566
CMP,0.16037660406147064,0.20283018867924527,0.1569010843709853,0.15055606
CRTAM+ gamma-delta T cells,0.06248613289135444,0.3809871140286895,0.07389970748651033,0.12677133
Classical monocytes,0.5883963683445366,0.4955044867585905,0.539770232593901,0.16852842
Cycling T&NK,0.56765214114283,0.17941176470588235,0.39035745559187407,0.2528818
DC precursor,0.09733814604540557,0.13865546218487396,0.09866456831165153,0.13169864
DC1,0.4011704081129184,0.2237442922374429,0.3093630562788869,0.31450483
DC2,0.19533793000766353,0.15920398009950248,0.16511593992641543,0.13971238
ELP,0.04301091267883994,0.1696969696969697,0.04657140042899539,0.09108249
ETP,0.021880337890966804,0.35497835497835495,0.02349448801522561,0.12051154
Early MK,0.633579950549047,0.29629629629629634,0.5053294211324127,0.47303185
Early erythroid,0.546661608520822,0.3823539791776954,0.4995528510275638,0.23449498
Erythrocytes,0.13953300095076848,0.20555555555555557,0.14302069859642208,0.75782555
Follicular helper T cells,0.025392340618416998,0.3550595238095238,0.02852573516627902,0.16895096
GMP,0.11859485600348085,0.20813704496788007,0.12520705901090215,0.097726196
HSC/MPP,0.4155221473627056,0.3484539291643608,0.3780310604375755,0.13428442
Late erythroid,0.5330509126811634,0.31255411255411253,0.43219872678914795,0.5150618
MAIT cells,0.03539895178825475,0.4431818181818182,0.04304101328279879,0.16073422
MEMP,0.19757021965390228,0.3053089643167972,0.2032272998632306,0.16240351
Mast cells,0.30402861197853803,0.2852852852852853,0.17215012648503777,0.21260303
Megakaryocyte precursor,0.0879364253916956,0.24382871536523928,0.09681807299878144,0.113234684
Megakaryocytes/platelets,0.8006764602301837,0.3849056603773585,0.5858588013558974,0.44504493
Memory B cells,0.16317822943526095,0.39439636706366205,0.16373417065651152,0.26309565
Mid erythroid,0.5944367671147099,0.3296793437733035,0.5079525940023907,0.28743368
NAMPT neutrophils,0.439185305473735,0.254627539503386,0.33069972939896203,0.52826923
Naive B cells,0.3594260671525217,0.5677126341866227,0.37424790701811084,0.21537489
Neutrophil-myeloid progenitor,0.18295675053864818,0.28499835146719416,0.188682007164886,0.06368072
Non-classical monocytes,0.24321517479069624,0.26319805757891085,0.2378235313113491,0.20535602
Plasma cells,0.45878698722707073,0.2550500161342369,0.3434442991065495,0.21005544
Plasmablasts,0.5138165109205837,0.29825970548862113,0.43227684887922657,0.30444732
Pro-B cells,0.3009964754950313,0.4152951560147448,0.29064146769780036,0.16043423
Promyelocytes,0.059971520340005316,0.2838333333333333,0.06760710362967769,0.07180607
Regulatory T cells,0.03343273046738917,0.36588669950738917,0.03659555459217479,0.22871606
Small pre-B cells,0.3631121718433129,0.2040816326530612,0.24640440658190713,0.36863795
Tcm/Naive cytotoxic T cells,0.030721716756583334,0.48051575931232093,0.037492236471185415,0.1109709
Tcm/Naive helper T cells,0.28626667893801466,0.47317575656337874,0.3041456456806132,0.12546344
Tem/Effector helper T cells,0.08785110256684638,0.3469734754024031,0.09954567035416641,0.19932967
Tem/Temra cytotoxic T cells,0.2871194905134632,0.508801115388881,0.29588618346310586,0.111822285
Tem/Trm cytotoxic T cells,0.15361057553892582,0.47356424229721233,0.17631354685379422,0.1033538
pDC,0.5057824384658481,0.2232365145228216,0.38218662220713223,0.20881033
pDC precursor,0.20148462063347342,0.16259541984732823,0.15259133660641802,0.09082553
