software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,Curated_annotation,CD16- NK cells,498,0.12623633524206143,0.11602870813397129,0.19477911646586346,65376,739,401,97,2,"['ENSG00000134545', 'ENSG00000090238']","['ENSG00000134545', 'ENSG00000090238']",0.53189486,fold_1
4.1,Curated_annotation,CD24 neutrophils,2333,0.5537001230444718,0.7508939213349225,0.2700385769395628,64071,209,1703,630,2,"['ENSG00000105851', 'ENSG00000158825']","['ENSG00000105851', 'ENSG00000158825', 'ENSG00000105639', 'ENSG00000119900', 'ENSG00000133961', 'ENSG00000155629', 'ENSG00000166946']",0.7294994,fold_1
4.1,Curated_annotation,CMP,636,0.0607463118310674,0.050939963614311703,0.2641509433962264,62847,3130,468,168,3,"['ENSG00000109534', 'ENSG00000129255', 'ENSG00000114744']","['ENSG00000089048', 'ENSG00000109534', 'ENSG00000125351', 'ENSG00000129255', 'ENSG00000114744', 'ENSG00000072364', 'ENSG00000163444', 'ENSG00000108010', 'ENSG00000127838', 'ENSG00000119866']",0.10814395,fold_1
4.1,Curated_annotation,Classical monocytes,7615,0.3928235957167011,0.4402105263157895,0.2745896257386737,56339,2659,5524,2091,2,"['ENSG00000133961', 'ENSG00000155629']","['ENSG00000133961', 'ENSG00000155629']",0.09857578,fold_1
4.1,Curated_annotation,Cycling T&NK,816,0.2787769784172662,0.43661971830985913,0.11397058823529412,65677,120,723,93,3,"['ENSG00000164054', 'ENSG00000106399', 'ENSG00000072501']","['ENSG00000164054', 'ENSG00000117505', 'ENSG00000106399', 'ENSG00000072501', 'ENSG00000166946', 'ENSG00000127838', 'ENSG00000163565']",0.10856013,fold_1
4.1,Curated_annotation,DC1,73,0.3179190751445087,0.44,0.1506849315068493,66526,14,62,11,5,"['ENSG00000184305', 'ENSG00000089639', 'ENSG00000263465', 'ENSG00000119900', 'ENSG00000072364']","['ENSG00000184305', 'ENSG00000089639', 'ENSG00000115649', 'ENSG00000263465', 'ENSG00000119900', 'ENSG00000072364', 'ENSG00000117505', 'ENSG00000108010', 'ENSG00000166946', 'ENSG00000180817']",0.15282163,fold_1
4.1,Curated_annotation,DC2,201,0.17013232514177692,0.21951219512195122,0.08955223880597014,66348,64,183,18,6,"['ENSG00000159884', 'ENSG00000115649', 'ENSG00000105639', 'ENSG00000119900', 'ENSG00000133961', 'ENSG00000108010']","['ENSG00000159884', 'ENSG00000115649', 'ENSG00000105639', 'ENSG00000119900', 'ENSG00000133961', 'ENSG00000108010', 'ENSG00000117505', 'ENSG00000072364', 'ENSG00000163444', 'ENSG00000127838']",0.18600413,fold_1
4.1,Curated_annotation,DC precursor,238,0.04809843400447427,0.04064272211720227,0.18067226890756302,65360,1015,195,43,5,"['ENSG00000119900', 'ENSG00000129255', 'ENSG00000117505', 'ENSG00000163444', 'ENSG00000072364']","['ENSG00000119900', 'ENSG00000125351', 'ENSG00000129255', 'ENSG00000117505', 'ENSG00000163444', 'ENSG00000072364', 'ENSG00000108010', 'ENSG00000106399', 'ENSG00000072501', 'ENSG00000127838']",0.100708224,fold_1
4.1,Curated_annotation,ELP,154,0.08104738154613467,0.08024691358024691,0.08441558441558442,66310,149,141,13,6,"['ENSG00000124243', 'ENSG00000022267', 'ENSG00000129993', 'ENSG00000114744', 'ENSG00000117505', 'ENSG00000119866']","['ENSG00000124243', 'ENSG00000022267', 'ENSG00000129993', 'ENSG00000114744', 'ENSG00000117505', 'ENSG00000119866', 'ENSG00000127838', 'ENSG00000106399', 'ENSG00000198791']",0.12061893,fold_1
4.1,Curated_annotation,ETP,105,0.012776690007632827,0.010257093379512455,0.7333333333333333,59078,7430,28,77,1,['ENSG00000119866'],['ENSG00000119866'],0.08259306,fold_1
