clusterName,avg_precision,avg_recall,avg_f_score,avg_onTarget
BMYO1,0.33652670099555376,0.3539491476579992,0.29955219104807124,0.14701611
BMYO2,0.045426135971947695,0.27971077189296084,0.046274921514244255,0.33434474
B_mem_switched,0.06063614931751804,0.5489671264841123,0.06574527776970851,0.17463222
B_mem_unswitched,0.01824429938819026,0.3172268907563025,0.022281781643251397,0.10126971
B_naive,0.12739023457516882,0.40669745958429565,0.10213988295708828,0.1599762
CD4_Th,0.07002862716744929,0.49458934517203107,0.08185694224032787,0.15045917
CD4_naive,0.07901042768221404,0.5288102701895806,0.09066232056590617,0.1404736
CD8_Tc1,0.1789790074127737,0.5491191114515511,0.16482416308104014,0.12784524
CD8_Tem,0.03677178335565871,0.603875968992248,0.04509019869672396,0.21361794
CD8_Trm,0.30236201869991286,0.5598451092722257,0.314889624855452,0.1758306
DC,0.31426591734028453,0.23813443072702334,0.24434076535153088,0.4010458
DDC1,0.12197797785807682,0.14033096926713948,0.12094969900499625,0.1663256
DDC2,0.07387057326976591,0.11136653895274584,0.0725441816121301,0.30483475
FB1,0.2907533085207123,0.3973994684682447,0.27934757230290974,0.21692984
FB2,0.3004781170455172,0.28520503713270906,0.2715984163253159,0.19113712
FB3,0.24199240287577534,0.22622786894888536,0.2285218870862989,0.20897974
FB4,0.1158982860827688,0.17200177971928973,0.11701914167944422,0.15689711
ILC,0.08426839337194325,0.44739292364990685,0.049024817098654534,0.23993681
LASP1,0.486620132382361,0.3503089010870735,0.4457557593841714,0.3108059
LASP2,0.35756431343689055,0.3848606178021742,0.35409576364575135,0.26499698
LASP3,0.3175091866957615,0.3204864923043806,0.3172627960235823,0.23607472
LASP4,0.12025115426208106,0.2519140755600134,0.11740063889146604,0.14685492
LASP5,0.37218184959529726,0.22934609250398724,0.31842044795960617,0.9888292
LE1,0.19104369791088247,0.2738035763847587,0.16419553475275211,0.26418278
LE2,0.2930384141827626,0.2753066712685333,0.23897123932629663,0.4268219
LHS1,0.3856952671358592,0.258488860187278,0.34333143537483074,0.20819975
LHS2,0.25838898824842954,0.20948017296899438,0.2369636351638384,0.1574208
LHS3,0.2375411828585025,0.19166446847797414,0.21949955378397618,0.24469651
Macro,0.4308330677523493,0.3120652755484216,0.33940294406016486,0.30166876
Macro-lipo,0.3104558044199922,0.14404761904761904,0.16920156213379003,0.7651154
NK,0.03895390806848604,0.3323397913561848,0.030257519484460836,0.20470682
NKT,0.03367184065336347,0.527482269503546,0.03546050499663442,0.28260142
PV1,0.23691640738306108,0.29831265961327985,0.23204078343624024,0.13305229
PV2,0.1784454647040764,0.29584120133081554,0.16762393676644874,0.12011094
PV3,0.32166126599388745,0.3908813908679482,0.308570277719346,0.19113487
PV4,0.30058437471503113,0.3883420974303006,0.3008006026152264,0.1769772
PV5,0.055112319352229835,0.42118849708296763,0.06559708251187964,0.124370396
Plasma_cell,0.06777874898583389,0.24248261102193688,0.04235302691071826,0.1572805
VEA,0.2627291817115555,0.3241744802282919,0.25283801590439287,0.12807909
VEAT,0.3283559700291487,0.2477818308146604,0.30266776098299203,0.23127845
VEC,0.23661201051416678,0.274416476516448,0.21555340668502107,0.14083906
VEV,0.2909715337612097,0.35094177160693146,0.28260759401949936,0.27244923
