software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,level2,BMYO1,30074,0.16776354310607303,0.14438039184068371,0.47635831615348806,392045,84898,15748,14326,1,['ENSG00000101335'],['ENSG00000101335'],0.11810081,fold_1
4.1,level2,CD4_Th,1802,0.03985702084585455,0.03282104714769471,0.27968923418423974,490363,14852,1298,504,1,['ENSG00000089327'],['ENSG00000089327'],0.111564875,fold_1
4.1,level2,CD4_naive,1914,0.09640545379424321,0.08883248730964467,0.14629049111807732,502231,2872,1634,280,2,"['ENSG00000154217', 'ENSG00000089327']","['ENSG00000154217', 'ENSG00000089327']",0.15774848,fold_1
4.1,level2,CD8_Tem,1075,0.013667961612133623,0.010992258140771823,0.5190697674418605,455737,50205,517,558,1,['ENSG00000154217'],['ENSG00000154217'],0.21801905,fold_1
4.1,level2,CD8_Trm,9426,0.12409808979281324,0.10517037298209383,0.4430299172501591,462060,35531,5250,4176,1,['ENSG00000089327'],['ENSG00000089327'],0.105918035,fold_1
4.1,level2,DC,243,0.40669856459330145,0.53125,0.20987654320987653,506729,45,192,51,4,"['ENSG00000110324', 'ENSG00000130592', 'ENSG00000184182', 'ENSG00000084733']","['ENSG00000110324', 'ENSG00000130592', 'ENSG00000184182', 'ENSG00000150977', 'ENSG00000084733', 'ENSG00000136826', 'ENSG00000104856', 'ENSG00000173272']",0.7466986,fold_1
4.1,level2,DDC1,705,0.032069420863987924,0.02959094865100087,0.04822695035460993,505197,1115,671,34,5,"['ENSG00000101335', 'ENSG00000125656', 'ENSG00000198171', 'ENSG00000173272', 'ENSG00000089327']","['ENSG00000101335', 'ENSG00000125656', 'ENSG00000135930', 'ENSG00000198171', 'ENSG00000173272', 'ENSG00000089327', 'ENSG00000198856', 'ENSG00000104856', 'ENSG00000163479']",0.1358077,fold_1
4.1,level2,DDC2,261,0.03341997772001486,0.029605263157894735,0.06896551724137931,506166,590,243,18,6,"['ENSG00000114021', 'ENSG00000125656', 'ENSG00000135930', 'ENSG00000101335', 'ENSG00000198171', 'ENSG00000140545']","['ENSG00000114021', 'ENSG00000125656', 'ENSG00000135930', 'ENSG00000101335', 'ENSG00000198171', 'ENSG00000140545', 'ENSG00000173272', 'ENSG00000089327', 'ENSG00000198856']",0.19279587,fold_1
4.1,level2,FB1,30970,0.16658485568099907,0.14306466773639187,0.48653535679690024,385792,90255,15902,15068,1,['ENSG00000136826'],['ENSG00000136826'],0.12240912,fold_1
4.1,level2,FB2,30970,0.11105964326256866,0.09258926871719561,0.5496609622215047,309215,166832,13947,17023,1,['ENSG00000104856'],['ENSG00000104856'],0.08384361,fold_1
4.1,level2,FB3,11334,0.3233705437522506,0.4370893161353127,0.15846126698429505,493370,2313,9538,1796,4,"['ENSG00000187955', 'ENSG00000140545', 'ENSG00000198856', 'ENSG00000104856']","['ENSG00000187955', 'ENSG00000140545', 'ENSG00000105856', 'ENSG00000173272', 'ENSG00000198856', 'ENSG00000104856']",0.11377574,fold_1
4.1,level2,FB4,8241,0.20265340863033315,0.20856507230255839,0.18201674554058975,493084,5692,6741,1500,3,"['ENSG00000101938', 'ENSG00000139163', 'ENSG00000105856']","['ENSG00000101938', 'ENSG00000139163', 'ENSG00000105856', 'ENSG00000136826', 'ENSG00000104856']",0.36089134,fold_1
4.1,level2,ILC,179,0.026737967914438502,0.5,0.00558659217877095,506837,1,178,1,1,['ENSG00000089327'],['ENSG00000089327'],0.1301677,fold_1
4.1,level2,LASP1,30970,0.33031301482701814,0.3320086106971353,0.3237003551824346,455877,20170,20945,10025,2,"['ENSG00000166750', 'ENSG00000114021']","['ENSG00000166750', 'ENSG00000170248', 'ENSG00000114021', 'ENSG00000114062', 'ENSG00000111676', 'ENSG00000125656', 'ENSG00000135930', 'ENSG00000198171', 'ENSG00000084733', 'ENSG00000140545']",0.39578724,fold_1
4.1,level2,LASP2,30970,0.29126817510302466,0.3069233920524375,0.24191152728446885,459129,16918,23478,7492,3,"['ENSG00000108468', 'ENSG00000140545', 'ENSG00000089327']","['ENSG00000108468', 'ENSG00000084733', 'ENSG00000140545', 'ENSG00000198171', 'ENSG00000173272', 'ENSG00000089327', 'ENSG00000198856', 'ENSG00000104856']",0.084562,fold_1
4.1,level2,LASP3,30970,0.20702643764426004,0.2121377008742337,0.18882789796577332,454328,21719,25122,5848,3,"['ENSG00000114062', 'ENSG00000102401', 'ENSG00000108468']","['ENSG00000145495', 'ENSG00000135316', 'ENSG00000144566', 'ENSG00000114062', 'ENSG00000102401', 'ENSG00000108468', 'ENSG00000111676', 'ENSG00000135930', 'ENSG00000140545', 'ENSG00000084733']",0.20146687,fold_1
4.1,level2,LASP4,7976,0.07705907341696237,0.06488007574163686,0.30930290872617855,463484,35557,5509,2467,4,"['ENSG00000140545', 'ENSG00000105856', 'ENSG00000173272', 'ENSG00000198856']","['ENSG00000140545', 'ENSG00000105856', 'ENSG00000173272', 'ENSG00000198856']",0.081365734,fold_1
4.1,level2,LASP5,209,0.3796095444685466,0.5555555555555556,0.1674641148325359,506780,28,174,35,6,"['ENSG00000138182', 'ENSG00000029993', 'ENSG00000166508', 'ENSG00000135912', 'ENSG00000106399', 'ENSG00000152284']","['ENSG00000138182', 'ENSG00000029993', 'ENSG00000166508', 'ENSG00000135912', 'ENSG00000106399', 'ENSG00000152284', 'ENSG00000174720', 'ENSG00000130159', 'ENSG00000102225', 'ENSG00000166750']",1.0,fold_1
4.1,level2,LE1,8407,0.07625558769392585,0.06388670338316287,0.33805162364696084,456967,41643,5565,2842,2,"['ENSG00000136826', 'ENSG00000143878']","['ENSG00000136826', 'ENSG00000143878']",0.10537601,fold_1
4.1,level2,LE2,5349,0.34571990477176273,0.6196660482374768,0.124883155730043,501258,410,4681,668,3,"['ENSG00000178573', 'ENSG00000130755', 'ENSG00000136826']","['ENSG00000178573', 'ENSG00000130755', 'ENSG00000136826', 'ENSG00000143878']",0.68021566,fold_1
4.1,level2,LHS1,30970,0.1674211641077386,0.1558790546116248,0.23787536325476266,436153,39894,23603,7367,3,"['ENSG00000084733', 'ENSG00000198171', 'ENSG00000173272']","['ENSG00000111676', 'ENSG00000084733', 'ENSG00000198171', 'ENSG00000173272', 'ENSG00000198856', 'ENSG00000104856']",0.07564279,fold_1
4.1,level2,LHS2,18115,0.08306172427559332,0.07448968686544832,0.15390560309136075,454262,34640,15327,2788,3,"['ENSG00000105856', 'ENSG00000173272', 'ENSG00000198856']","['ENSG00000105856', 'ENSG00000173272', 'ENSG00000198856']",0.05391405,fold_1
