clusterName,markerGene,score
BMYO1,ENSG00000230937,0.5408471147582202
BMYO2,ENSG00000230937,0.023074985995693353
B_mem_switched,ENSG00000197989,0.009788015119265078
B_mem_unswitched,ENSG00000234883,0.19607843137254902
B_mem_unswitched,ENSG00000255717,0.19607843137254902
B_mem_unswitched,ENSG00000204387,0.19607843137254902
B_naive,ENSG00000247982,0.3618181818181818
B_naive,ENSG00000197989,0.3618181818181818
CD4_Th,ENSG00000231721,0.08430134205480996
CD4_Th,ENSG00000197989,0.08430134205480996
CD4_naive,ENSG00000231721,0.15398735468080768
CD4_naive,ENSG00000197989,0.15398735468080768
CD8_Tc1,ENSG00000231721,0.09335596508244423
CD8_Tc1,ENSG00000197989,0.09335596508244423
CD8_Tem,ENSG00000231721,0.024979518401310824
CD8_Tem,ENSG00000197989,0.024979518401310824
CD8_Trm,ENSG00000235576,0.6503856041131105
DC,ENSG00000267121,0.12151215121512152
DC,ENSG00000234883,0.12151215121512152
DC,ENSG00000231721,0.12151215121512152
DDC1,ENSG00000273338,0.09278834860230209
DDC1,ENSG00000230937,0.09278834860230209
DDC1,ENSG00000204387,0.09278834860230209
DDC1,ENSG00000170919,0.09278834860230209
DDC1,ENSG00000226950,0.09278834860230209
DDC1,ENSG00000245694,0.09278834860230209
DDC2,ENSG00000233429,0.007250852646561216
DDC2,ENSG00000170919,0.007250852646561216
DDC2,ENSG00000226950,0.007250852646561216
DDC2,ENSG00000230937,0.007250852646561216
DDC2,ENSG00000222041,0.007250852646561216
FB1,ENSG00000214548,0.29222770297293693
FB2,ENSG00000214548,0.3528899264651466
FB3,ENSG00000255248,0.2516355396367092
FB3,ENSG00000214548,0.2516355396367092
FB3,ENSG00000204387,0.2516355396367092
FB3,ENSG00000153113,0.2516355396367092
FB4,ENSG00000214548,0.11463185076139681
FB4,ENSG00000255717,0.11463185076139681
FB4,ENSG00000232956,0.11463185076139681
FB4,ENSG00000153113,0.11463185076139681
ILC,ENSG00000236790,0.536779324055666
ILC,ENSG00000282885,0.536779324055666
LASP1,ENSG00000284634,0.48168756399281604
LASP1,ENSG00000170919,0.48168756399281604
LASP1,ENSG00000230937,0.48168756399281604
LASP2,ENSG00000170919,0.42782650650105775
LASP2,ENSG00000230937,0.42782650650105775
LASP2,ENSG00000153113,0.42782650650105775
LASP3,ENSG00000223482,0.38061674008810575
LASP3,ENSG00000170919,0.38061674008810575
LASP3,ENSG00000226950,0.38061674008810575
LASP4,ENSG00000231367,0.3719021882414975
LASP4,ENSG00000226950,0.3719021882414975
LASP5,ENSG00000231817,0.031813361611876985
LASP5,ENSG00000225470,0.031813361611876985
LASP5,ENSG00000234608,0.031813361611876985
LASP5,ENSG00000251136,0.031813361611876985
LASP5,ENSG00000261183,0.031813361611876985
LASP5,ENSG00000206573,0.031813361611876985
LE1,ENSG00000267107,0.17321534163896987
LE1,ENSG00000231721,0.17321534163896987
LE2,ENSG00000267107,0.08153563987074075
LE2,ENSG00000222041,0.08153563987074075
LHS1,ENSG00000245694,0.19529043841828864
LHS1,ENSG00000222041,0.19529043841828864
LHS1,ENSG00000153113,0.19529043841828864
LHS2,ENSG00000245694,0.29768014781359065
LHS2,ENSG00000255198,0.29768014781359065
LHS2,ENSG00000226950,0.29768014781359065
LHS3,ENSG00000233237,0.16568150910878024
LHS3,ENSG00000245694,0.16568150910878024
LHS3,ENSG00000231721,0.16568150910878024
Macro,ENSG00000274213,0.3270941438102298
Macro,ENSG00000234883,0.3270941438102298
Macro-lipo,ENSG00000224397,0.2604166666666667
Macro-lipo,ENSG00000253982,0.2604166666666667
Macro-lipo,ENSG00000278970,0.2604166666666667
Macro-lipo,ENSG00000247556,0.2604166666666667
NK,ENSG00000272256,0.037783375314861464
NK,ENSG00000255198,0.037783375314861464
NK,ENSG00000267519,0.037783375314861464
NK,ENSG00000197989,0.037783375314861464
NKT,ENSG00000197989,0.002362850431567682
NKT,ENSG00000224032,0.002362850431567682
PV1,ENSG00000232956,0.20554844681604095
PV1,ENSG00000222041,0.20554844681604095
PV2,ENSG00000232956,0.16351399430740038
PV2,ENSG00000224032,0.16351399430740038
PV3,ENSG00000232956,0.09547007047468448
PV4,ENSG00000222041,0.0874469489767047
Plasma_cell,ENSG00000234883,0.14225941422594143
Plasma_cell,ENSG00000226950,0.14225941422594143
Plasma_cell,ENSG00000255717,0.14225941422594143
Plasma_cell,ENSG00000222041,0.14225941422594143
VEA,ENSG00000267107,0.2370749156733528
VEAT,ENSG00000267107,0.31908330552100084
VEAT,ENSG00000260032,0.31908330552100084
VEC,ENSG00000267107,0.13469396093813843
VEV,ENSG00000267107,0.33324803548390536
VEV,ENSG00000153113,0.33324803548390536
