clusterName,onTarget
BMYO1,0.23320253
BMYO2,0.1960616
B_mem_switched,0.05479567
B_mem_unswitched,0.2162247
B_naive,0.5262835
CD4_Th,0.093388125
CD4_naive,0.10338054
CD8_Tc1,0.08349482
CD8_Tem,0.08273013
CD8_Trm,1.0
DC,0.22434017
DDC1,0.13706462
DDC2,0.1282219
FB1,0.29627904
FB2,0.33342746
FB3,0.16213268
FB4,0.086073026
ILC,0.84867096
LASP1,0.12071008
LASP2,0.09846895
LASP3,0.1840607
LASP4,0.5703382
LASP5,1.0
LE1,0.12052339
LE2,0.09835996
LHS1,0.070509054
LHS2,0.16751122
LHS3,0.13827832
Macro,0.45248955
Macro-lipo,1.0
NK,0.23927984
NKT,0.058039702
PV1,0.08462615
PV2,0.07600658
PV3,0.057665966
PV4,0.08471607
Plasma_cell,0.12630707
VEA,0.12928988
VEAT,0.1525547
VEC,0.15651178
VEV,0.13758318
