clusterName,markerGene,onTarget_per_gene,onTarget
BMYO1,ENSG00000230937,0.23320253,0.23320253
BMYO2,ENSG00000230937,0.1960616,0.1960616
B_mem_switched,ENSG00000197989,0.05479567,0.05479567
B_mem_unswitched,ENSG00000234883,0.24877743,0.2162247
B_mem_unswitched,ENSG00000255717,0.2162247,0.2162247
B_mem_unswitched,ENSG00000204387,0.19579488,0.2162247
B_naive,ENSG00000247982,1.0,0.5262835
B_naive,ENSG00000197989,0.05256705,0.5262835
CD4_Th,ENSG00000231721,0.119605795,0.093388125
CD4_Th,ENSG00000197989,0.06717045,0.093388125
CD4_naive,ENSG00000231721,0.12304291,0.10338054
CD4_naive,ENSG00000197989,0.083718166,0.10338054
CD8_Tc1,ENSG00000231721,0.10531205,0.08349482
CD8_Tc1,ENSG00000197989,0.06167759,0.08349482
CD8_Tem,ENSG00000231721,0.10342074,0.08273013
CD8_Tem,ENSG00000197989,0.062039524,0.08273013
CD8_Trm,ENSG00000235576,1.0,1.0
DC,ENSG00000267121,1.0,0.22434017
DC,ENSG00000234883,0.22434017,0.22434017
DC,ENSG00000231721,0.07511384,0.22434017
DDC1,ENSG00000273338,1.0,0.13706462
DDC1,ENSG00000230937,0.16034214,0.13706462
DDC1,ENSG00000204387,0.15011078,0.13706462
DDC1,ENSG00000170919,0.09476795,0.13706462
DDC1,ENSG00000226950,0.12401847,0.13706462
DDC1,ENSG00000245694,0.09703363,0.13706462
DDC2,ENSG00000233429,0.18733826,0.1282219
DDC2,ENSG00000170919,0.14315027,0.1282219
DDC2,ENSG00000226950,0.1282219,0.1282219
DDC2,ENSG00000230937,0.09241984,0.1282219
DDC2,ENSG00000222041,0.069106385,0.1282219
FB1,ENSG00000214548,0.29627904,0.29627904
FB2,ENSG00000214548,0.33342746,0.33342746
FB3,ENSG00000255248,1.0,0.16213268
FB3,ENSG00000214548,0.20069912,0.16213268
FB3,ENSG00000204387,0.123566255,0.16213268
FB3,ENSG00000153113,0.06592788,0.16213268
FB4,ENSG00000214548,0.1695943,0.086073026
FB4,ENSG00000255717,0.10030832,0.086073026
FB4,ENSG00000232956,0.07043421,0.086073026
FB4,ENSG00000153113,0.07183772,0.086073026
ILC,ENSG00000236790,1.0,0.84867096
ILC,ENSG00000282885,0.697342,0.84867096
LASP1,ENSG00000284634,0.66945815,0.12071008
LASP1,ENSG00000170919,0.12071008,0.12071008
LASP1,ENSG00000230937,0.07020195,0.12071008
LASP2,ENSG00000170919,0.193314,0.09846895
LASP2,ENSG00000230937,0.09846895,0.09846895
LASP2,ENSG00000153113,0.094998546,0.09846895
LASP3,ENSG00000223482,0.43741873,0.1840607
LASP3,ENSG00000170919,0.1840607,0.1840607
LASP3,ENSG00000226950,0.10988388,0.1840607
LASP4,ENSG00000231367,1.0,0.5703382
LASP4,ENSG00000226950,0.14067636,0.5703382
LASP5,ENSG00000231817,1.0,1.0
LASP5,ENSG00000225470,1.0,1.0
LASP5,ENSG00000234608,1.0,1.0
LASP5,ENSG00000251136,1.0,1.0
LASP5,ENSG00000261183,1.0,1.0
LASP5,ENSG00000206573,1.0,1.0
LE1,ENSG00000267107,0.17221043,0.12052339
LE1,ENSG00000231721,0.06883636,0.12052339
LE2,ENSG00000267107,0.12099833,0.09835996
LE2,ENSG00000222041,0.07572159,0.09835996
LHS1,ENSG00000245694,0.13061401,0.070509054
LHS1,ENSG00000222041,0.057913322,0.070509054
LHS1,ENSG00000153113,0.070509054,0.070509054
LHS2,ENSG00000245694,0.2164442,0.16751122
LHS2,ENSG00000255198,0.16751122,0.16751122
LHS2,ENSG00000226950,0.10173863,0.16751122
LHS3,ENSG00000233237,1.0,0.13827832
LHS3,ENSG00000245694,0.13827832,0.13827832
LHS3,ENSG00000231721,0.053204656,0.13827832
Macro,ENSG00000274213,0.71035355,0.45248955
Macro,ENSG00000234883,0.19462559,0.45248955
Macro-lipo,ENSG00000224397,1.0,1.0
Macro-lipo,ENSG00000253982,1.0,1.0
Macro-lipo,ENSG00000278970,1.0,1.0
Macro-lipo,ENSG00000247556,0.3931223,1.0
NK,ENSG00000272256,0.5177397,0.23927984
NK,ENSG00000255198,0.24812655,0.23927984
NK,ENSG00000267519,0.2304331,0.23927984
NK,ENSG00000197989,0.058145568,0.23927984
NKT,ENSG00000197989,0.057566497,0.058039702
NKT,ENSG00000224032,0.05851291,0.058039702
PV1,ENSG00000232956,0.08876087,0.08462615
PV1,ENSG00000222041,0.08049143,0.08462615
PV2,ENSG00000232956,0.09271922,0.07600658
PV2,ENSG00000224032,0.059293933,0.07600658
PV3,ENSG00000232956,0.057665966,0.057665966
PV4,ENSG00000222041,0.08471607,0.08471607
Plasma_cell,ENSG00000234883,0.04602789,0.12630707
Plasma_cell,ENSG00000226950,0.1755973,0.12630707
Plasma_cell,ENSG00000255717,0.1200808,0.12630707
Plasma_cell,ENSG00000222041,0.13253336,0.12630707
VEA,ENSG00000267107,0.12928988,0.12928988
VEAT,ENSG00000267107,0.19059315,0.1525547
VEAT,ENSG00000260032,0.114516266,0.1525547
VEC,ENSG00000267107,0.15651178,0.15651178
VEV,ENSG00000267107,0.23039638,0.13758318
VEV,ENSG00000153113,0.044769976,0.13758318
