software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,level2,BMYO1,30074,0.5408471147582202,0.5224675683135523,0.6294141118574184,459642,17301,11145,18929,1,['ENSG00000230937'],"['ENSG00000230937', 'ENSG00000260032', 'ENSG00000153113']",0.23320253
4.1,level2,BMYO2,1471,0.023074985995693353,0.01860060483035751,0.610469068660775,458166,47380,573,898,1,['ENSG00000230937'],['ENSG00000230937'],0.1960616
4.1,level2,B_mem_switched,1619,0.009788015119265078,0.00785865119884526,0.544780728844966,394047,111351,737,882,1,['ENSG00000197989'],['ENSG00000197989'],0.05479567
4.1,level2,B_mem_unswitched,476,0.19607843137254902,0.25668449197860965,0.10084033613445378,506402,139,428,48,3,"['ENSG00000234883', 'ENSG00000255717', 'ENSG00000204387']","['ENSG00000234883', 'ENSG00000255198', 'ENSG00000255717', 'ENSG00000204387', 'ENSG00000266402', 'ENSG00000231721', 'ENSG00000232956']",0.2162247
4.1,level2,B_naive,866,0.3618181818181818,0.42250530785562634,0.22979214780600463,505879,272,667,199,2,"['ENSG00000247982', 'ENSG00000197989']","['ENSG00000247982', 'ENSG00000197989']",0.5262835
4.1,level2,CD4_Th,1802,0.08430134205480996,0.07506904343459704,0.16592674805771365,501531,3684,1503,299,2,"['ENSG00000231721', 'ENSG00000197989']","['ENSG00000231721', 'ENSG00000197989']",0.093388125
4.1,level2,CD4_naive,1914,0.15398735468080768,0.15306639635073493,0.15778474399164055,503432,1671,1612,302,2,"['ENSG00000231721', 'ENSG00000197989']","['ENSG00000231721', 'ENSG00000197989']",0.10338054
4.1,level2,CD8_Tc1,2984,0.09335596508244423,0.09842351938645079,0.07741286863270777,501917,2116,2753,231,2,"['ENSG00000231721', 'ENSG00000197989']","['ENSG00000231721', 'ENSG00000197989']",0.08349482
4.1,level2,CD8_Tem,1075,0.024979518401310824,0.020334771805936968,0.28930232558139535,490959,14983,764,311,2,"['ENSG00000231721', 'ENSG00000197989']","['ENSG00000231721', 'ENSG00000197989']",0.08273013
4.1,level2,CD8_Trm,9426,0.6503856041131105,0.6673060784078647,0.5904943772544027,494816,2775,3860,5566,1,['ENSG00000235576'],"['ENSG00000235576', 'ENSG00000274020', 'ENSG00000231721', 'ENSG00000197989']",1.0
