clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
BMYO1,ENSG00000230937,0.670355150488449,2.3553119,0.9198019940678667
BMYO1,ENSG00000260032,0.15965653587019732,0.7338718,0.750085893200665
BMYO1,ENSG00000153113,0.16998831364135372,0.7194737,0.6106867179638003
BMYO2,ENSG00000230937,1.0,1.9801937,0.9046096772682376
B_mem_switched,ENSG00000197989,1.0,1.4404719,0.6135960657422136
B_mem_unswitched,ENSG00000234883,0.21356947330480341,1.5261687,0.9282800511616033
B_mem_unswitched,ENSG00000255198,0.12759297327020566,0.9910756,0.9195903917638267
B_mem_unswitched,ENSG00000255717,0.13101410724008178,1.1883188,0.9115897969501775
B_mem_unswitched,ENSG00000204387,0.12745144824380775,1.0357533,0.8998198640055772
B_mem_unswitched,ENSG00000266402,0.1241959068738898,0.9317087,0.8859176126922049
B_mem_unswitched,ENSG00000231721,0.12687804202688419,0.88245946,0.7515885088501907
B_mem_unswitched,ENSG00000232956,0.14929804904032756,1.3919085,0.7388306638089622
B_naive,ENSG00000247982,0.7628676821817554,1.6246499,1.0
B_naive,ENSG00000197989,0.23713231781824462,1.3818858,0.6044524748150896
CD4_Th,ENSG00000231721,0.4921112578774969,1.6067237,0.8211692237272495
CD4_Th,ENSG00000197989,0.5078887421225031,1.7657808,0.6684445666103829
CD4_naive,ENSG00000231721,0.4312489741435291,1.6528962,0.8261647355265733
CD4_naive,ENSG00000197989,0.5687510258564709,2.200788,0.7330527029386381
CD8_Tc1,ENSG00000231721,0.5094185359771831,1.4147087,0.8002073910178208
CD8_Tc1,ENSG00000197989,0.4905814640228168,1.6213841,0.6434044241905212
CD8_Tem,ENSG00000231721,0.45875163657980844,1.3893019,0.7978606907332816
CD8_Tem,ENSG00000197989,0.5412483634201916,1.6308987,0.6450579064648326
CD8_Trm,ENSG00000235576,0.4472734558370603,1.5751399,1.0
CD8_Trm,ENSG00000274020,0.24931969483653788,1.2814324,1.0
CD8_Trm,ENSG00000231721,0.13163408649689126,1.412937,0.8000180328764567
CD8_Trm,ENSG00000197989,0.17177276282951048,1.8494285,0.6823373277012895
DC,ENSG00000267121,0.17052316829470154,0.64309746,1.0
DC,ENSG00000234883,0.23800278110240913,1.3762541,0.9231244500090436
DC,ENSG00000267519,0.1608832513936851,0.68251926,0.8856889620059873
DC,ENSG00000231721,0.19837293951179902,1.0090413,0.7633716173288299
DC,ENSG00000232956,0.23221785969740513,1.3718452,0.735724472418064
DDC1,ENSG00000273338,0.1275280507468297,1.0078337,1.0
DDC1,ENSG00000230937,0.18485703725692706,1.6194324,0.8887929756466936
DDC1,ENSG00000204387,0.10150869800377453,0.7940847,0.8693314470895906
DDC1,ENSG00000170919,0.11317570409154752,0.8052776,0.8536585365853658
DDC1,ENSG00000226950,0.09128112781587797,0.69434935,0.841970533859439
DDC1,ENSG00000245694,0.0838363025289743,0.4837833,0.8391175938815605
DDC1,ENSG00000266402,0.08227036266875994,0.5127799,0.8027363971966069
DDC1,ENSG00000222041,0.10986335943464236,0.9397465,0.7172815334506151
DDC1,ENSG00000232956,0.10567935745266648,0.842903,0.6394846512050163
DDC2,ENSG00000233429,0.0975563222480718,0.42484453,0.9322716070384514
DDC2,ENSG00000170919,0.16356772297366984,1.2163997,0.8695255372582412
DDC2,ENSG00000226950,0.11823062309109462,0.71788335,0.8455519850661115
DDC2,ENSG00000230937,0.1501802286652819,0.93342704,0.8445101191357869
DDC2,ENSG00000266402,0.09322207053731613,0.4552505,0.7901922711511937
DDC2,ENSG00000222041,0.12869856067259158,0.9342706,0.7166251656485767
DDC2,ENSG00000232956,0.13723917688026516,0.93342704,0.6557762041324522
DDC2,ENSG00000153113,0.11130529493170892,0.5780359,0.5899511401246234
FB1,ENSG00000214548,1.0,1.7508419,0.9451265102479516
FB2,ENSG00000214548,0.6204446342266478,1.970368,0.9512401732002816
FB2,ENSG00000260032,0.1900352257370662,0.6831493,0.7364992455738347
FB2,ENSG00000153113,0.18952014003628617,0.7056786,0.6078441157573606
FB3,ENSG00000255248,0.2487586174467755,0.88487333,1.0
FB3,ENSG00000214548,0.2513486969300949,1.1860185,0.9306093250832906
FB3,ENSG00000204387,0.1548673890310943,0.6536644,0.8465007194658605
FB3,ENSG00000260032,0.15426668969696364,0.6113329,0.7193891406059265
FB3,ENSG00000153113,0.19075860689507185,1.0139587,0.6743917494285397
FB4,ENSG00000214548,0.21149319125182475,1.0022066,0.926829268292683
FB4,ENSG00000255717,0.15937507864470937,0.55127037,0.8293033271301083
FB4,ENSG00000260032,0.1691203824741205,0.4986494,0.7073170731707317
FB4,ENSG00000232956,0.23881549677138056,1.162766,0.7013615369796753
FB4,ENSG00000153113,0.2211958508579648,1.104851,0.6933616239850114
ILC,ENSG00000236790,0.3643263747859389,1.644584,1.0
ILC,ENSG00000285410,0.06242058178764258,1.0720047,0.9957999746973921
ILC,ENSG00000282885,0.05159451400634021,0.99030197,0.989414228171837
ILC,ENSG00000272256,0.07483750234867256,1.2679685,0.975609756097561
ILC,ENSG00000233429,0.08337623853635193,1.0880581,0.9735546868021895
ILC,ENSG00000267519,0.08166175528146948,1.5967594,0.9397512601643074
ILC,ENSG00000234883,0.11737812605487874,1.6469485,0.9335396667806114
ILC,ENSG00000255198,0.05419319394807897,1.0330517,0.9218666349969259
ILC,ENSG00000232956,0.04667995582299685,1.0610101,0.6820772610059599
ILC,ENSG00000197989,0.06353175742762991,1.3110392,0.5947472191438442
LASP1,ENSG00000284634,0.17526880488296634,0.5019333,0.9879574310488817
LASP1,ENSG00000223482,0.048869315901359664,0.33020377,0.9527511465840224
LASP1,ENSG00000170919,0.15876667714275405,1.0257173,0.8589003100627806
LASP1,ENSG00000245694,0.07106729961386234,0.48894593,0.8397861835433216
LASP1,ENSG00000226950,0.06234660407917916,0.54497135,0.8292682926829268
LASP1,ENSG00000230937,0.08703783218802863,0.70902956,0.826176470372735
LASP1,ENSG00000255717,0.05452752276847827,0.3450293,0.8109857861588641
LASP1,ENSG00000204387,0.05815735395148164,0.23813356,0.8048780487804879
LASP1,ENSG00000266402,0.056368100216840314,0.30661786,0.7804878048780488
LASP1,ENSG00000260032,0.06357121430078318,0.6310303,0.7235803197069866
LASP2,ENSG00000249859,0.057625953501593136,0.3045428,0.9512195121951219
LASP2,ENSG00000170919,0.2562537097515456,1.6426591,0.8982211860214792
LASP2,ENSG00000230937,0.12290633873800005,0.9945222,0.849567125483257
LASP2,ENSG00000204387,0.07159491789196064,0.64434123,0.8449855083372535
