clusterName,markerGene,onTarget_per_gene,onTarget
BMYO1,ENSG00000065618,1.0,1.0
BMYO2,ENSG00000163681,0.6028064,0.18778664
BMYO2,ENSG00000122644,0.15850702,0.18778664
BMYO2,ENSG00000128422,0.18778664,0.18778664
B_mem_switched,ENSG00000176533,1.0,0.66516316
B_mem_switched,ENSG00000156738,0.33032635,0.66516316
B_mem_unswitched,ENSG00000156738,0.28078914,0.24412358
B_mem_unswitched,ENSG00000196735,0.20745803,0.24412358
B_naive,ENSG00000042980,1.0,0.6944422
B_naive,ENSG00000156738,0.38888443,0.6944422
CD4_Th,ENSG00000111796,0.23820317,0.23820317
CD4_Th,ENSG00000069667,0.24490137,0.23820317
CD4_Th,ENSG00000168685,0.22312136,0.23820317
CD4_naive,ENSG00000168685,0.22187223,0.1811538
CD4_naive,ENSG00000265972,0.14043537,0.1811538
CD8_Tc1,ENSG00000173110,0.13403034,0.14195894
CD8_Tc1,ENSG00000115165,0.14988753,0.14195894
CD8_Tem,ENSG00000167286,0.3440138,0.3060976
CD8_Tem,ENSG00000187118,0.26818138,0.3060976
CD8_Trm,ENSG00000153563,0.520409,0.520409
DC,ENSG00000182853,1.0,1.0
DC,ENSG00000131203,1.0,1.0
DDC1,ENSG00000181617,0.7457949,0.46726516
DDC1,ENSG00000159763,0.46726516,0.46726516
DDC1,ENSG00000205426,0.41369092,0.46726516
DDC2,ENSG00000125144,0.6318601,0.4538762
DDC2,ENSG00000205426,0.5863091,0.4538762
DDC2,ENSG00000110484,0.4538762,0.4538762
DDC2,ENSG00000186832,0.41752794,0.4538762
DDC2,ENSG00000143546,0.35807207,0.4538762
FB1,ENSG00000145423,1.0,0.79002166
FB1,ENSG00000107562,0.58004326,0.79002166
FB2,ENSG00000166250,1.0,0.77882075
FB2,ENSG00000148344,0.55764157,0.77882075
FB3,ENSG00000106483,0.66937494,0.6650394
FB3,ENSG00000106809,0.6607039,0.6650394
FB4,ENSG00000197614,1.0,0.46023777
FB4,ENSG00000106483,0.33062503,0.46023777
FB4,ENSG00000187134,0.46023777,0.46023777
ILC,ENSG00000134460,0.6301548,0.5826885
ILC,ENSG00000143184,0.53522223,0.5826885
LASP1,ENSG00000157765,0.68452644,0.5902968
LASP1,ENSG00000118849,0.49606714,0.5902968
LASP2,ENSG00000105894,0.53695387,0.51276225
LASP2,ENSG00000163898,0.4885706,0.51276225
LASP3,ENSG00000114473,0.5475781,0.44808966
LASP3,ENSG00000106078,0.44808966,0.44808966
LASP3,ENSG00000139278,0.2722839,0.44808966
LASP4,ENSG00000178381,0.7858104,0.7218801
LASP4,ENSG00000166426,0.6579497,0.7218801
LASP5,ENSG00000178999,1.0,1.0
LASP5,ENSG00000126787,1.0,1.0
LASP5,ENSG00000148773,1.0,1.0
LASP5,ENSG00000157456,1.0,1.0
LE1,ENSG00000091972,1.0,0.70059896
LE1,ENSG00000138722,0.40119794,0.70059896
LE2,ENSG00000133800,1.0,1.0
LE2,ENSG00000131477,1.0,1.0
LHS1,ENSG00000137501,1.0,0.81345767
LHS1,ENSG00000108176,0.62691534,0.81345767
LHS2,ENSG00000173467,1.0,0.78630793
LHS2,ENSG00000148513,0.57261586,0.78630793
LHS3,ENSG00000197249,0.8519407,0.69233775
LHS3,ENSG00000159763,0.5327348,0.69233775
Macro,ENSG00000159189,0.7225765,0.7225765
Macro-lipo,ENSG00000145107,1.0,0.8835788
Macro-lipo,ENSG00000030582,0.76715755,0.8835788
NK,ENSG00000134545,1.0,0.8641271
NK,ENSG00000162496,0.8641271,0.8641271
NK,ENSG00000143185,0.4572739,0.8641271
NKT,ENSG00000115523,1.0,1.0
NKT,ENSG00000100453,1.0,1.0
NKT,ENSG00000180644,1.0,1.0
PV1,ENSG00000136160,0.6526792,0.48298362
PV1,ENSG00000163359,0.31328803,0.48298362
PV2,ENSG00000140836,1.0,0.66456735
PV2,ENSG00000095794,0.32913473,0.66456735
PV3,ENSG00000111404,1.0,1.0
PV3,ENSG00000272573,1.0,1.0
PV4,ENSG00000127954,0.48822707,0.4540919
PV4,ENSG00000107562,0.41995677,0.4540919
PV5,ENSG00000143248,0.59153634,0.5060271
PV5,ENSG00000135218,0.42051792,0.5060271
Plasma_cell,ENSG00000132465,1.0,1.0
VEA,ENSG00000146674,1.0,0.7867305
VEA,ENSG00000164736,0.57346106,0.7867305
VEAT,ENSG00000127533,1.0,1.0
VEAT,ENSG00000130300,1.0,1.0
VEC,ENSG00000162444,0.58265895,0.57948214
VEC,ENSG00000135218,0.57948214,0.57948214
VEC,ENSG00000276409,0.42686903,0.57948214
VEV,ENSG00000007908,1.0,1.0
VEV,ENSG00000213088,1.0,1.0
