software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,level2,BMYO1,30074,0.7171367748802554,0.7437706986279766,0.6272860277980981,470444,6499,11209,18865,1,['ENSG00000065618'],"['ENSG00000065618', 'ENSG00000053747', 'ENSG00000050165', 'ENSG00000163017', 'ENSG00000075223', 'ENSG00000116661', 'ENSG00000186847', 'ENSG00000186081', 'ENSG00000156804', 'ENSG00000151914']",1.0
4.1,level2,BMYO2,1471,0.2738445097515362,0.3609154929577465,0.13936097892590074,505183,363,1266,205,3,"['ENSG00000163681', 'ENSG00000122644', 'ENSG00000128422']","['ENSG00000065534', 'ENSG00000163681', 'ENSG00000186847', 'ENSG00000151914', 'ENSG00000122644', 'ENSG00000128422', 'ENSG00000173110', 'ENSG00000109846', 'ENSG00000162616', 'ENSG00000120694']",0.18778664
4.1,level2,B_mem_switched,1619,0.5695338404525063,0.6659064994298746,0.3607164916615195,505105,293,1035,584,2,"['ENSG00000176533', 'ENSG00000156738']","['ENSG00000176533', 'ENSG00000169442', 'ENSG00000140968', 'ENSG00000122224', 'ENSG00000159958', 'ENSG00000156738', 'ENSG00000104894', 'ENSG00000179344', 'ENSG00000162511', 'ENSG00000204287']",0.66516316
4.1,level2,B_mem_unswitched,476,0.27736686390532544,0.26929982046678635,0.31512605042016806,506134,407,326,150,2,"['ENSG00000156738', 'ENSG00000196735']","['ENSG00000108639', 'ENSG00000156738', 'ENSG00000159958', 'ENSG00000104894', 'ENSG00000115758', 'ENSG00000196735', 'ENSG00000126353', 'ENSG00000179344', 'ENSG00000158050', 'ENSG00000204287']",0.24412358
4.1,level2,B_naive,866,0.427797833935018,0.49789915966386555,0.27367205542725176,505912,239,629,237,2,"['ENSG00000042980', 'ENSG00000156738']","['ENSG00000042980', 'ENSG00000117906', 'ENSG00000122224', 'ENSG00000173193', 'ENSG00000156738', 'ENSG00000104894', 'ENSG00000159958', 'ENSG00000126353', 'ENSG00000112149', 'ENSG00000111666']",0.6944422
4.1,level2,CD4_Th,1802,0.27191471031660563,0.2699091394975949,0.2802441731409545,503849,1366,1297,505,3,"['ENSG00000111796', 'ENSG00000069667', 'ENSG00000168685']","['ENSG00000107742', 'ENSG00000116824', 'ENSG00000111796', 'ENSG00000069667', 'ENSG00000168685', 'ENSG00000153283', 'ENSG00000164674', 'ENSG00000173762', 'ENSG00000081237', 'ENSG00000101745']",0.23820317
4.1,level2,CD4_naive,1914,0.3245085886311316,0.31257995735607674,0.3829676071055381,503491,1612,1181,733,2,"['ENSG00000168685', 'ENSG00000265972']","['ENSG00000096060', 'ENSG00000185862', 'ENSG00000113580', 'ENSG00000168685', 'ENSG00000104660', 'ENSG00000265972', 'ENSG00000101596', 'ENSG00000081237', 'ENSG00000101745', 'ENSG00000173762']",0.1811538
4.1,level2,CD8_Tc1,2984,0.5543135192004208,0.7298701298701299,0.2825067024128686,503721,312,2141,843,2,"['ENSG00000173110', 'ENSG00000115165']","['ENSG00000116824', 'ENSG00000116161', 'ENSG00000271503', 'ENSG00000168685', 'ENSG00000173110', 'ENSG00000115165', 'ENSG00000081237', 'ENSG00000120694', 'ENSG00000110848', 'ENSG00000132002']",0.14195894
4.1,level2,CD8_Tem,1075,0.4917668001780151,0.7542662116040956,0.2055813953488372,505870,72,854,221,2,"['ENSG00000167286', 'ENSG00000187118']","['ENSG00000153563', 'ENSG00000135048', 'ENSG00000167286', 'ENSG00000275302', 'ENSG00000105374', 'ENSG00000187118', 'ENSG00000143669', 'ENSG00000158050', 'ENSG00000077984', 'ENSG00000078304']",0.3060976
4.1,level2,CD8_Trm,9426,0.7063820861083434,0.7506269155753692,0.5716104392106939,495801,1790,4038,5388,1,['ENSG00000153563'],"['ENSG00000213809', 'ENSG00000153563', 'ENSG00000116824', 'ENSG00000167286', 'ENSG00000134539', 'ENSG00000271503', 'ENSG00000153283', 'ENSG00000168685', 'ENSG00000077984', 'ENSG00000020633']",0.520409
4.1,level2,DC,243,0.4853273137697517,0.86,0.17695473251028807,506767,7,200,43,2,"['ENSG00000182853', 'ENSG00000131203']","['ENSG00000102962', 'ENSG00000182853', 'ENSG00000078081', 'ENSG00000131203', 'ENSG00000132329', 'ENSG00000180758', 'ENSG00000115738', 'ENSG00000070190', 'ENSG00000231389', 'ENSG00000223865']",1.0
4.1,level2,DDC1,705,0.9673326990168094,0.9967320261437909,0.8652482269503546,506310,2,95,610,3,"['ENSG00000181617', 'ENSG00000159763', 'ENSG00000205426']","['ENSG00000149968', 'ENSG00000160182', 'ENSG00000181617', 'ENSG00000196754', 'ENSG00000159763', 'ENSG00000205426', 'ENSG00000172551', 'ENSG00000143546', 'ENSG00000163220', 'ENSG00000124102']",0.46726516
4.1,level2,DDC2,261,0.8955987717502559,0.9776536312849162,0.6704980842911877,506752,4,86,175,5,"['ENSG00000125144', 'ENSG00000205426', 'ENSG00000110484', 'ENSG00000186832', 'ENSG00000143546']","['ENSG00000125144', 'ENSG00000205426', 'ENSG00000110484', 'ENSG00000186832', 'ENSG00000164825', 'ENSG00000143546', 'ENSG00000124107', 'ENSG00000173432', 'ENSG00000101443', 'ENSG00000169715']",0.4538762
4.1,level2,FB1,30970,0.7389557326350482,0.908863746789755,0.4227962544397804,474734,1313,17876,13094,2,"['ENSG00000145423', 'ENSG00000107562']","['ENSG00000145423', 'ENSG00000108821', 'ENSG00000164692', 'ENSG00000107562', 'ENSG00000106809', 'ENSG00000077942', 'ENSG00000197766', 'ENSG00000139329', 'ENSG00000189058', 'ENSG00000011465']",0.79002166
4.1,level2,FB2,30970,0.6265325103576562,0.889377875575115,0.2871165644171779,474941,1106,22078,8892,2,"['ENSG00000166250', 'ENSG00000148344']","['ENSG00000166250', 'ENSG00000233608', 'ENSG00000102802', 'ENSG00000145685', 'ENSG00000148344', 'ENSG00000070540', 'ENSG00000186340', 'ENSG00000087245', 'ENSG00000162493', 'ENSG00000123610']",0.77882075
4.1,level2,FB3,11334,0.7612873468969406,0.8582984255380616,0.5242632786306688,494702,981,5392,5942,2,"['ENSG00000106483', 'ENSG00000106809']","['ENSG00000100739', 'ENSG00000106819', 'ENSG00000049323', 'ENSG00000106483', 'ENSG00000154175', 'ENSG00000106809', 'ENSG00000132386', 'ENSG00000077942', 'ENSG00000167779', 'ENSG00000182492']",0.6650394
4.1,level2,FB4,8241,0.46671563063363825,0.830166270783848,0.16963960684382964,498490,286,6843,1398,3,"['ENSG00000197614', 'ENSG00000106483', 'ENSG00000187134']","['ENSG00000197614', 'ENSG00000151632', 'ENSG00000101938', 'ENSG00000170873', 'ENSG00000106483', 'ENSG00000187134', 'ENSG00000167779', 'ENSG00000138685', 'ENSG00000139329', 'ENSG00000109814']",0.46023777
4.1,level2,ILC,179,0.6032482598607889,0.8253968253968254,0.2905027932960894,506827,11,127,52,2,"['ENSG00000134460', 'ENSG00000143184']","['ENSG00000186827', 'ENSG00000134460', 'ENSG00000143185', 'ENSG00000143184', 'ENSG00000157404', 'ENSG00000186891', 'ENSG00000135541', 'ENSG00000111796', 'ENSG00000109321', 'ENSG00000115594']",0.5826885
4.1,level2,LASP1,30970,0.7640740098111898,0.8088161629654367,0.6256377139166935,471467,4580,11594,19376,2,"['ENSG00000157765', 'ENSG00000118849']","['ENSG00000166396', 'ENSG00000112299', 'ENSG00000130707', 'ENSG00000157765', 'ENSG00000007062', 'ENSG00000118849', 'ENSG00000163220', 'ENSG00000148346', 'ENSG00000143546', 'ENSG00000012223']",0.5902968
4.1,level2,LASP2,30970,0.6781627144354965,0.828846022766001,0.39263803680981596,473536,2511,18810,12160,2,"['ENSG00000105894', 'ENSG00000163898']","['ENSG00000198729', 'ENSG00000105894', 'ENSG00000163898', 'ENSG00000186832', 'ENSG00000110484', 'ENSG00000147454', 'ENSG00000185479', 'ENSG00000140379', 'ENSG00000184254', 'ENSG00000171346']",0.51276225
4.1,level2,LASP3,30970,0.5019557970595603,0.5723387894100845,0.3364546335163061,468261,7786,20550,10420,3,"['ENSG00000114473', 'ENSG00000106078', 'ENSG00000139278']","['ENSG00000114473', 'ENSG00000106078', 'ENSG00000163347', 'ENSG00000139278', 'ENSG00000134755', 'ENSG00000182600', 'ENSG00000160678', 'ENSG00000070190', 'ENSG00000162896', 'ENSG00000151882']",0.44808966
4.1,level2,LASP4,7976,0.46027275422472574,0.9006526468455403,0.1557171514543631,498904,137,6734,1242,2,"['ENSG00000178381', 'ENSG00000166426']","['ENSG00000065371', 'ENSG00000114547', 'ENSG00000178381', 'ENSG00000166426', 'ENSG00000135374', 'ENSG00000104332', 'ENSG00000173110', 'ENSG00000171346', 'ENSG00000123358', 'ENSG00000162616']",0.7218801
