clusterName,avg_precision,avg_recall,avg_f_score,avg_onTarget
Adaptive / Maladaptive / Repairing Fibroblast,0.34212151580521444,0.10603921568627452,0.2267976211142718,0.12877695
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,0.4517434805382676,0.24227974568574023,0.3755523119504378,0.14526743
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,0.31580076303732013,0.19590958019375673,0.2727993691306784,0.102377385
Afferent / Efferent Arteriole Endothelial Cell,0.5030911402519204,0.1634103019538188,0.31361202310683967,0.46991682
Ascending Thin Limb Cell,0.5046474596689662,0.2254202077431539,0.3929410164218885,0.26421663
Ascending Vasa Recta Endothelial Cell,0.5383065937094749,0.278733850129199,0.445942008635895,0.2969731
B Cell,0.17297716734704885,0.3240521327014218,0.16916669085474387,0.23445882
Classical Dendritic Cell,0.6664752731519631,0.196551724137931,0.4100608272587162,0.41945344
Connecting Tubule Cell,0.21799154494190548,0.1994567062818336,0.20123033461105255,0.05793031
Connecting Tubule Intercalated Cell Type A,0.07092531889497106,0.06484848484848485,0.039808870807486414,0.0808367
Connecting Tubule Principal Cell,0.40084564762248465,0.24335664335664337,0.34566930192063805,0.20468429
Cortical Collecting Duct Intercalated Cell Type A,0.5959031530856094,0.26901715477205956,0.46587638845879437,0.22105797
Cortical Collecting Duct Principal Cell,0.46230640204659834,0.21176311884527182,0.36750384398902847,0.15329035
Cortical Thick Ascending Limb Cell,0.4974491191167888,0.32408666485359444,0.43612220958877845,0.14414826
Cycling Connecting Tubule Cell,0.4613788783693599,0.1,0.17152701654428482,0.40151292
Cycling Distal Convoluted Tubule Cell,0.6505291005291005,0.17777777777777776,0.3656642558603343,0.9126266
Cycling Endothelial Cell,0.3678952393281695,0.06666666666666667,0.15629371618345772,0.1370434
Cycling Mononuclear Phagocyte,0.5322556390977443,0.024999999999999998,0.08803283842014742,0.1183078
Cycling Myofibroblast,0.6948148148148149,0.10370370370370369,0.27724360881899757,0.50750154
Cycling Natural Killer Cell / Natural Killer T Cell,0.8757142857142858,0.1875,0.4801857864357864,0.9398289
Cycling Proximal Tubule Epithelial Cell,0.14590453970716172,0.030344827586206897,0.03397433831664574,0.037816927
Degenerative Ascending Thin Limb Cell,0.46642944032277395,0.17036363636363638,0.33826849626710376,0.12395601
Degenerative Connecting Tubule Cell,0.1125136547242387,0.07771535580524344,0.08720959487356418,0.078152135
Degenerative Cortical Intercalated Cell Type A,0.6407898026295591,0.2453900709219858,0.48094602436056816,0.4108819
Degenerative Cortical Thick Ascending Limb Cell,0.2373860282843237,0.12485549132947976,0.17583148710323424,0.1008998
Degenerative Descending Thin Limb Cell Type 3,0.5862373380441838,0.23876357560568087,0.44717811779072764,0.66070485
Degenerative Distal Convoluted Tubule Cell,0.4258692215518798,0.34145494028230183,0.3976070935178538,0.4631056
Degenerative Endothelial Cell,0.14541516394947085,0.2532467532467532,0.04197251487422821,0.07529226
Degenerative Fibroblast,0.4519350379380774,0.12666666666666665,0.2018810109951842,0.18116014
Degenerative Inner Medullary Collecting Duct Cell,0.6295194881346753,0.236247414927618,0.4696345564620371,0.2254868
Degenerative Medullary Fibroblast,0.0899204467210639,0.5285823170731707,0.0960866431595912,0.0828126
Degenerative Medullary Thick Ascending Limb Cell,0.08462429765651885,0.13060569594865623,0.08335203569569555,0.05223521
