,0
Adaptive / Maladaptive / Repairing Fibroblast,197
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,577
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,887
Afferent / Efferent Arteriole Endothelial Cell,253
Ascending Thin Limb Cell,849
Ascending Vasa Recta Endothelial Cell,324
B Cell,36
Classical Dendritic Cell,354
Connecting Tubule Cell,352
Connecting Tubule Intercalated Cell Type A,629
Connecting Tubule Principal Cell,539
Cortical Collecting Duct Intercalated Cell Type A,425
Cortical Collecting Duct Principal Cell,820
Cortical Thick Ascending Limb Cell,269
Cycling Connecting Tubule Cell,1113
Cycling Distal Convoluted Tubule Cell,1766
Cycling Endothelial Cell,313
Cycling Mononuclear Phagocyte,183
Cycling Myofibroblast,763
Cycling Natural Killer Cell / Natural Killer T Cell,723
Cycling Proximal Tubule Epithelial Cell,220
Degenerative Ascending Thin Limb Cell,667
Degenerative Connecting Tubule Cell,582
Degenerative Cortical Intercalated Cell Type A,1089
Degenerative Cortical Thick Ascending Limb Cell,156
Degenerative Descending Thin Limb Cell Type 3,1679
Degenerative Distal Convoluted Tubule Cell,955
Degenerative Endothelial Cell,56
Degenerative Fibroblast,190
Degenerative Inner Medullary Collecting Duct Cell,945
Degenerative Medullary Fibroblast,14
Degenerative Medullary Thick Ascending Limb Cell,138
Degenerative Outer Medullary Collecting Duct Principal Cell,778
Degenerative Peritubular Capilary Endothelial Cell,118
Degenerative Podocyte,143
Degenerative Proximal Tubule Epithelial Cell,132
Degenerative Vascular Smooth Muscle Cell,496
Descending Thin Limb Cell Type 1,379
Descending Thin Limb Cell Type 2,582
Descending Thin Limb Cell Type 3,700
Descending Vasa Recta Endothelial Cell,351
Distal Convoluted Tubule Cell Type 1,727
Distal Convoluted Tubule Cell Type 2,440
Fibroblast,159
Glomerular Capillary Endothelial Cell,205
Inner Medullary Collecting Duct Cell,1300
Intercalated Cell Type B,235
Lymphatic Endothelial Cell,199
M2 Macrophage,88
Macula Densa Cell,550
Mast Cell,37
Medullary Fibroblast,359
Medullary Thick Ascending Limb Cell,990
Mesangial Cell,204
Monocyte-derived Cell,61
Myofibroblast,315
Natural Killer Cell / Natural Killer T Cell,147
Neutrophil,31
Non-classical Monocyte,135
Outer Medullary Collecting Duct Intercalated Cell Type A,1665
Outer Medullary Collecting Duct Principal Cell,1176
Papillary Tip Epithelial Cell,923
Parietal Epithelial Cell,129
Peritubular Capilary Endothelial Cell ,92
Plasma Cell,60
Plasmacytoid Dendritic Cell,198
Podocyte,744
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,97
Proximal Tubule Epithelial Cell Segment 3,239
Renin-positive Juxtaglomerular Granular Cell,158
Schwann Cell / Neural,92
T Cell,27
Transitional Principal-Intercalated Cell,1095
Vascular Smooth Muscle Cell,165
Vascular Smooth Muscle Cell / Pericyte,137
