clusterName,markerGene,score
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000077942,0.46473029045643155
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000185070,0.46473029045643155
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000284377,0.6226207906295754
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000170579,0.6226207906295754
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000115221,0.5136473569042957
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000036828,0.5136473569042957
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000090006,0.5090595340811044
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000184916,0.5090595340811044
Ascending Thin Limb Cell,ENSG00000064787,0.6218972225949282
Ascending Thin Limb Cell,ENSG00000140600,0.6218972225949282
Ascending Vasa Recta Endothelial Cell,ENSG00000148488,0.7492816091954023
Ascending Vasa Recta Endothelial Cell,ENSG00000150625,0.7492816091954023
B Cell,ENSG00000153064,0.7382039573820396
Classical Dendritic Cell,ENSG00000131203,0.6012658227848101
Connecting Tubule Cell,ENSG00000251504,0.49191606467148263
Connecting Tubule Cell,ENSG00000136531,0.49191606467148263
Connecting Tubule Intercalated Cell Type A,ENSG00000145147,0.025694708793300342
Connecting Tubule Intercalated Cell Type A,ENSG00000109684,0.025694708793300342
Connecting Tubule Principal Cell,ENSG00000159167,0.5519426379856595
Connecting Tubule Principal Cell,ENSG00000104327,0.5519426379856595
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000144227,0.6975044377153597
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000185274,0.6975044377153597
Cortical Collecting Duct Principal Cell,ENSG00000182752,0.570670205706702
Cortical Collecting Duct Principal Cell,ENSG00000259905,0.570670205706702
Cortical Thick Ascending Limb Cell,ENSG00000113946,0.727078321304464
Cortical Thick Ascending Limb Cell,ENSG00000169344,0.727078321304464
Cycling Connecting Tubule Cell,ENSG00000102870,0.3125
Cycling Connecting Tubule Cell,ENSG00000197372,0.3125
Cycling Connecting Tubule Cell,ENSG00000125107,0.3125
Cycling Distal Convoluted Tubule Cell,ENSG00000066279,0.7142857142857143
Cycling Distal Convoluted Tubule Cell,ENSG00000058404,0.7142857142857143
Cycling Endothelial Cell,ENSG00000165304,0.41044776119402987
Cycling Endothelial Cell,ENSG00000156802,0.41044776119402987
Cycling Mononuclear Phagocyte,ENSG00000170017,0.10869565217391304
Cycling Mononuclear Phagocyte,ENSG00000185811,0.10869565217391304
Cycling Myofibroblast,ENSG00000143476,0.22727272727272727
Cycling Myofibroblast,ENSG00000051341,0.22727272727272727
Cycling Natural Killer Cell / Natural Killer T Cell,ENSG00000164104,0.6818181818181818
Cycling Natural Killer Cell / Natural Killer T Cell,ENSG00000176890,0.6818181818181818
Cycling Proximal Tubule Epithelial Cell,ENSG00000100629,0.24017467248908297
Cycling Proximal Tubule Epithelial Cell,ENSG00000139734,0.24017467248908297
Cycling Proximal Tubule Epithelial Cell,ENSG00000109685,0.24017467248908297
Degenerative Ascending Thin Limb Cell,ENSG00000109610,0.5115273775216138
Degenerative Ascending Thin Limb Cell,ENSG00000140600,0.5115273775216138
Degenerative Ascending Thin Limb Cell,ENSG00000197249,0.5115273775216138
Degenerative Connecting Tubule Cell,ENSG00000162896,0.174512987012987
Degenerative Connecting Tubule Cell,ENSG00000136531,0.174512987012987
Degenerative Connecting Tubule Cell,ENSG00000101443,0.174512987012987
Degenerative Cortical Intercalated Cell Type A,ENSG00000151418,0.5730101735487731
Degenerative Cortical Intercalated Cell Type A,ENSG00000131981,0.5730101735487731
Degenerative Cortical Intercalated Cell Type A,ENSG00000173253,0.5730101735487731
Degenerative Cortical Thick Ascending Limb Cell,ENSG00000197249,0.44832826747720367
Degenerative Cortical Thick Ascending Limb Cell,ENSG00000124107,0.44832826747720367
Degenerative Descending Thin Limb Cell Type 3,ENSG00000172461,0.5329719963866305
Degenerative Descending Thin Limb Cell Type 3,ENSG00000115641,0.5329719963866305
Degenerative Distal Convoluted Tubule Cell,ENSG00000263146,0.7052396324807549
Degenerative Distal Convoluted Tubule Cell,ENSG00000104332,0.7052396324807549
Degenerative Distal Convoluted Tubule Cell,ENSG00000137731,0.7052396324807549
Degenerative Endothelial Cell,ENSG00000142089,0.21052631578947367
Degenerative Endothelial Cell,ENSG00000184831,0.21052631578947367
Degenerative Endothelial Cell,ENSG00000150991,0.21052631578947367
Degenerative Fibroblast,ENSG00000102265,0.4819277108433735
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000095303,0.5181873602926235
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000171303,0.5181873602926235
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000150201,0.5181873602926235
Degenerative Medullary Fibroblast,ENSG00000049323,0.34977064220183485
Degenerative Medullary Fibroblast,ENSG00000085662,0.34977064220183485
Degenerative Medullary Fibroblast,ENSG00000167580,0.34977064220183485
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000169344,0.2700587084148728
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000074803,0.2700587084148728
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000228716,0.2700587084148728
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000167658,0.2700587084148728
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000160951,0.45738942826321466
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000165272,0.45738942826321466
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000166828,0.45738942826321466
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000102755,0.16556291390728478
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000184005,0.16556291390728478
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000211445,0.16556291390728478
Degenerative Podocyte,ENSG00000166033,0.6415343915343915
Degenerative Proximal Tubule Epithelial Cell,ENSG00000197375,0.5051230303500738
Degenerative Proximal Tubule Epithelial Cell,ENSG00000158296,0.5051230303500738
Degenerative Vascular Smooth Muscle Cell,ENSG00000198467,0.8459696727853152
Degenerative Vascular Smooth Muscle Cell,ENSG00000198523,0.8459696727853152
Descending Thin Limb Cell Type 1,ENSG00000150471,0.5465692668927733
Descending Thin Limb Cell Type 1,ENSG00000007062,0.5465692668927733
Descending Thin Limb Cell Type 2,ENSG00000156687,0.5399850523168909
Descending Thin Limb Cell Type 2,ENSG00000229981,0.5399850523168909
Descending Thin Limb Cell Type 3,ENSG00000249776,0.5407488986784141
Descending Thin Limb Cell Type 3,ENSG00000111799,0.5407488986784141
Descending Vasa Recta Endothelial Cell,ENSG00000099260,0.6702898550724637
Descending Vasa Recta Endothelial Cell,ENSG00000049192,0.6702898550724637
Distal Convoluted Tubule Cell Type 1,ENSG00000242029,0.655597398151318
Distal Convoluted Tubule Cell Type 1,ENSG00000119121,0.655597398151318
Distal Convoluted Tubule Cell Type 2,ENSG00000082397,0.23352527191298783
Distal Convoluted Tubule Cell Type 2,ENSG00000070915,0.23352527191298783
Distal Convoluted Tubule Cell Type 2,ENSG00000179399,0.23352527191298783
Distal Convoluted Tubule Cell Type 2,ENSG00000182168,0.23352527191298783
Fibroblast,ENSG00000112936,0.6427133343658046
Fibroblast,ENSG00000172260,0.6427133343658046
Glomerular Capillary Endothelial Cell,ENSG00000167941,0.7463465553235908
Glomerular Capillary Endothelial Cell,ENSG00000013016,0.7463465553235908
Inner Medullary Collecting Duct Cell,ENSG00000249853,0.7539090557489364
Inner Medullary Collecting Duct Cell,ENSG00000267134,0.7539090557489364
Inner Medullary Collecting Duct Cell,ENSG00000132874,0.7539090557489364
Intercalated Cell Type B,ENSG00000113073,0.7165605095541401
Lymphatic Endothelial Cell,ENSG00000138722,0.7065217391304348
M2 Macrophage,ENSG00000260314,0.7445816825914705
M2 Macrophage,ENSG00000177575,0.7445816825914705
Macula Densa Cell,ENSG00000139220,0.4886282871357498
Macula Densa Cell,ENSG00000089250,0.4886282871357498
Mast Cell,ENSG00000185052,0.8012820512820513
Mast Cell,ENSG00000163751,0.8012820512820513
Medullary Fibroblast,ENSG00000067715,0.8088828236461758
Medullary Fibroblast,ENSG00000079931,0.8088828236461758
Medullary Thick Ascending Limb Cell,ENSG00000171724,0.6738144329896907
Medullary Thick Ascending Limb Cell,ENSG00000242029,0.6738144329896907
Mesangial Cell,ENSG00000154864,0.4330708661417323
Mesangial Cell,ENSG00000169855,0.4330708661417323
Monocyte-derived Cell,ENSG00000223865,0.5121359223300971
Myofibroblast,ENSG00000108821,0.4128738621586476
Myofibroblast,ENSG00000198947,0.4128738621586476
Natural Killer Cell / Natural Killer T Cell,ENSG00000105374,0.7903313416621401
Natural Killer Cell / Natural Killer T Cell,ENSG00000275302,0.7903313416621401
Neutrophil,ENSG00000143546,0.7883817427385892
Neutrophil,ENSG00000163220,0.7883817427385892
Non-classical Monocyte,ENSG00000204482,0.5690298507462687
Outer Medullary Collecting Duct Intercalated Cell Type A,ENSG00000106302,0.6896551724137931
Outer Medullary Collecting Duct Intercalated Cell Type A,ENSG00000035720,0.6896551724137931
Outer Medullary Collecting Duct Principal Cell,ENSG00000254789,0.512402088772846
Outer Medullary Collecting Duct Principal Cell,ENSG00000160111,0.512402088772846
Outer Medullary Collecting Duct Principal Cell,ENSG00000259905,0.512402088772846
Papillary Tip Epithelial Cell,ENSG00000176153,0.6867283950617284
Papillary Tip Epithelial Cell,ENSG00000073282,0.6867283950617284
Parietal Epithelial Cell,ENSG00000000971,0.5476529160739687
Parietal Epithelial Cell,ENSG00000229981,0.5476529160739687
Peritubular Capilary Endothelial Cell ,ENSG00000130300,0.646602658788774
Peritubular Capilary Endothelial Cell ,ENSG00000174640,0.646602658788774
Plasma Cell,ENSG00000170476,0.5819477434679335
Plasmacytoid Dendritic Cell,ENSG00000267337,0.7831325301204819
Podocyte,ENSG00000139304,0.9440634376339477
Podocyte,ENSG00000151490,0.9440634376339477
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,ENSG00000250799,0.6189632255206026
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,ENSG00000171759,0.6189632255206026
Proximal Tubule Epithelial Cell Segment 3,ENSG00000249252,0.4744194484760523
Proximal Tubule Epithelial Cell Segment 3,ENSG00000185046,0.4744194484760523
Proximal Tubule Epithelial Cell Segment 3,ENSG00000107611,0.4744194484760523
Renin-positive Juxtaglomerular Granular Cell,ENSG00000143839,0.7922535211267606
Renin-positive Juxtaglomerular Granular Cell,ENSG00000140538,0.7922535211267606
Schwann Cell / Neural,ENSG00000179915,0.8741258741258742
T Cell,ENSG00000168685,0.7137248743718593
Transitional Principal-Intercalated Cell,ENSG00000147606,0.280970625798212
Transitional Principal-Intercalated Cell,ENSG00000166828,0.280970625798212
Transitional Principal-Intercalated Cell,ENSG00000157404,0.280970625798212
Transitional Principal-Intercalated Cell,ENSG00000150201,0.280970625798212
Vascular Smooth Muscle Cell,ENSG00000169282,0.5904211395540875
Vascular Smooth Muscle Cell,ENSG00000182732,0.5904211395540875
Vascular Smooth Muscle Cell / Pericyte,ENSG00000138031,0.4467708640519021
Vascular Smooth Muscle Cell / Pericyte,ENSG00000074181,0.4467708640519021
