,0
Adaptive / Maladaptive / Repairing Fibroblast,5
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,21
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,27
Afferent / Efferent Arteriole Endothelial Cell,1
Ascending Thin Limb Cell,28
Ascending Vasa Recta Endothelial Cell,11
B Cell,1
Classical Dendritic Cell,8
Connecting Tubule Cell,11
Connecting Tubule Intercalated Cell Type A,17
Connecting Tubule Principal Cell,5
Cortical Collecting Duct Intercalated Cell Type A,7
Cortical Collecting Duct Principal Cell,23
Cortical Thick Ascending Limb Cell,7
Cycling Connecting Tubule Cell,33
Cycling Distal Convoluted Tubule Cell,65
Cycling Endothelial Cell,4
Cycling Mononuclear Phagocyte,3
Cycling Myofibroblast,15
Cycling Natural Killer Cell / Natural Killer T Cell,6
Cycling Proximal Tubule Epithelial Cell,6
Degenerative Ascending Thin Limb Cell,17
Degenerative Connecting Tubule Cell,13
Degenerative Cortical Intercalated Cell Type A,10
Degenerative Cortical Thick Ascending Limb Cell,0
Degenerative Descending Thin Limb Cell Type 3,60
Degenerative Distal Convoluted Tubule Cell,11
Degenerative Endothelial Cell,0
Degenerative Fibroblast,0
Degenerative Inner Medullary Collecting Duct Cell,21
Degenerative Medullary Fibroblast,0
Degenerative Medullary Thick Ascending Limb Cell,10
Degenerative Outer Medullary Collecting Duct Principal Cell,11
Degenerative Peritubular Capilary Endothelial Cell,4
Degenerative Podocyte,0
Degenerative Proximal Tubule Epithelial Cell,8
Degenerative Vascular Smooth Muscle Cell,1
Descending Thin Limb Cell Type 1,17
Descending Thin Limb Cell Type 2,21
Descending Thin Limb Cell Type 3,34
Descending Vasa Recta Endothelial Cell,5
Distal Convoluted Tubule Cell Type 1,29
Distal Convoluted Tubule Cell Type 2,14
Fibroblast,6
Glomerular Capillary Endothelial Cell,0
Inner Medullary Collecting Duct Cell,45
Intercalated Cell Type B,4
Lymphatic Endothelial Cell,7
M2 Macrophage,2
Macula Densa Cell,23
Mast Cell,1
Medullary Fibroblast,16
Medullary Thick Ascending Limb Cell,45
Mesangial Cell,7
Monocyte-derived Cell,0
Myofibroblast,8
Natural Killer Cell / Natural Killer T Cell,0
Neutrophil,0
Non-classical Monocyte,1
Outer Medullary Collecting Duct Intercalated Cell Type A,50
Outer Medullary Collecting Duct Principal Cell,42
Papillary Tip Epithelial Cell,12
Parietal Epithelial Cell,4
Peritubular Capilary Endothelial Cell ,1
Plasma Cell,5
Plasmacytoid Dendritic Cell,7
Podocyte,30
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,2
Proximal Tubule Epithelial Cell Segment 3,21
Renin-positive Juxtaglomerular Granular Cell,2
Schwann Cell / Neural,4
T Cell,1
Transitional Principal-Intercalated Cell,15
Vascular Smooth Muscle Cell,5
Vascular Smooth Muscle Cell / Pericyte,5
