clusterName,markerGene,score
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000237187,0.1763299462044232
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000215386,0.1763299462044232
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000247809,0.1763299462044232
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000251432,0.45864747543979895
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000284377,0.45864747543979895
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000253301,0.37142857142857144
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000172965,0.37142857142857144
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000228262,0.37142857142857144
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000153113,0.010952125016478891
Ascending Thin Limb Cell,ENSG00000251513,0.3140633685380767
Ascending Thin Limb Cell,ENSG00000245694,0.3140633685380767
Ascending Thin Limb Cell,ENSG00000258667,0.3140633685380767
Ascending Vasa Recta Endothelial Cell,ENSG00000248300,0.7191857849752586
B Cell,ENSG00000278996,0.025047558655675334
Classical Dendritic Cell,ENSG00000231873,0.5102040816326531
Classical Dendritic Cell,ENSG00000229140,0.5102040816326531
Connecting Tubule Cell,ENSG00000251504,0.5010649030377761
Connecting Tubule Cell,ENSG00000236283,0.5010649030377761
Connecting Tubule Intercalated Cell Type A,ENSG00000249601,0.22727272727272727
Connecting Tubule Intercalated Cell Type A,ENSG00000260658,0.22727272727272727
Connecting Tubule Intercalated Cell Type A,ENSG00000229807,0.22727272727272727
Connecting Tubule Intercalated Cell Type A,ENSG00000226674,0.22727272727272727
Connecting Tubule Intercalated Cell Type A,ENSG00000251136,0.22727272727272727
Connecting Tubule Principal Cell,ENSG00000226674,0.2165237326993292
Connecting Tubule Principal Cell,ENSG00000235142,0.2165237326993292
Connecting Tubule Principal Cell,ENSG00000236283,0.2165237326993292
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000249601,0.5016395730133258
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000236283,0.5016395730133258
Cortical Collecting Duct Principal Cell,ENSG00000259905,0.40274599542334094
Cortical Collecting Duct Principal Cell,ENSG00000267659,0.40274599542334094
Cortical Collecting Duct Principal Cell,ENSG00000226674,0.40274599542334094
Cortical Thick Ascending Limb Cell,ENSG00000233154,0.2918287937743191
Cortical Thick Ascending Limb Cell,ENSG00000228262,0.2918287937743191
Cortical Thick Ascending Limb Cell,ENSG00000247809,0.2918287937743191
Cycling Connecting Tubule Cell,ENSG00000231535,0.026595744680851064
Cycling Connecting Tubule Cell,ENSG00000231079,0.026595744680851064
Cycling Connecting Tubule Cell,ENSG00000277268,0.026595744680851064
Cycling Distal Convoluted Tubule Cell,ENSG00000255910,0.35714285714285715
Cycling Distal Convoluted Tubule Cell,ENSG00000228340,0.35714285714285715
Cycling Distal Convoluted Tubule Cell,ENSG00000232160,0.35714285714285715
Cycling Endothelial Cell,ENSG00000231607,0.01160092807424594
Cycling Endothelial Cell,ENSG00000280441,0.01160092807424594
Cycling Endothelial Cell,ENSG00000278996,0.01160092807424594
Cycling Mononuclear Phagocyte,ENSG00000231607,0.08928571428571429
Cycling Mononuclear Phagocyte,ENSG00000278996,0.08928571428571429
Cycling Myofibroblast,ENSG00000224905,0.23809523809523808
Cycling Myofibroblast,ENSG00000231889,0.23809523809523808
Cycling Myofibroblast,ENSG00000172965,0.23809523809523808
Cycling Natural Killer Cell / Natural Killer T Cell,ENSG00000203875,0.25
Cycling Proximal Tubule Epithelial Cell,ENSG00000225470,0.03355704697986577
Cycling Proximal Tubule Epithelial Cell,ENSG00000242086,0.03355704697986577
Degenerative Ascending Thin Limb Cell,ENSG00000245694,0.22983392645314354
Degenerative Ascending Thin Limb Cell,ENSG00000176728,0.22983392645314354
Degenerative Ascending Thin Limb Cell,ENSG00000258667,0.22983392645314354
Degenerative Ascending Thin Limb Cell,ENSG00000260032,0.22983392645314354
Degenerative Connecting Tubule Cell,ENSG00000231079,0.062071917808219176
Degenerative Connecting Tubule Cell,ENSG00000172965,0.062071917808219176
Degenerative Connecting Tubule Cell,ENSG00000260658,0.062071917808219176
Degenerative Connecting Tubule Cell,ENSG00000226674,0.062071917808219176
Degenerative Connecting Tubule Cell,ENSG00000229847,0.062071917808219176
Degenerative Cortical Intercalated Cell Type A,ENSG00000152931,0.439005439005439
Degenerative Cortical Intercalated Cell Type A,ENSG00000177410,0.439005439005439
Degenerative Cortical Intercalated Cell Type A,ENSG00000261183,0.439005439005439
Degenerative Cortical Intercalated Cell Type A,ENSG00000269293,0.439005439005439
Degenerative Cortical Intercalated Cell Type A,ENSG00000213373,0.439005439005439
Degenerative Descending Thin Limb Cell Type 3,ENSG00000226337,0.5227882037533512
Degenerative Descending Thin Limb Cell Type 3,ENSG00000250320,0.5227882037533512
Degenerative Descending Thin Limb Cell Type 3,ENSG00000227036,0.5227882037533512
Degenerative Distal Convoluted Tubule Cell,ENSG00000263146,0.4936284372904091
Degenerative Distal Convoluted Tubule Cell,ENSG00000269893,0.4936284372904091
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000236449,0.31745312924553937
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000267134,0.31745312924553937
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000223561,0.31745312924553937
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000233154,0.07011319479641831
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000228262,0.07011319479641831
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000247809,0.07011319479641831
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000280441,0.07011319479641831
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000260032,0.10362407181646903
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000177133,0.10362407181646903
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000229847,0.10362407181646903
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000153113,0.10362407181646903
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000235142,0.10362407181646903
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000280441,0.016146393972012917
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000215386,0.016146393972012917
Degenerative Proximal Tubule Epithelial Cell,ENSG00000248373,0.4614353906707981
Degenerative Proximal Tubule Epithelial Cell,ENSG00000284418,0.4614353906707981
Degenerative Proximal Tubule Epithelial Cell,ENSG00000227258,0.4614353906707981
Degenerative Vascular Smooth Muscle Cell,ENSG00000249669,0.07584552279235353
Descending Thin Limb Cell Type 1,ENSG00000272168,0.2851153039832285
Descending Thin Limb Cell Type 1,ENSG00000253438,0.2851153039832285
Descending Thin Limb Cell Type 1,ENSG00000241158,0.2851153039832285
Descending Thin Limb Cell Type 2,ENSG00000235139,0.4112808460634548
Descending Thin Limb Cell Type 2,ENSG00000272168,0.4112808460634548
Descending Thin Limb Cell Type 3,ENSG00000249776,0.5240641711229946
Descending Thin Limb Cell Type 3,ENSG00000223914,0.5240641711229946
Descending Vasa Recta Endothelial Cell,ENSG00000226688,0.14734206471494607
Descending Vasa Recta Endothelial Cell,ENSG00000231607,0.14734206471494607
Descending Vasa Recta Endothelial Cell,ENSG00000241684,0.14734206471494607
Distal Convoluted Tubule Cell Type 1,ENSG00000242029,0.522427095593043
Distal Convoluted Tubule Cell Type 1,ENSG00000277268,0.522427095593043
Distal Convoluted Tubule Cell Type 2,ENSG00000177133,0.09096077316657192
